"Название товара","Ссылка на продавца","Ссылка на чат"
"BULPADEL VERTEX CTR 2023","https://es.wallapop.com/item/bulpadel-vertex-ctr-2023-869356013","https://es.wallapop.com/app/chat?itemId=pj9505nr7mze"
"BUZONES","https://es.wallapop.com/item/buzones-869356534","https://es.wallapop.com/app/chat?itemId=8j3ekepgo7z9"
"vendo cama 50 euros","https://es.wallapop.com/item/vendo-cama-50-euros-869357290","https://es.wallapop.com/app/chat?itemId=x6qd1dv20njy"
"Cheenlong ","https://es.wallapop.com/item/cheenlong-869356620","https://es.wallapop.com/app/chat?itemId=wzy5g5y9pvj5"
"Vestido azul ","https://es.wallapop.com/item/vestido-azul-869357167","https://es.wallapop.com/app/chat?itemId=vjrrmr4v84jk"
"Reloj inteligente amazfit","https://es.wallapop.com/item/reloj-inteligente-amazfit-869357129","https://es.wallapop.com/app/chat?itemId=qjwpgp2vgwzo"
"Nevera refrigerador","https://es.wallapop.com/item/nevera-refrigerador-869356247","https://es.wallapop.com/app/chat?itemId=ejkknkpr21jx"
"jaula hamster","https://es.wallapop.com/item/jaula-hamster-869356225","https://es.wallapop.com/app/chat?itemId=mzn878wp4gzn"
"Chaise longe 3 plazas ","https://es.wallapop.com/item/chaise-longe-3-plazas-869354879","https://es.wallapop.com/app/chat?itemId=p61ymy5k2x65"
"Mecánico de automovil","https://es.wallapop.com/item/mecanico-de-automovil-869354857","https://es.wallapop.com/app/chat?itemId=xzorwrx3qlz9"
"Ceramica artistica firmada","https://es.wallapop.com/item/ceramica-artistica-firmada-869354843","https://es.wallapop.com/app/chat?itemId=vjrrmr4o3xjk"
"Somier y colchón de 110x180","https://es.wallapop.com/item/somier-y-colchon-de-110x180-869356323","https://es.wallapop.com/app/chat?itemId=ejkknkprk9jx"
"Lámpara de uñas","https://es.wallapop.com/item/lampara-de-unas-869355962","https://es.wallapop.com/app/chat?itemId=4z41210r2vzy"
"Centralitas Potencia Motos Todas Marcas ","https://es.wallapop.com/item/centralitas-potencia-motos-todas-marcas-869354766","https://es.wallapop.com/app/chat?itemId=x6qd1dv4wqjy"
"Largueros de cama estilo Luis XV","https://es.wallapop.com/item/largueros-de-cama-estilo-luis-xv-869354745","https://es.wallapop.com/app/chat?itemId=3zl1p10kdnjx"
"Estanteria 46x132x25 transformable muy resistente","https://es.wallapop.com/item/estanteria-46x132x25-transformable-muy-resistente-869354694","https://es.wallapop.com/app/chat?itemId=8z84p45ww863"
"Reloj péndulo de pared","https://es.wallapop.com/item/reloj-pendulo-de-pared-869354672","https://es.wallapop.com/app/chat?itemId=e65gdg7p7pjo"
"Bicicleta conor wrg","https://es.wallapop.com/item/bicicleta-conor-wrg-869356978","https://es.wallapop.com/app/chat?itemId=nzx0g0rvrmz2"
"casco moto integral shiro sh 605","https://es.wallapop.com/item/casco-moto-integral-shiro-sh-605-869356980","https://es.wallapop.com/app/chat?itemId=qzmy0y7171zv"
"silla de Isofix ","https://es.wallapop.com/item/silla-de-isofix-869355194","https://es.wallapop.com/app/chat?itemId=8z84p452k163"
"armario ikea","https://es.wallapop.com/item/armario-ikea-869355175","https://es.wallapop.com/app/chat?itemId=nz0010ry0rzo"
"Baúles decoración ","https://es.wallapop.com/item/baules-decoracion-869355112","https://es.wallapop.com/app/chat?itemId=9jd2128ex96k"
"Mesa cocina 100x75 cms","https://es.wallapop.com/item/mesa-cocina-100x75-cms-869356126","https://es.wallapop.com/app/chat?itemId=pzprxrd50l63"
"Zapatos de baile Manuel Reina","https://es.wallapop.com/item/zapatos-de-baile-manuel-reina-869354998","https://es.wallapop.com/app/chat?itemId=pzprxrdgpl63"
"iMac (2009) formato Max Os Plus.","https://es.wallapop.com/item/imac-2009-formato-max-os-plus-869354999","https://es.wallapop.com/app/chat?itemId=nz0010rwq7zo"
"Mesa ","https://es.wallapop.com/item/mesa-869354986","https://es.wallapop.com/app/chat?itemId=4z41210nprzy"
"abrigo ","https://es.wallapop.com/item/abrigo-869354981","https://es.wallapop.com/app/chat?itemId=xzorwrx3n2z9"
"Renault Megane 2002","https://es.wallapop.com/item/renault-megane-2002-869354960","https://es.wallapop.com/app/chat?itemId=9jd2128nyn6k"
"Lavabo roca victoria","https://es.wallapop.com/item/lavabo-roca-victoria-869354949","https://es.wallapop.com/app/chat?itemId=mzn878wodyzn"
"carro bebecar","https://es.wallapop.com/item/carro-bebecar-869357235","https://es.wallapop.com/app/chat?itemId=0j23o3nkxr6y"
"Traje completo hombre","https://es.wallapop.com/item/traje-completo-hombre-869355311","https://es.wallapop.com/app/chat?itemId=0j23o3nqqm6y"
"VAXEE OUTSET AX Yellow (full mate) ","https://es.wallapop.com/item/vaxee-outset-ax-yellow-full-mate-869355310","https://es.wallapop.com/app/chat?itemId=8j3ekeprr7z9"
"mesa con dos sillas","https://es.wallapop.com/item/mesa-con-dos-sillas-869355243","https://es.wallapop.com/app/chat?itemId=vjrrmr4149jk"
"Carrera PJMask","https://es.wallapop.com/item/carrera-pjmask-869355756","https://es.wallapop.com/app/chat?itemId=qzmy0y7vy1zv"
"MUEBLE TV","https://es.wallapop.com/item/mueble-tv-869355753","https://es.wallapop.com/app/chat?itemId=qjwpgp21pqzo"
