"Название товара","Ссылка на продавца","Ссылка на чат"
"Golden goose","https://es.wallapop.com/item/golden-goose-872854654","https://es.wallapop.com/app/chat?itemId=nzx0gpkv81z2"
"Nike dunk low GREY FOG","https://es.wallapop.com/item/nike-dunk-low-grey-fog-872854490","https://es.wallapop.com/app/chat?itemId=x6qd1o02xyjy"
"Falda de cuadro con cadenas","https://es.wallapop.com/item/falda-de-cuadro-con-cadenas-872852864","https://es.wallapop.com/app/chat?itemId=v6g23rle37ze"
"Cinturón Vans ","https://es.wallapop.com/item/cinturon-vans-872852856","https://es.wallapop.com/app/chat?itemId=qzmy0wlp0gzv"
"Turathi Blue Afnan

","https://es.wallapop.com/item/turathi-blue-afnan-872852834","https://es.wallapop.com/app/chat?itemId=8j3eklnroyz9"
"NIKE Dunk Low White Black Panda 40","https://es.wallapop.com/item/nike-dunk-low-white-black-panda-40-872852784","https://es.wallapop.com/app/chat?itemId=9jd21rlemd6k"
"Top Dragones Shein ","https://es.wallapop.com/item/top-dragones-shein-872853404","https://es.wallapop.com/app/chat?itemId=w67ynlwrew6x"
"sudadera Norte face ","https://es.wallapop.com/item/sudadera-norte-face-872854319","https://es.wallapop.com/app/chat?itemId=vjrrm37vkljk"
"Chaqueta poli piel ","https://es.wallapop.com/item/chaqueta-poli-piel-872854213","https://es.wallapop.com/app/chat?itemId=pj950l1eo0ze"
"Vaqueros","https://es.wallapop.com/item/vaqueros-872854203","https://es.wallapop.com/app/chat?itemId=nz001lqd5vzo"
"Pantalones PSG","https://es.wallapop.com/item/pantalones-psg-872854197","https://es.wallapop.com/app/chat?itemId=mzn87x5p5yzn"
