"Название товара","Ссылка на продавца","Ссылка на чат"
"pistones","https://es.wallapop.com/item/pistones-873109612","https://es.wallapop.com/app/chat?itemId=9jd21qrg826k"
"iPad","https://es.wallapop.com/item/ipad-873109549","https://es.wallapop.com/app/chat?itemId=mzn87qx987zn"
"NIKE Dunk Low White Black Panda 40","https://es.wallapop.com/item/nike-dunk-low-white-black-panda-40-873106408","https://es.wallapop.com/app/chat?itemId=qzmy08wddxzv"
"Bicicleta indoor Spinning KEISER M3","https://es.wallapop.com/item/bicicleta-indoor-spinning-keiser-m3-873106373","https://es.wallapop.com/app/chat?itemId=mzn87qxk12zn"
"Vestido de Comunión ","https://es.wallapop.com/item/vestido-de-comunion-873106330","https://es.wallapop.com/app/chat?itemId=nzx0g8pxpmz2"
"Traje de Flamenca ","https://es.wallapop.com/item/vestido-de-flamenca-873111149","https://es.wallapop.com/app/chat?itemId=mzn87qqg92zn"
"TV SAMSUNG SMART 65","https://es.wallapop.com/item/tv-samsung-smart-65-873111097","https://es.wallapop.com/app/chat?itemId=mzn87qqgygzn"
"5 pesetas año 1957","https://es.wallapop.com/item/5-pesetas-ano-1957-873111081","https://es.wallapop.com/app/chat?itemId=xzorwqqln7z9"
"Swatch x omega misión pluton","https://es.wallapop.com/item/swatch-x-omega-mision-pluton-873111014","https://es.wallapop.com/app/chat?itemId=4z41244yxlzy"
"se vende TV Samsumg QLED 43 pulgadas","https://es.wallapop.com/item/se-vende-tv-samsumg-qled-43-pulgadas-873113073","https://es.wallapop.com/app/chat?itemId=mzn87qq2w0zn"
"escape","https://es.wallapop.com/item/escape-873109981","https://es.wallapop.com/app/chat?itemId=xzorwq1eywz9"
"Rodillera ortopédica regulable ","https://es.wallapop.com/item/rodillera-ortopedica-regulable-873109966","https://es.wallapop.com/app/chat?itemId=x6qd18orp5jy"
"Dormitorio juvenil ","https://es.wallapop.com/item/dormitorio-juvenil-873109943","https://es.wallapop.com/app/chat?itemId=vjrrm83l7ljk"
"Mesa comedor ","https://es.wallapop.com/item/mesa-comedor-873109927","https://es.wallapop.com/app/chat?itemId=nz0013l7qrzo"
"sofa","https://es.wallapop.com/item/sofa-873107942","https://es.wallapop.com/app/chat?itemId=x6qd18o0xojy"
"NIKE Dunk Low White Black Panda 40","https://es.wallapop.com/item/nike-dunk-low-white-black-panda-40-873107914","https://es.wallapop.com/app/chat?itemId=4z4124lpnrzy"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-873107905","https://es.wallapop.com/app/chat?itemId=qjwpg8no7ezo"
"Lavadora Balay","https://es.wallapop.com/item/lavadora-balay-873106737","https://es.wallapop.com/app/chat?itemId=pj9507l9nvze"
"Frigorífico combi ","https://es.wallapop.com/item/frigorifico-combi-873106677","https://es.wallapop.com/app/chat?itemId=qjwpg8n0pkzo"
"Saxo semi nuevo ","https://es.wallapop.com/item/saxo-semi-nuevo-873106655","https://es.wallapop.com/app/chat?itemId=p61ym2lw7x65"
