"Название товара","Ссылка на продавца","Ссылка на чат"
"Mangas de Dragon Ball n° 1, 2, 26 y 27","https://es.wallapop.com/item/mangas-de-dragon-ball-n-1-2-26-y-27-869087709","https://es.wallapop.com/app/chat?itemId=xzorwvokp5z9"
"cómoda con espejo 2mesitas de noche ","https://es.wallapop.com/item/comoda-con-espejo-2mesitas-de-noche-869087700","https://es.wallapop.com/app/chat?itemId=e65gd32mn2jo"
"silla salvaescaleras","https://es.wallapop.com/item/silla-salvaescaleras-869086977","https://es.wallapop.com/app/chat?itemId=qjwpgd9mgqzo"
"Libros atención a personas con dependencia ","https://es.wallapop.com/item/libros-atencion-a-personas-con-dependencia-869087500","https://es.wallapop.com/app/chat?itemId=e65gd32megjo"
"Príncipe Valente","https://es.wallapop.com/item/principe-valente-869087486","https://es.wallapop.com/app/chat?itemId=4z412g3orlzy"
"Cámara deportiva","https://es.wallapop.com/item/camara-deportiva-869087609","https://es.wallapop.com/app/chat?itemId=xzorwvokq4z9"
"4 Neumáticos Bridgestone Dueler 225/60 R17 99V","https://es.wallapop.com/item/4-neumaticos-bridgestone-dueler-225-60-r17-99v-869087604","https://es.wallapop.com/app/chat?itemId=w67yng98p96x"
"DJI Ronin SC estabilizador Gimbal","https://es.wallapop.com/item/dji-ronin-sc-estabilizador-gimbal-869089012","https://es.wallapop.com/app/chat?itemId=9jd21545726k"
"Marshall DSL 40C","https://es.wallapop.com/item/marshall-dsl-40c-869089010","https://es.wallapop.com/app/chat?itemId=8j3ekxoxyyz9"
"Volvo S60 2005","https://es.wallapop.com/item/volvo-s60-2005-869089001","https://es.wallapop.com/app/chat?itemId=mzn87vmvgkzn"
"Secador Uñas Gel","https://es.wallapop.com/item/secador-unas-gel-869088999","https://es.wallapop.com/app/chat?itemId=nz001vxvg3zo"
"4 Sillas de Comedor/Oficina","https://es.wallapop.com/item/4-sillas-de-comedor-oficina-869089000","https://es.wallapop.com/app/chat?itemId=e65gd323vkjo"
"Tennis Vans ","https://es.wallapop.com/item/tennis-vans-869088265","https://es.wallapop.com/app/chat?itemId=wzvndlvrorjl"
"Asiento doble de copiloto Sprinter y Crafter","https://es.wallapop.com/item/asiento-de-copiloto-mercedes-sprinter-869088260","https://es.wallapop.com/app/chat?itemId=9jd2154xpl6k"
"Yamaha cignus ","https://es.wallapop.com/item/yamaha-cignus-869088241","https://es.wallapop.com/app/chat?itemId=wzvndlvrprjl"
"ruedas de carretera ","https://es.wallapop.com/item/ruedas-de-carretera-869087383","https://es.wallapop.com/app/chat?itemId=0j23ork98n6y"
"Nike Dunk Low Retro 2021 (W) - Panda","https://es.wallapop.com/item/nike-dunk-low-retro-2021-w-panda-869087582","https://es.wallapop.com/app/chat?itemId=8j3ekxovllz9"
"Protector de vidrio templado Xiaomi redmi note 7 p","https://es.wallapop.com/item/protector-de-vidrio-templado-xiaomi-redmi-note-7-p-869087560","https://es.wallapop.com/app/chat?itemId=9jd2154d196k"
"portatil macpro","https://es.wallapop.com/item/portatil-macpro-869086821","https://es.wallapop.com/app/chat?itemId=3zl1p95omqjx"
"jaula","https://es.wallapop.com/item/jaula-869086806","https://es.wallapop.com/app/chat?itemId=nzx0gy93eez2"
"Ventanas de madera","https://es.wallapop.com/item/ventanas-de-madera-869086809","https://es.wallapop.com/app/chat?itemId=xzorwv0eg7z9"
"bolso señora","https://es.wallapop.com/item/bolso-senora-869088398","https://es.wallapop.com/app/chat?itemId=pzprx1398m63"
"sofa cama apertura italiana ","https://es.wallapop.com/item/sofa-cama-apertura-italiana-869087182","https://es.wallapop.com/app/chat?itemId=8j3ekxg307z9"
"botas vinicius  botas mpappe ven a por ellas  ","https://es.wallapop.com/item/botas-vinicius-botas-mpappe-ven-a-por-ellas-869087177","https://es.wallapop.com/app/chat?itemId=qjwpgd9mkwzo"
"BOLSO ADIDAS ORIGINALS","https://es.wallapop.com/item/bolso-adidas-originals-869087164","https://es.wallapop.com/app/chat?itemId=v6g231v892ze"
"Sofa de 3 plazas ","https://es.wallapop.com/item/sofa-de-3-plazas-869087746","https://es.wallapop.com/app/chat?itemId=8z84pg9vmr63"
"MONITOR","https://es.wallapop.com/item/monitor-869086870","https://es.wallapop.com/app/chat?itemId=8z84pgeywo63"
"Paquete con ropa de cama, edredón calido, lámpara ","https://es.wallapop.com/item/paquete-con-ropa-de-cama-edredon-calido-lampara-869086850","https://es.wallapop.com/app/chat?itemId=pzprx17vg963"
"Pala pádel NoX","https://es.wallapop.com/item/pala-padel-nox-869086853","https://es.wallapop.com/app/chat?itemId=qjwpgd9m74zo"
"libros de disnei","https://es.wallapop.com/item/libros-de-disnei-869087358","https://es.wallapop.com/app/chat?itemId=8j3ekxov48z9"
"blu-ray godzilla","https://es.wallapop.com/item/blu-ray-godzilla-869087819","https://es.wallapop.com/app/chat?itemId=vjrrm9vkyxjk"
"Mortadelo y Filemón ","https://es.wallapop.com/item/mortadelo-y-filemon-869087793","https://es.wallapop.com/app/chat?itemId=3zl1p9xeonjx"
"Rizador de pelo Ikohs sin cables portátil ","https://es.wallapop.com/item/rizador-de-pelo-ikohs-sin-cables-portatil-869086706","https://es.wallapop.com/app/chat?itemId=nzx0gy9355z2"
"Cuadro ","https://es.wallapop.com/item/cuadro-869087315","https://es.wallapop.com/app/chat?itemId=36exmng9nvzd"
"Tacones negros - Chunky black heels","https://es.wallapop.com/item/tacones-negros-chunky-black-heels-869087307","https://es.wallapop.com/app/chat?itemId=p61ym7197765"
"Overboard patin","https://es.wallapop.com/item/overboard-patin-869087303","https://es.wallapop.com/app/chat?itemId=nz001vx9m7zo"
"PS2 Slim, PS2 normal y PS1 ","https://es.wallapop.com/item/ps2-slim-ps2-normal-y-ps1-869087295","https://es.wallapop.com/app/chat?itemId=ejkkn9w24qjx"
"Limpieza cuidado de personas mayores y niños ","https://es.wallapop.com/item/limpieza-cuidado-de-personas-mayores-y-ninos-869086898","https://es.wallapop.com/app/chat?itemId=pzprx17v5963"
"Correas para reloj ","https://es.wallapop.com/item/correas-para-reloj-869088574","https://es.wallapop.com/app/chat?itemId=pzprx139dl63"
"butano camping gas","https://es.wallapop.com/item/butano-camping-gas-869088568","https://es.wallapop.com/app/chat?itemId=wzy5g7vnypj5"
"Garaje en alquiler","https://es.wallapop.com/item/garaje-en-alquiler-869088571","https://es.wallapop.com/app/chat?itemId=ejkkn9w4pyjx"
"zapatillas Reebok originales nuevos talla 38","https://es.wallapop.com/item/zapatillas-reebok-originales-nuevos-talla-38-869088565","https://es.wallapop.com/app/chat?itemId=wzvndlvy2djl"
"l'ampara ","https://es.wallapop.com/item/l-ampara-869088553","https://es.wallapop.com/app/chat?itemId=qjwpgdvy2ezo"
"Gorras","https://es.wallapop.com/item/gorras-869087142","https://es.wallapop.com/app/chat?itemId=x6qd19wr0qjy"
"vendo sofa de piel","https://es.wallapop.com/item/vendo-sofa-de-piel-869087138","https://es.wallapop.com/app/chat?itemId=4z412gkdpvzy"
"video","https://es.wallapop.com/item/video-869087133","https://es.wallapop.com/app/chat?itemId=xzorwv0ep5z9"
"Bonitos","https://es.wallapop.com/item/bonitos-869087134","https://es.wallapop.com/app/chat?itemId=8j3ekxg3q7z9"
