"Название товара","Ссылка на продавца","Ссылка на чат"
"Atrapasueños artesanales.","https://es.wallapop.com/item/atrapasuenos-artesanales-870544070","https://es.wallapop.com/app/chat?itemId=8z84p5m2kl63"
"GIANT GLORY DE DESCENSO ","https://es.wallapop.com/item/giant-glory-de-descenso-870544096","https://es.wallapop.com/app/chat?itemId=e65gd7w9qkjo"
"Redmi note 9","https://es.wallapop.com/item/redmi-note-9-870543475","https://es.wallapop.com/app/chat?itemId=nz001r5w0ezo"
"Call of duty Blacks Ops 4","https://es.wallapop.com/item/call-of-duty-blacks-ops-4-870544008","https://es.wallapop.com/app/chat?itemId=qzmy07rp3gzv"
"Mochila vans color verde fuerte ","https://es.wallapop.com/item/mochila-vans-color-verde-fuerte-870543913","https://es.wallapop.com/app/chat?itemId=pj950nox8kze"
"Avión De combate ","https://es.wallapop.com/item/avion-de-combate-870543908","https://es.wallapop.com/app/chat?itemId=qzmy07roqlzv"
"L'lliade","https://es.wallapop.com/item/l-lliade-870543717","https://es.wallapop.com/app/chat?itemId=wzvnd21051jl"
"Galán de noche ","https://es.wallapop.com/item/galan-de-noche-870543716","https://es.wallapop.com/app/chat?itemId=v6g23o97rlze"
"Míticos invencible + Balón de oro excelente ","https://es.wallapop.com/item/miticos-invencible---balon-de-oro-excelente-870543953","https://es.wallapop.com/app/chat?itemId=qjwpg2kqlwzo"
"bicicleta Rokenrider ","https://es.wallapop.com/item/bicicleta-rokenrider-870545283","https://es.wallapop.com/app/chat?itemId=0j23onpe1r6y"
"Bolso Carolina Herrera ","https://es.wallapop.com/item/bolso-carolina-herrera-870545271","https://es.wallapop.com/app/chat?itemId=ejkknpvrpqjx"
"vitrina salón ","https://es.wallapop.com/item/vitrina-salon-870545268","https://es.wallapop.com/app/chat?itemId=wzy5gy39yvj5"
"carricoche ","https://es.wallapop.com/item/carricoche-870545249","https://es.wallapop.com/app/chat?itemId=mzn87wyp3kzn"
"mesa con caja de habitación ","https://es.wallapop.com/item/mesa-con-caja-de-habitacion-870543334","https://es.wallapop.com/app/chat?itemId=8j3ekp0p77z9"
