"Название товара","Ссылка на продавца","Ссылка на чат"
"Abrigo","https://es.wallapop.com/item/abrigo-868977014","https://es.wallapop.com/app/chat?itemId=4z412g1o4lzy"
"Nike zoom winflo 8  ","https://es.wallapop.com/item/nike-zoom-winflo-8-868976997","https://es.wallapop.com/app/chat?itemId=mzn87v84xyzn"
"747471607","https://es.wallapop.com/item/747471607-868977145","https://es.wallapop.com/app/chat?itemId=3zl1p91eq4jx"
"Scott Addict RC 30 2022","https://es.wallapop.com/item/scott-addict-rc-30-2022-868977122","https://es.wallapop.com/app/chat?itemId=8z84pg4vx163"
"Toyota Yaris 2019","https://es.wallapop.com/item/toyota-yaris-2019-868977119","https://es.wallapop.com/app/chat?itemId=vjrrm9rywljk"
"Volkswagen Golf 2011","https://es.wallapop.com/item/volkswagen-golf-2011-868976539","https://es.wallapop.com/app/chat?itemId=36exmnnqyyzd"
"Mesa jardin de Haya de 120 cm circunferencia y 75.","https://es.wallapop.com/item/mesa-jardin-de-haya-de-120-cm-circunferencia-y-75-868976230","https://es.wallapop.com/app/chat?itemId=nzx0gyy3e1z2"
"Garaje en venta","https://es.wallapop.com/item/garaje-en-venta-868976205","https://es.wallapop.com/app/chat?itemId=qjwpgddm4kzo"
"Cama nido","https://es.wallapop.com/item/cama-nido-868976757","https://es.wallapop.com/app/chat?itemId=xzorwvrkr5z9"
"Cuidadora ,Aseo y otros","https://es.wallapop.com/item/cuidadora-aseo-y-otros-868976612","https://es.wallapop.com/app/chat?itemId=9jd2155gol6k"
"libro","https://es.wallapop.com/item/libro-868976280","https://es.wallapop.com/app/chat?itemId=qzmy0332pgzv"
"Vestido morado con lunares ","https://es.wallapop.com/item/vestido-morado-con-lunares-868977053","https://es.wallapop.com/app/chat?itemId=qjwpgdplw4zo"
"Casa en venta","https://es.wallapop.com/item/casa-en-venta-868977043","https://es.wallapop.com/app/chat?itemId=vjrrm9ry2wjk"
"Hyundai Tucson 2021","https://es.wallapop.com/item/hyundai-tucson-2021-868977035","https://es.wallapop.com/app/chat?itemId=0j23or392e6y"
"Patines en linea","https://es.wallapop.com/item/patines-en-linea-868977015","https://es.wallapop.com/app/chat?itemId=36exmnx9kkzd"
"Casco Airoh Commander ","https://es.wallapop.com/item/casco-airoh-commander-868976826","https://es.wallapop.com/app/chat?itemId=pzprx1r8d463"
"mueble salón y mesa extensible ","https://es.wallapop.com/item/mueble-salon-y-mesa-extensible-868976822","https://es.wallapop.com/app/chat?itemId=8z84pg4v5l63"
"Colchón viscoelástico ","https://es.wallapop.com/item/colchon-viscoelastico-868976802","https://es.wallapop.com/app/chat?itemId=pzprx1r8k463"
