"Название товара","Ссылка на продавца","Ссылка на чат"
"gafas vr play 5 ","https://es.wallapop.com/item/gafas-vr-play-5-871189251","https://es.wallapop.com/app/chat?itemId=nz001yqgwvzo"
"Estufa chimenea ","https://es.wallapop.com/item/estufa-chimenea-871189242","https://es.wallapop.com/app/chat?itemId=x6qd1x0kvejy"
"LIBRO DIARIO SECRETO DE PAUL/SUSI","https://es.wallapop.com/item/libro-diario-secreto-de-paul-susi-871188605","https://es.wallapop.com/app/chat?itemId=qjwpgqol44zo"
"mascarillas ","https://es.wallapop.com/item/mascarillas-871188599","https://es.wallapop.com/app/chat?itemId=nz001yq907zo"
"PS4 1TB 149€","https://es.wallapop.com/item/ps4-1tb-149-871188483","https://es.wallapop.com/app/chat?itemId=0j23oq599r6y"
"zapato de ante","https://es.wallapop.com/item/zapato-de-ante-871188222","https://es.wallapop.com/app/chat?itemId=8z84p27yp863"
"Movil Sony Xperia L2","https://es.wallapop.com/item/movil-sony-xperia-l2-871188659","https://es.wallapop.com/app/chat?itemId=0j23oq59ne6y"
"muñecas ","https://es.wallapop.com/item/munecas-871188152","https://es.wallapop.com/app/chat?itemId=w67ynk0qr76x"
"Piercing acero 4mm","https://es.wallapop.com/item/piercing-acero-4mm-871188118","https://es.wallapop.com/app/chat?itemId=x6qd1x7r45jy"
"iPhone X 64gb","https://es.wallapop.com/item/iphone-x-64gb-871189135","https://es.wallapop.com/app/chat?itemId=0j23oq5wrn6y"
"Clases particulares a niños ","https://es.wallapop.com/item/clases-particulares-a-ninos-871189133","https://es.wallapop.com/app/chat?itemId=xzorw7nlv2z9"
"Zapatos jazz capezio","https://es.wallapop.com/item/zapatos-jazz-capezio-871188202","https://es.wallapop.com/app/chat?itemId=pzprxw0v3563"
"Pantalón Adidas","https://es.wallapop.com/item/pantalon-adidas-871188207","https://es.wallapop.com/app/chat?itemId=p61ymqgx1265"
"mascaras juego de tronos caminante blanco","https://es.wallapop.com/item/mascaras-juego-de-tronos-caminante-blanco-871188159","https://es.wallapop.com/app/chat?itemId=0j23oqvmgd6y"
"Iphone X","https://es.wallapop.com/item/iphone-x-871189213","https://es.wallapop.com/app/chat?itemId=pj950v1k40ze"
"Botines Quechua ","https://es.wallapop.com/item/botines-quechua-871189195","https://es.wallapop.com/app/chat?itemId=ejkkn5lx8yjx"
"Vestido sfera ","https://es.wallapop.com/item/vestido-sfera-871188701","https://es.wallapop.com/app/chat?itemId=mzn8705402zn"
"Zapatillas geox","https://es.wallapop.com/item/zapatillas-geox-871188677","https://es.wallapop.com/app/chat?itemId=qjwpgqol74zo"
"Botas Original Patricia Miller Piel negro 36 ","https://es.wallapop.com/item/botas-original-patricia-miller-piel-negro-36-871188799","https://es.wallapop.com/app/chat?itemId=nz001yq91rzo"
"Libro de nutrición felina A ESTRENAR","https://es.wallapop.com/item/libro-de-nutricion-felina-a-estrenar-871188792","https://es.wallapop.com/app/chat?itemId=wzy5gq2egej5"
"Cuadros nuevos","https://es.wallapop.com/item/cuadros-nuevos-871188774","https://es.wallapop.com/app/chat?itemId=pzprxwp83k63"
"troqueladora de letras w. m. keepers","https://es.wallapop.com/item/troqueladora-de-letras-w-m-keepers-871188769","https://es.wallapop.com/app/chat?itemId=3zl1pnlex4jx"
"Auriculares inalámbricos TWS negros.","https://es.wallapop.com/item/auriculares-inalambricos-tws-negros-871188915","https://es.wallapop.com/app/chat?itemId=36exmel90nzd"
"Blusa","https://es.wallapop.com/item/blusa-871188911","https://es.wallapop.com/app/chat?itemId=0j23oq597m6y"
"Seiko gris antracita + brazalete Strapcode ","https://es.wallapop.com/item/seiko-gris-antracita---brazalete-strapcode-871188901","https://es.wallapop.com/app/chat?itemId=mzn87054k7zn"
"Nim itsasoan","https://es.wallapop.com/item/nim-itsasoan-871188310","https://es.wallapop.com/app/chat?itemId=8j3ekrq3d7z9"
"Rodillo masaje duro ","https://es.wallapop.com/item/rodillo-masaje-duro-871188307","https://es.wallapop.com/app/chat?itemId=p61ymqgx3g65"
"Gimnasio bebé ","https://es.wallapop.com/item/gimnasio-bebe-871188078","https://es.wallapop.com/app/chat?itemId=nzx0gq23rez2"
"Inodoro con cisterna y bidet Roca","https://es.wallapop.com/item/inodoro-con-cisterna-y-bidet-roca-871188067","https://es.wallapop.com/app/chat?itemId=vjrrm1wlewjk"
"Gigabyte AMD Radeon RX 5700 XT Gaming OC 8GB GDDR6","https://es.wallapop.com/item/gigabyte-amd-radeon-rx-5700-xt-gaming-oc-8gb-gddr6-871189088","https://es.wallapop.com/app/chat?itemId=v6g23el007ze"
