"Название товара","Ссылка на продавца","Ссылка на чат"
"Bicicleta estática Cecotec Ultraflex 25","https://es.wallapop.com/item/bicicleta-estatica-cecotec-ultraflex-25-872450858","https://es.wallapop.com/app/chat?itemId=8j3ekk9p9yz9"
"4ruedas","https://es.wallapop.com/item/4ruedas-872450814","https://es.wallapop.com/app/chat?itemId=4z41224028zy"
"Bolso Marca Guess nuevo con etiquetas","https://es.wallapop.com/item/bolso-marca-guess-nuevo-con-etiquetas-872450795","https://es.wallapop.com/app/chat?itemId=ejkknnqpwrjx"
"reloj Samsung watch 5","https://es.wallapop.com/item/reloj-samsung-watch-5-872450781","https://es.wallapop.com/app/chat?itemId=xzorwwqx05z9"
"Vendo sofá cama ","https://es.wallapop.com/item/vendo-sofa-cama-872450754","https://es.wallapop.com/app/chat?itemId=nzx0gg8rm7z2"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-872446319","https://es.wallapop.com/app/chat?itemId=vjrrmm3l5ljk"
"Cama individual ","https://es.wallapop.com/item/cama-individual-872446244","https://es.wallapop.com/app/chat?itemId=wzy5gg0d02j5"
"horquilla Cannondale Lefty 2.0","https://es.wallapop.com/item/horquilla-cannondale-lefty-2-0-872446132","https://es.wallapop.com/app/chat?itemId=qzmy00w2vyzv"
"PIANO","https://es.wallapop.com/item/piano-872449142","https://es.wallapop.com/app/chat?itemId=x6qd118d8ojy"
"Ordenador Intel NUC","https://es.wallapop.com/item/ordenador-intel-nuc-872449110","https://es.wallapop.com/app/chat?itemId=8j3ekk9el8z9"
"Set de golf ","https://es.wallapop.com/item/set-de-golf-872448607","https://es.wallapop.com/app/chat?itemId=p61ymm270565"
"Rowenta air force extreme 25.2v","https://es.wallapop.com/item/rowenta-air-force-extreme-25-2v-872446416","https://es.wallapop.com/app/chat?itemId=v6g233r8dmze"
"Habitación","https://es.wallapop.com/item/habitacion-872446375","https://es.wallapop.com/app/chat?itemId=nz0011l7qrzo"
"BMW X6 M 2024","https://es.wallapop.com/item/bmw-x6-m-2024-872447936","https://es.wallapop.com/app/chat?itemId=9jd211q71n6k"
"faro derecho ","https://es.wallapop.com/item/faro-derecho-872447885","https://es.wallapop.com/app/chat?itemId=pj95007yemze"
"Cuadro en lienzo","https://es.wallapop.com/item/cuadro-en-lienzo-872451896","https://es.wallapop.com/app/chat?itemId=e65gdd59rpjo"
"TV LED 32"" - Xiaomi Mi TV 4A, HD,","https://es.wallapop.com/item/tv-led-32-xiaomi-mi-tv-4a-hd-872451856","https://es.wallapop.com/app/chat?itemId=qzmy008poxzv"
"[urgente] Cama + Colchón IKEA","https://es.wallapop.com/item/urgente-cama---colchon-ikea-872451839","https://es.wallapop.com/app/chat?itemId=36exmmke8qzd"
"Portadas de madera","https://es.wallapop.com/item/portadas-de-madera-872451719","https://es.wallapop.com/app/chat?itemId=vjrrmm81dljk"
"iPhone 11 ","https://es.wallapop.com/item/iphone-11-872445934","https://es.wallapop.com/app/chat?itemId=8j3ekkl3m7z9"
"Bicicleta eléctrica ","https://es.wallapop.com/item/bicicleta-electrica-872445336","https://es.wallapop.com/app/chat?itemId=9jd211roxd6k"
"Vestido Flamenca ","https://es.wallapop.com/item/vestido-flamenca-872445232","https://es.wallapop.com/app/chat?itemId=qzmy00wrlxzv"
"Garmin Instinct","https://es.wallapop.com/item/garmin-instinct-872445218","https://es.wallapop.com/app/chat?itemId=x6qd11op0yjy"
"Xbox one X","https://es.wallapop.com/item/xbox-one-x-872445387","https://es.wallapop.com/app/chat?itemId=36exmmr3nnzd"
"Canon EF-S 55-250mm f/4-5.6 STM","https://es.wallapop.com/item/canon-ef-s-55-250mm-f-4-5-6-stm-872450009","https://es.wallapop.com/app/chat?itemId=xzorwwqgv4z9"
"Chaqueta bomber ","https://es.wallapop.com/item/chaqueta-bomber-872449921","https://es.wallapop.com/app/chat?itemId=3zl1pprme4jx"
"Samsung 125 cm ","https://es.wallapop.com/item/samsung-125-cm-872449885","https://es.wallapop.com/app/chat?itemId=pj95007m30ze"
"Renault Scenic 2005","https://es.wallapop.com/item/renault-scenic-2005-872449881","https://es.wallapop.com/app/chat?itemId=xzorwwq2y7z9"
"SECADORA WHIRLPOOL BLANCO 8 Kg","https://es.wallapop.com/item/secadora-whirlpool-blanco-8-kg-872449865","https://es.wallapop.com/app/chat?itemId=wzvndd8417jl"
"Ford Mondeo 1998","https://es.wallapop.com/item/ford-mondeo-1998-872450576","https://es.wallapop.com/app/chat?itemId=w67ynnpxg76x"
