"Название товара","Ссылка на продавца","Ссылка на чат"
"BASE LAPTOP","https://es.wallapop.com/item/base-laptop-868635051","https://es.wallapop.com/app/chat?itemId=nz001mv87vzo"
"traje de fallera ","https://es.wallapop.com/item/traje-de-fallera-868635019","https://es.wallapop.com/app/chat?itemId=vjrrmd9e0wjk"
"cuadro nombre Paula","https://es.wallapop.com/item/cuadro-nombre-paula-868635732","https://es.wallapop.com/app/chat?itemId=qzmy043o31zv"
"Juego sin estrenar de Nintendo switch","https://es.wallapop.com/item/juego-sin-estrenar-de-nintendo-switch-868635105","https://es.wallapop.com/app/chat?itemId=qjwpgyd2eqzo"
"conjunto ","https://es.wallapop.com/item/conjunto-868635087","https://es.wallapop.com/app/chat?itemId=36exmwn89kzd"
"cinco sillas comedor ","https://es.wallapop.com/item/cinco-sillas-comedor-868636811","https://es.wallapop.com/app/chat?itemId=0j23oyrg9e6y"
"Cinturon luis v","https://es.wallapop.com/item/cinturon-luis-v-868636787","https://es.wallapop.com/app/chat?itemId=36exmwneqvzd"
"Electroesteyica y aparatologia","https://es.wallapop.com/item/electroesteyica-y-aparatologia-868634859","https://es.wallapop.com/app/chat?itemId=0j23oyr8dr6y"
"blusa Sfera ","https://es.wallapop.com/item/blusa-sfera-868634855","https://es.wallapop.com/app/chat?itemId=p61ymo78lx65"
"Cuna de Viaje HAUCK ","https://es.wallapop.com/item/cuna-de-viaje-hauck-868634842","https://es.wallapop.com/app/chat?itemId=x6qd1y9qonjy"
"Libro de filosofia-edición VicensVives","https://es.wallapop.com/item/libro-de-filosofia-edicion-vicensvives-868635963","https://es.wallapop.com/app/chat?itemId=36exmwnpmnzd"
"Pokémon edición rubí ","https://es.wallapop.com/item/pokemon-edicion-rubi-868634795","https://es.wallapop.com/app/chat?itemId=ejkkn49mwrjx"
"Reloj inteligente (ios y android)","https://es.wallapop.com/item/reloj-inteligente-ios-y-android-868634796","https://es.wallapop.com/app/chat?itemId=e65gdy3q22jo"
"TRONA ","https://es.wallapop.com/item/trona-868634793","https://es.wallapop.com/app/chat?itemId=3zl1pg9mxnjx"
"Libro Publicidad de William F. Arens","https://es.wallapop.com/item/libro-publicidad-de-william-f-arens-868634689","https://es.wallapop.com/app/chat?itemId=wzvndylg0rjl"
"Cartera Guess 30€","https://es.wallapop.com/item/cartera-guess-30-868635193","https://es.wallapop.com/app/chat?itemId=3zl1pg9084jx"
"Cadena nieve a estrenar","https://es.wallapop.com/item/cadena-nieve-a-estrenar-868635185","https://es.wallapop.com/app/chat?itemId=pj950ygn52ze"
"Airbag acompañante Ibiza/Cordoba","https://es.wallapop.com/item/airbag-acompanante-ibiza-cordoba-868635140","https://es.wallapop.com/app/chat?itemId=v6g2341o4lze"
"Mini nintendo retro más de 100 juegos en 1","https://es.wallapop.com/item/mini-nintendo-retro-mas-de-100-juegos-en-1-868635135","https://es.wallapop.com/app/chat?itemId=0j23oyrnyd6y"
"cargador original switch ","https://es.wallapop.com/item/cargador-original-switch-868635478","https://es.wallapop.com/app/chat?itemId=nzx0g5yrn1z2"
"Burberry sudadera ","https://es.wallapop.com/item/burberry-sudadera-868635005","https://es.wallapop.com/app/chat?itemId=qjwpgydrk4zo"
"meubles de comedor","https://es.wallapop.com/item/meubles-de-comedor-868635632","https://es.wallapop.com/app/chat?itemId=qzmy04372ozv"
"camiseta oficial de entrenamiento ","https://es.wallapop.com/item/camiseta-oficial-de-entrenamiento-868635791","https://es.wallapop.com/app/chat?itemId=vjrrmd9oqljk"
"se realizan trabajos de acabados 624582863","https://es.wallapop.com/item/se-realizan-trabajos-de-acabados-624582863-868635356","https://es.wallapop.com/app/chat?itemId=qzmy0437nlzv"
"Plotter ","https://es.wallapop.com/item/plotter-868635345","https://es.wallapop.com/app/chat?itemId=3zl1pg905njx"
"playstation 3","https://es.wallapop.com/item/playstation-3-868635334","https://es.wallapop.com/app/chat?itemId=8j3ekyxp27z9"
"iphone 8 rosa 64gb","https://es.wallapop.com/item/iphone-8-rosa-64gb-868636591","https://es.wallapop.com/app/chat?itemId=vjrrmd9184jk"
"Oferta iPad Air 2022","https://es.wallapop.com/item/oferta-ipad-air-2022-868636587","https://es.wallapop.com/app/chat?itemId=36exmwneknzd"
"Aire acondicionado","https://es.wallapop.com/item/aire-acondicionado-868636586","https://es.wallapop.com/app/chat?itemId=4z412vgq4vzy"
"libro de adivinanzas en castellano ","https://es.wallapop.com/item/libro-de-adivinanzas-en-castellano-868636584","https://es.wallapop.com/app/chat?itemId=9jd2175eqd6k"
"Cuna de viaje más colchon","https://es.wallapop.com/item/cuna-de-viaje-mas-colchon-868636579","https://es.wallapop.com/app/chat?itemId=p61ymo7qlg65"
"Peugeot 206 2003","https://es.wallapop.com/item/peugeot-206-2003-868636563","https://es.wallapop.com/app/chat?itemId=36exmwnernzd"
