"Название товара","Ссылка на продавца","Ссылка на чат"
"PS4 Slim 1TB","https://es.wallapop.com/item/ps4-slim-1tb-871655298","https://es.wallapop.com/app/chat?itemId=pzprx7245463"
"Renault Megane 2002","https://es.wallapop.com/item/renault-megane-2002-871655500","https://es.wallapop.com/app/chat?itemId=e65gde8ongjo"
"bLACAELÈCTRlCADOBLE","https://es.wallapop.com/item/blacaelectrlcadoble-871655496","https://es.wallapop.com/app/chat?itemId=e65gde8onmjo"
"Volkswagen Touran 2012","https://es.wallapop.com/item/volkswagen-touran-2012-871655255","https://es.wallapop.com/app/chat?itemId=p61ymd4wkx65"
"lavadora bosh","https://es.wallapop.com/item/lavadora-bosh-871655213","https://es.wallapop.com/app/chat?itemId=pj950em9nmze"
"silla antigua de  cuero y remaches metálicos ","https://es.wallapop.com/item/silla-antigua-de-cuero-y-remaches-metalicos-871655205","https://es.wallapop.com/app/chat?itemId=qjwpg940rkzo"
"cultivador con rulo y niveladora de 5,3 metros ","https://es.wallapop.com/item/cultivador-con-rulo-y-niveladora-de-5-3-metros-871655369","https://es.wallapop.com/app/chat?itemId=3zl1p583p2jx"
"Pantalón Liberty Jeans Kevlar","https://es.wallapop.com/item/pantalon-liberty-jeans-kevlar-871655465","https://es.wallapop.com/app/chat?itemId=wzvnd34p77jl"
"Bicicleta estática plegable ","https://es.wallapop.com/item/bicicleta-estatica-plegable-871655365","https://es.wallapop.com/app/chat?itemId=wzvnd34pddjl"
"escape moto","https://es.wallapop.com/item/escape-moto-871655352","https://es.wallapop.com/app/chat?itemId=w67yne42n86x"
"Sanitario","https://es.wallapop.com/item/sanitario-871654558","https://es.wallapop.com/app/chat?itemId=8j3ekg4wx7z9"
"Black Clover ","https://es.wallapop.com/item/black-clover-871654852","https://es.wallapop.com/app/chat?itemId=w67yne4o5y6x"
"Scooter oxelo MF540 icons","https://es.wallapop.com/item/scooter-oxelo-mf540-icons-871655114","https://es.wallapop.com/app/chat?itemId=4z412kemgvzy"
"mesa salón comedor más cuatro sillas","https://es.wallapop.com/item/mesa-salon-comedor-mas-cuatro-sillas-871654883","https://es.wallapop.com/app/chat?itemId=0j23oe477e6y"
"juegos Nintendo Switch ","https://es.wallapop.com/item/juegos-nintendo-switch-871654519","https://es.wallapop.com/app/chat?itemId=vjrrmxq5d4jk"
"Vendo portatil","https://es.wallapop.com/item/vendo-portatil-871654504","https://es.wallapop.com/app/chat?itemId=w67yne4o356x"
"Clases particulares INFANTIL y PRIMARIA ","https://es.wallapop.com/item/clases-particulares-infantil-y-primaria-871655423","https://es.wallapop.com/app/chat?itemId=ejkknr8oq1jx"
