"Название товара","Ссылка на продавца","Ссылка на чат"
"Suunto 7","https://es.wallapop.com/item/suunto-7-868960398","https://es.wallapop.com/app/chat?itemId=pzprx1900k63"
"cinta de correr fitfiu fitness mc-200","https://es.wallapop.com/item/cinta-de-correr-fitfiu-fitness-mc-200-868960386","https://es.wallapop.com/app/chat?itemId=4z412gv5mmzy"
"Correa gucci ","https://es.wallapop.com/item/correa-gucci-868959135","https://es.wallapop.com/app/chat?itemId=0j23ory7ld6y"
"Canyon Nerve AL 7.0","https://es.wallapop.com/item/canyon-nerve-al-7-0-868959091","https://es.wallapop.com/app/chat?itemId=vjrrm9d5vwjk"
"mochila portabebes ","https://es.wallapop.com/item/mochila-portabebes-868959073","https://es.wallapop.com/app/chat?itemId=mzn87vlkmgzn"
"Mueble recibidor ","https://es.wallapop.com/item/mueble-recibidor-868960308","https://es.wallapop.com/app/chat?itemId=qzmy034581zv"
"Patinete eléctrico ","https://es.wallapop.com/item/patinete-electrico-868961023","https://es.wallapop.com/app/chat?itemId=ejkkn94lvpjx"
"V Estron 650. año 2012.  ","https://es.wallapop.com/item/v-estron-650-ano-2012-868961014","https://es.wallapop.com/app/chat?itemId=4z412gvppwzy"
"beta evo 300 factory 2013","https://es.wallapop.com/item/beta-evo-300-factory-2013-868960986","https://es.wallapop.com/app/chat?itemId=4z412gvp5mzy"
"escritorio y silla ","https://es.wallapop.com/item/escritorio-y-silla-868961545","https://es.wallapop.com/app/chat?itemId=3zl1p9gqy4jx"
"Mando Wii","https://es.wallapop.com/item/mando-wii-868961520","https://es.wallapop.com/app/chat?itemId=wzy5g7n3wej5"
"Bicicleta TOPBIKE Niños 8-12 años","https://es.wallapop.com/item/bicicleta-topbike-ninos-8-12-anos-868959304","https://es.wallapop.com/app/chat?itemId=w67yngdo156x"
"Cinta de correr ","https://es.wallapop.com/item/cinta-de-correr-868959292","https://es.wallapop.com/app/chat?itemId=wzy5g7n135j5"
"vendo camara en buen estado x falta de uso","https://es.wallapop.com/item/vendo-camara-en-buen-estado-x-falta-de-uso-868959298","https://es.wallapop.com/app/chat?itemId=pzprx19en563"
"Colchon viscoelastica uso menos de 1 año","https://es.wallapop.com/item/colchon-viscoelastica-uso-menos-de-1-ano-868958394","https://es.wallapop.com/app/chat?itemId=8z84pg1n5d63"
"Citroen Xsara 2002","https://es.wallapop.com/item/citroen-xsara-2002-868958368","https://es.wallapop.com/app/chat?itemId=wzy5g7nprpj5"
"Bolso de vichy Cristina Gallardo","https://es.wallapop.com/item/bolso-de-vichy-cristina-gallardo-868960535","https://es.wallapop.com/app/chat?itemId=0j23ory59m6y"
"Reloj y brazalete Viceroy collecion Penelope Cruz","https://es.wallapop.com/item/reloj-y-brazalete-viceroy-collecion-penelope-cruz-868960512","https://es.wallapop.com/app/chat?itemId=9jd2157ldd6k"
"a convenir ","https://es.wallapop.com/item/a-convenir-868959650","https://es.wallapop.com/app/chat?itemId=pzprx1943963"
"Auriculares ","https://es.wallapop.com/item/auriculares-868959618","https://es.wallapop.com/app/chat?itemId=x6qd19yenejy"
"✅Tablet Samsung A8","https://es.wallapop.com/item/tablet-samsung-a8-868959615","https://es.wallapop.com/app/chat?itemId=36exmnw0okzd"
"Kiosko en venta por jubilación. Eloy 633366736","https://es.wallapop.com/item/kiosko-en-venta-por-jubilacion-868959606","https://es.wallapop.com/app/chat?itemId=nzx0gy57mez2"
"Masajeador de Mano ""Squirrel Massage""","https://es.wallapop.com/item/masajeador-de-mano-squirrel-massage-868959425","https://es.wallapop.com/app/chat?itemId=mzn87vldlkzn"
"Alexa Google ","https://es.wallapop.com/item/alexa-google-868959384","https://es.wallapop.com/app/chat?itemId=9jd2157pxd6k"
"Lost R.N.F redux ","https://es.wallapop.com/item/lost-r-n-f-redux-868958081","https://es.wallapop.com/app/chat?itemId=xzorwv8q94z9"
"Silla auto concord isofix negra","https://es.wallapop.com/item/silla-auto-concord-isofix-negra-868958070","https://es.wallapop.com/app/chat?itemId=8z84pg10d863"
"Amortiguadores ","https://es.wallapop.com/item/amortiguadores-868958041","https://es.wallapop.com/app/chat?itemId=wzvndly87rjl"
"cinta  GAC profecionaol","https://es.wallapop.com/item/cinta-gac-profecionaol-868959696","https://es.wallapop.com/app/chat?itemId=e65gd3yolmjo"
"Moto 125","https://es.wallapop.com/item/moto-125-868959697","https://es.wallapop.com/app/chat?itemId=mzn87vldxgzn"
"literas","https://es.wallapop.com/item/literas-868959686","https://es.wallapop.com/app/chat?itemId=4z412gvm2lzy"
"Tejano roto Morgan","https://es.wallapop.com/item/tejano-roto-morgan-868959671","https://es.wallapop.com/app/chat?itemId=ejkkn94ow1jx"
"Nike Dunk Low Panda","https://es.wallapop.com/item/nike-dunk-low-panda-868960217","https://es.wallapop.com/app/chat?itemId=wzvndlyo37jl"
"Lampara Ikea Nymo","https://es.wallapop.com/item/lampara-ikea-nymo-868960214","https://es.wallapop.com/app/chat?itemId=4z412gv5klzy"
"Xiaomi note 10","https://es.wallapop.com/item/xiaomi-note-10-868959784","https://es.wallapop.com/app/chat?itemId=9jd2157p096k"
