"Название товара","Ссылка на продавца","Ссылка на чат"
"Nintendo switch lite azul pack animal crossing","https://es.wallapop.com/item/nintendo-switch-lite-azul-pack-animal-crossing-871590394","https://es.wallapop.com/app/chat?itemId=8z84peqqdr63"
"casco LS2 nuevo sin estrenar TALLA M","https://es.wallapop.com/item/casco-ls2-nuevo-sin-estrenar-talla-m-871590474","https://es.wallapop.com/app/chat?itemId=pzprx7yyn463"
"Libro ABC feminismo sin estrenar ","https://es.wallapop.com/item/libro-abc-feminismo-sin-estrenar-871591064","https://es.wallapop.com/app/chat?itemId=v6g23v04d7ze"
"Draculaura & Clawd Wolf School's Out","https://es.wallapop.com/item/draculaura-clawd-wolf-school-s-out-871589874","https://es.wallapop.com/app/chat?itemId=pzprx7y8p463"
"shaver andis plus ","https://es.wallapop.com/item/shaver-andis-plus-871590289","https://es.wallapop.com/app/chat?itemId=wzvnd3rr5rjl"
"Cuna y colchón","https://es.wallapop.com/item/cuna-y-colchon-871590975","https://es.wallapop.com/app/chat?itemId=nz001dgmk3zo"
"iPhone 11 Pro Max ","https://es.wallapop.com/item/iphone-11-pro-max-871589778","https://es.wallapop.com/app/chat?itemId=nzx0g9ldn7z2"
"perchero- toallero/baño","https://es.wallapop.com/item/perchero-toallero-bano-871590152","https://es.wallapop.com/app/chat?itemId=w67yne33776x"
"samsung galaxy s22 ultra  512gb","https://es.wallapop.com/item/samsung-galaxy-s22-ultra-512gb-871590636","https://es.wallapop.com/app/chat?itemId=9jd21vx7246k"
"diccionario feminista ","https://es.wallapop.com/item/diccionario-feminista-871590538","https://es.wallapop.com/app/chat?itemId=4z412kyvorzy"
