"Название товара","Ссылка на продавца","Ссылка на чат"
"Arduino uno","https://es.wallapop.com/item/arduino-uno-869541382","https://es.wallapop.com/app/chat?itemId=8j3ekenn27z9"
"Abrigo Grimey Plumón ","https://es.wallapop.com/item/abrigo-grimey-plumon-869542713","https://es.wallapop.com/app/chat?itemId=pj9505139vze"
"Bicicleta de paseo Orbea.","https://es.wallapop.com/item/bicicleta-de-paseo-orbea-869541330","https://es.wallapop.com/app/chat?itemId=nzx0g0kkw7z2"
"cinta de caminar","https://es.wallapop.com/item/cinta-de-caminar-869540625","https://es.wallapop.com/app/chat?itemId=mzn8785nv0zn"
"aifon14 512 pro Max ","https://es.wallapop.com/item/aifon14-512-pro-max-869542650","https://es.wallapop.com/app/chat?itemId=pzprxrplq463"
"Camara de seguimiento/trampa camuflaje","https://es.wallapop.com/item/camara-de-seguimiento-trampa-camuflaje-869540859","https://es.wallapop.com/app/chat?itemId=0j23o35vor6y"
"Sofá","https://es.wallapop.com/item/sofa-869542006","https://es.wallapop.com/app/chat?itemId=nzx0g0kov1z2"
"Mesa de cocina extensible con seis sillas","https://es.wallapop.com/item/mesa-de-cocina-con-seis-sillas-869541198","https://es.wallapop.com/app/chat?itemId=pzprxrpp1k63"
"Volkswagen Golf 2012","https://es.wallapop.com/item/volkswagen-golf-2012-869542363","https://es.wallapop.com/app/chat?itemId=36exmxl3nyzd"
"Secadora Otsein ","https://es.wallapop.com/item/secadora-otsein-869542330","https://es.wallapop.com/app/chat?itemId=nzx0g0k15mz2"
"vendí vaso arcopal","https://es.wallapop.com/item/vendi-vaso-arcopal-869542916","https://es.wallapop.com/app/chat?itemId=v6g232l84lze"
"siux padel bag ","https://es.wallapop.com/item/siux-padel-bag-869542879","https://es.wallapop.com/app/chat?itemId=p61ymyrxv565"
"Planetag de Cessna 172 #N6922A","https://es.wallapop.com/item/planetag-de-cessna-172-n6922a-869542207","https://es.wallapop.com/app/chat?itemId=p61ymyrnn565"
"conjunto dormitorio","https://es.wallapop.com/item/conjunto-dormitorio-869542419","https://es.wallapop.com/app/chat?itemId=vjrrmr7ne9jk"
"patinete 190€ ","https://es.wallapop.com/item/patinete-190-869542420","https://es.wallapop.com/app/chat?itemId=wzy5g52mr5j5"
"Renault Master 2017","https://es.wallapop.com/item/renault-master-2017-869542462","https://es.wallapop.com/app/chat?itemId=4z4121pw0wzy"
