"Название товара","Ссылка на продавца","Ссылка на чат"
"soporte bañera ","https://es.wallapop.com/item/soporte-banera-871680384","https://es.wallapop.com/app/chat?itemId=9jd21v8rdd6k"
"iPhone SE 2020","https://es.wallapop.com/item/iphone-se-2020-871680380","https://es.wallapop.com/app/chat?itemId=qzmy0n702lzv"
"Libro derecho romano privado ","https://es.wallapop.com/item/libro-derecho-romano-privado-871679504","https://es.wallapop.com/app/chat?itemId=w67ynex9e76x"
"Chandal nike tech azul marino","https://es.wallapop.com/item/chandal-nike-tech-azul-marino-871679479","https://es.wallapop.com/app/chat?itemId=p61ymd51e565"
"Tacón negro","https://es.wallapop.com/item/tacon-negro-871680271","https://es.wallapop.com/app/chat?itemId=ejkknrpnypjx"
"Uncharted ps5","https://es.wallapop.com/item/uncharted-ps5-871680369","https://es.wallapop.com/app/chat?itemId=3zl1p50ponjx"
"Mesa","https://es.wallapop.com/item/mesa-871680347","https://es.wallapop.com/app/chat?itemId=ejkknrpngrjx"
"Alfombra","https://es.wallapop.com/item/alfombra-871680233","https://es.wallapop.com/app/chat?itemId=xzorw0xw44z9"
"Cepillo elétrico para cabellos ","https://es.wallapop.com/item/cepillo-eletrico-para-cabellos-871680220","https://es.wallapop.com/app/chat?itemId=wzy5g9yg15j5"
"collar de las witch","https://es.wallapop.com/item/collar-de-las-witch-871680128","https://es.wallapop.com/app/chat?itemId=w67ynexnn76x"
"Libro el principito","https://es.wallapop.com/item/libro-el-principito-871680105","https://es.wallapop.com/app/chat?itemId=qjwpg92gvqzo"
"libro culpa mía ","https://es.wallapop.com/item/libro-culpa-mia-871680632","https://es.wallapop.com/app/chat?itemId=qzmy0n7wvozv"
"pantalones cortos palm angels","https://es.wallapop.com/item/pantalones-cortos-palm-angels-871680584","https://es.wallapop.com/app/chat?itemId=9jd21v8rnn6k"
"estantería ","https://es.wallapop.com/item/estanteria-871680192","https://es.wallapop.com/app/chat?itemId=wzy5g9ygpej5"
"Teléfono con Fax","https://es.wallapop.com/item/telefono-con-fax-871680171","https://es.wallapop.com/app/chat?itemId=ejkknrpnq9jx"
"Móvil OPPO A54s","https://es.wallapop.com/item/movil-oppo-a54s-871680174","https://es.wallapop.com/app/chat?itemId=pzprx7dxqk63"
"escape moto BMW GS 1200","https://es.wallapop.com/item/escape-moto-bmw-gs-1200-871680162","https://es.wallapop.com/app/chat?itemId=4z412k02lmzy"
"Cartas Magic","https://es.wallapop.com/item/cartas-magic-871680158","https://es.wallapop.com/app/chat?itemId=8j3ekgpkllz9"
"Xiaomi Redmi 9A","https://es.wallapop.com/item/xiaomi-redmi-9a-871680133","https://es.wallapop.com/app/chat?itemId=xzorw0xwwwz9"
"fósil de almeja ","https://es.wallapop.com/item/fosil-de-almeja-871679297","https://es.wallapop.com/app/chat?itemId=mzn87pwmlkzn"
"Botes Trekking Hurricane Vermell","https://es.wallapop.com/item/botes-trekking-hurricane-vermell-871680023","https://es.wallapop.com/app/chat?itemId=ejkknrpne1jx"
"MANGA MY HERO ACADEMIA/BOKU NO HERO ACADEMIA","https://es.wallapop.com/item/manga-my-hero-academia-871680012","https://es.wallapop.com/app/chat?itemId=9jd21v81n46k"
"Dormitorio Jovenil","https://es.wallapop.com/item/dormitorio-jovenil-871680082","https://es.wallapop.com/app/chat?itemId=8j3ekgpkg2z9"
"GTX 950 EVGA 2 GB PERFECTA tarjeta gráfica ","https://es.wallapop.com/item/gtx-950-evga-2-gb-perfecta-tarjeta-grafica-871679931","https://es.wallapop.com/app/chat?itemId=p61ymd5m4765"
"Piano musical para bebé ","https://es.wallapop.com/item/piano-musical-para-bebe-871679924","https://es.wallapop.com/app/chat?itemId=e65gde7dg0jo"
"Logitech G29 + Soporte Vevor.","https://es.wallapop.com/item/logitech-g29---soporte-vevor-871679874","https://es.wallapop.com/app/chat?itemId=pzprx7dx9463"
