"Название товара","Ссылка на продавца","Ссылка на чат"
"deportivas","https://es.wallapop.com/item/deportivas-872760112","https://es.wallapop.com/app/chat?itemId=9jd21r19496k"
"Ford Focus  1.5 TDCi 120CV 2017","https://es.wallapop.com/item/ford-focus-1-5-tdci-120cv-2017-872761982","https://es.wallapop.com/app/chat?itemId=8j3eklkq1lz9"
"Air Hockey y Billar","https://es.wallapop.com/item/air-hockey-y-billar-872761979","https://es.wallapop.com/app/chat?itemId=p61ymlmgwd65"
"DYSON V10 Cyclone Absolute","https://es.wallapop.com/item/dyson-v10-cyclone-absolute-872762179","https://es.wallapop.com/app/chat?itemId=p61ymlmrog65"
"volante con levas y pedales para ps4","https://es.wallapop.com/item/volante-con-levas-y-pedales-para-ps4-872762168","https://es.wallapop.com/app/chat?itemId=wzy5g0g2nxj5"
"Fiat Grande punto 2007","https://es.wallapop.com/item/fiat-grande-punto-2007-872762163","https://es.wallapop.com/app/chat?itemId=36exmrmlwnzd"
"Colección de libros El encantador de perros","https://es.wallapop.com/item/coleccion-de-libros-el-encantador-de-perros-872762165","https://es.wallapop.com/app/chat?itemId=wzvnd5dmy4jl"
"Traje de flamenca celeste con encajes","https://es.wallapop.com/item/traje-de-flamenca-celeste-con-encajes-872760865","https://es.wallapop.com/app/chat?itemId=wzvnd5d7mrjl"
"Historia de la filosofia ","https://es.wallapop.com/item/historia-de-la-filosofia-872760839","https://es.wallapop.com/app/chat?itemId=36exmrm70qzd"
"MANDO PS4 NUEVO EDICIÓN REAL MADRID ","https://es.wallapop.com/item/mando-ps4-nuevo-edicion-real-madrid-872759682","https://es.wallapop.com/app/chat?itemId=8j3eklk911z9"
"baúl ","https://es.wallapop.com/item/baul-872762309","https://es.wallapop.com/app/chat?itemId=xzorw1wn32z9"
"camiseta futbol ","https://es.wallapop.com/item/camiseta-futbol-872762297","https://es.wallapop.com/app/chat?itemId=mzn87x75wkzn"
"Can can comunión","https://es.wallapop.com/item/can-can-comunion-872762295","https://es.wallapop.com/app/chat?itemId=ejkkn0nlpqjx"
"""Imagina ser diseñadora de Moda""","https://es.wallapop.com/item/imagina-ser-disenadora-de-moda-872762286","https://es.wallapop.com/app/chat?itemId=4z412l2p08zy"
"Reloj ","https://es.wallapop.com/item/reloj-872761039","https://es.wallapop.com/app/chat?itemId=36exmrm0n8zd"
"moto","https://es.wallapop.com/item/moto-872761032","https://es.wallapop.com/app/chat?itemId=qzmy0w0k3gzv"
