"Название товара","Ссылка на продавца","Ссылка на чат"
"Sillón eléctrico","https://es.wallapop.com/item/sillon-electrico-869379926","https://es.wallapop.com/app/chat?itemId=pzprxrwr1m63"
"Action Camera Victure AC920","https://es.wallapop.com/item/action-camera-victure-ac920-869379756","https://es.wallapop.com/app/chat?itemId=qzmy0yp3l1zv"
"vendo scooter oxelo","https://es.wallapop.com/item/vendo-scooter-oxelo-869379687","https://es.wallapop.com/app/chat?itemId=36exmxen7kzd"
"Transportin perro ","https://es.wallapop.com/item/transportin-perro-869380028","https://es.wallapop.com/app/chat?itemId=w67ynykyxw6x"
"Patinet momodesign revo 11","https://es.wallapop.com/item/patinet-momodesign-revo-11-869380690","https://es.wallapop.com/app/chat?itemId=x6qd1dxmwnjy"
"Cambio por iPhone 12 o 13 pro Max ","https://es.wallapop.com/item/cambio-por-iphone-12-o-13-pro-max-869380866","https://es.wallapop.com/app/chat?itemId=x6qd1dxmeejy"
"palilleria serie europea","https://es.wallapop.com/item/palilleria-serie-europea-869379363","https://es.wallapop.com/app/chat?itemId=36exmxenxnzd"
"se vende mobil por no usar","https://es.wallapop.com/item/se-vende-mobil-por-no-usar-869379343","https://es.wallapop.com/app/chat?itemId=vjrrmr1994jk"
"AirPods Max ","https://es.wallapop.com/item/airpods-max-869380611","https://es.wallapop.com/app/chat?itemId=0j23o3q41r6y"
"Bicicleta MTB Merida Nine 9 2022","https://es.wallapop.com/item/bicicleta-mtb-merida-nine-9-2022-869380567","https://es.wallapop.com/app/chat?itemId=vjrrmr1qe4jk"
"Bolso Bimba y Lola original","https://es.wallapop.com/item/bolso-bimba-y-lola-original-869380529","https://es.wallapop.com/app/chat?itemId=qjwpgpq4pwzo"
"Hp pavilion gaming laptop ","https://es.wallapop.com/item/hp-pavilion-gaming-laptop-869379545","https://es.wallapop.com/app/chat?itemId=3zl1p1n952jx"
"Mochila porta bebés","https://es.wallapop.com/item/mochila-porta-bebes-869379439","https://es.wallapop.com/app/chat?itemId=36exmxen88zd"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-869380363","https://es.wallapop.com/app/chat?itemId=36exmxex2yzd"
