"Название товара","Ссылка на продавца","Ссылка на чат"
"Botas sixty seven","https://www.vinted.es/femmes/chaussures/bottes/chaussures-plateforme/2666289196-botas-sixty-seven","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666289196&receiver_id=31588211&ref_url=%2Fitems%2F2666289196%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D31588211%26ref_url%3D%252Fmujer%252Fzapatos%252Fbotas%252Fplataformas%252F2666289196-botas-sixty-seven%26source%3Dwantit%26subject%3Dwanted%253A%2BBotas%2Bsixty%2Bseven&source=wantit&subject=wanted%3A+Botas+sixty+seven"
"Blouse/ Tuniek  zwart met paarse glitter","https://www.vinted.es/kobiety/ubrania/topy-koszulki-i-t-shirty/tuniki/2666288967-blouse-tuniek-zwart-met-paarse-glitter","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666288967&receiver_id=117339200&ref_url=%2Fitems%2F2666288967%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D117339200%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Ftunicas%252F2666288967-blouse-tuniek-zwart-met-paarse-glitter%26source%3Dwantit%26subject%3Dwanted%253A%2BBlouse%252F%2BTuniek%2B%2Bzwart%2Bmet%2Bpaarse%2Bglitter&source=wantit&subject=wanted%3A+Blouse%2F+Tuniek++zwart+met+paarse+glitter"
"Botines grises de Calvin Klein","https://www.vinted.es/femmes/chaussures/bottines/2666288952-botines-grises-de-calvin-klein","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666288952&receiver_id=131320678&ref_url=%2Fitems%2F2666288952%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131320678%26ref_url%3D%252Fmujer%252Fzapatos%252Fbotines%252F2666288952-botines-grises-de-calvin-klein%26source%3Dwantit%26subject%3Dwanted%253A%2BBotines%2Bgrises%2Bde%2BCalvin%2BKlein&source=wantit&subject=wanted%3A+Botines+grises+de+Calvin+Klein"
"Sudadera Rick y morty","https://www.vinted.es/men/clothes/jumpers-and-sweaters/hoodies-and-sweatshirts/2666295092-sudadera-rick-y-morty","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666295092&receiver_id=30573721&ref_url=%2Fitems%2F2666295092%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D30573721%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas-y-sudaderas-con-capucha%252F2666295092-sudadera-rick-y-morty%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2BRick%2By%2Bmorty&source=wantit&subject=wanted%3A+Sudadera+Rick+y+morty"
"camiseta lisa puma","https://www.vinted.es/men/clothes/tops-and-t-shirts/t-shirts/plain-t-shirts/2666294910-camiseta-lisa-puma","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666294910&receiver_id=117613912&ref_url=%2Fitems%2F2666294910%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D117613912%26ref_url%3D%252Fhombre%252Fropa%252Fcamisetas-y-camisas%252Fcamisetas-lisas%252F2666294910-camiseta-lisa-puma%26source%3Dwantit%26subject%3Dwanted%253A%2Bcamiseta%2Blisa%2Bpuma&source=wantit&subject=wanted%3A+camiseta+lisa+puma"
"Jersey de Pico Tommy Hilfiger","https://www.vinted.es/hommes/vetements/sweats-and-pulls/sweats-a-col-v/2666294647-jersey-de-pico-tommy-hilfiger","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666294647&receiver_id=131355398&ref_url=%2Fitems%2F2666294647%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131355398%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas%252Fcuello-de-pico%252F2666294647-jersey-de-pico-tommy-hilfiger%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2Bde%2BPico%2BTommy%2BHilfiger&source=wantit&subject=wanted%3A+Jersey+de+Pico+Tommy+Hilfiger"
"Tacos ","https://www.vinted.es/femmes/chaussures/chaussures-a-talons/chaussures-a-bride/2666293750-tacos","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666293750&receiver_id=86531051&ref_url=%2Fitems%2F2666293750%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D86531051%26ref_url%3D%252Fmujer%252Fzapatos%252Ftacones%252Fzapatos-destalonados%252F2666293750-tacos%26source%3Dwantit%26subject%3Dwanted%253A%2BTacos%2B&source=wantit&subject=wanted%3A+Tacos+"
"Bolso adidas","https://www.vinted.es/femmes/sacs/sacs-a-bandouliere/2666293707-bolso-adidas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666293707&receiver_id=130602808&ref_url=%2Fitems%2F2666293707%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130602808%26ref_url%3D%252Fmujer%252Fbolsos%252Fbolsos-de-hombro%252F2666293707-bolso-adidas%26source%3Dwantit%26subject%3Dwanted%253A%2BBolso%2Badidas&source=wantit&subject=wanted%3A+Bolso+adidas"
"Top Primark","https://www.vinted.es/femmes/vetements/hauts-and-tee-shirts/tops-courts/2666293480-top-primark","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666293480&receiver_id=131254479&ref_url=%2Fitems%2F2666293480%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131254479%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fcrop-tops%252F2666293480-top-primark%26source%3Dwantit%26subject%3Dwanted%253A%2BTop%2BPrimark&source=wantit&subject=wanted%3A+Top+Primark"
"Top Blanco","https://www.vinted.es/femmes/vetements/hauts-and-tee-shirts/blouses-manches-longues/2666293443-top-blanco","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666293443&receiver_id=119715974&ref_url=%2Fitems%2F2666293443%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D119715974%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fmanga-larga%252F2666293443-top-blanco%26source%3Dwantit%26subject%3Dwanted%253A%2BTop%2BBlanco&source=wantit&subject=wanted%3A+Top+Blanco"
"Camisa blanca con lunares negros","https://www.vinted.es/kobiety/ubrania/topy-koszulki-i-t-shirty/bluzki-z-dlugim-rekawem/2666292068-camisa-blanca-con-lunares-negros","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666292068&receiver_id=130374824&ref_url=%2Fitems%2F2666292068%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130374824%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fmanga-larga%252F2666292068-camisa-blanca-con-lunares-negros%26source%3Dwantit%26subject%3Dwanted%253A%2BCamisa%2Bblanca%2Bcon%2Blunares%2Bnegros&source=wantit&subject=wanted%3A+Camisa+blanca+con+lunares+negros"
"Conjunto bebé Zara","https://www.vinted.es/enfants/garcons/bebe-garcon/ensembles/2666291946-conjunto-bebe-zara","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666291946&receiver_id=130847231&ref_url=%2Fitems%2F2666291946%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130847231%26ref_url%3D%252Fninos%252Fninos%252Fbebe-nino%252Fconjuntos%252F2666291946-conjunto-bebe-zara%26source%3Dwantit%26subject%3Dwanted%253A%2BConjunto%2Bbeb%25C3%25A9%2BZara&source=wantit&subject=wanted%3A+Conjunto+beb%C3%A9+Zara"
"Abrigo vintage reversible ","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/parkas/2666291954-abrigo-vintage-reversible","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666291954&receiver_id=131283752&ref_url=%2Fitems%2F2666291954%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131283752%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fparkas%252F2666291954-abrigo-vintage-reversible%26source%3Dwantit%26subject%3Dwanted%253A%2BAbrigo%2Bvintage%2Breversible%2B&source=wantit&subject=wanted%3A+Abrigo+vintage+reversible+"
"Botas fútbol football","https://www.vinted.es/enfants/garcons/chaussures/autre/2666291922-botas-futbol-football","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666291922&receiver_id=52597175&ref_url=%2Fitems%2F2666291922%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D52597175%26ref_url%3D%252Fninos%252Fninos%252Fzapatos%252Fotros%252F2666291922-botas-futbol-football%26source%3Dwantit%26subject%3Dwanted%253A%2BBotas%2Bf%25C3%25BAtbol%2Bfootball&source=wantit&subject=wanted%3A+Botas+f%C3%BAtbol+football"
