"Название товара","Ссылка на продавца","Ссылка на чат"
"guantes de boxeo","https://es.wallapop.com/item/guantes-de-boxeo-872400495","https://es.wallapop.com/app/chat?itemId=ejkknnr7kqjx"
"caravana ligera","https://es.wallapop.com/item/caravana-ligera-872401413","https://es.wallapop.com/app/chat?itemId=pj9500e29oze"
"bicicleta para nioño ","https://es.wallapop.com/item/bicicleta-para-niono-872401404","https://es.wallapop.com/app/chat?itemId=w67ynneo296x"
"Impresora Canon","https://es.wallapop.com/item/impresora-canon-872401399","https://es.wallapop.com/app/chat?itemId=nz0011dpkrzo"
"Cuna colecho chicco Next2me","https://es.wallapop.com/item/cuna-colecho-872401393","https://es.wallapop.com/app/chat?itemId=3zl1pp5234jx"
"dron mavic pro","https://es.wallapop.com/item/dron-mavic-pro-872400616","https://es.wallapop.com/app/chat?itemId=v6g233v5e5ze"
"lampara de mesa","https://es.wallapop.com/item/lampara-de-mesa-872401269","https://es.wallapop.com/app/chat?itemId=3zl1pp52xqjx"
"Biombo vintage","https://es.wallapop.com/item/biombo-vintage-872400760","https://es.wallapop.com/app/chat?itemId=9jd211v9q96k"
"iPhone SE 64GB silver, 88% battery","https://es.wallapop.com/item/iphone-se-64gb-silver-88-battery-872400686","https://es.wallapop.com/app/chat?itemId=4z4122k93lzy"
"Sofa Chaise longe roja brazo derecho ","https://es.wallapop.com/item/sofa-chaise-longe-roja-brazo-derecho-872400661","https://es.wallapop.com/app/chat?itemId=pj9500epe0ze"
"saco de boxeo","https://es.wallapop.com/item/saco-de-boxeo-872401161","https://es.wallapop.com/app/chat?itemId=pj9500e2xvze"
"Tapicar's","https://es.wallapop.com/item/tapicar-s-872400842","https://es.wallapop.com/app/chat?itemId=x6qd11w37yjy"
"Peugeot 308 2016","https://es.wallapop.com/item/peugeot-308-2016-872400836","https://es.wallapop.com/app/chat?itemId=9jd211v9pl6k"
"botas y guantes de nieve","https://es.wallapop.com/item/botas-y-guantes-de-nieve-872400818","https://es.wallapop.com/app/chat?itemId=x6qd11w3eyjy"
"cabecero 160cm","https://es.wallapop.com/item/cabecero-160cm-872401239","https://es.wallapop.com/app/chat?itemId=36exmmv7vkzd"
"reloj real madrid","https://es.wallapop.com/item/reloj-real-madrid-872401221","https://es.wallapop.com/app/chat?itemId=3zl1pp52dqjx"
"ropa de niña de 4 a 6 años.","https://es.wallapop.com/item/ropa-de-nina-de-4-a-6-anos-872400945","https://es.wallapop.com/app/chat?itemId=3zl1pp5wonjx"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-872400921","https://es.wallapop.com/app/chat?itemId=3zl1pp5wvnjx"
"Cámara para PC con USB XTrust","https://es.wallapop.com/item/camara-para-pc-con-usb-xtrust-872400915","https://es.wallapop.com/app/chat?itemId=36exmmv43nzd"
"Ventilador disipador AMD Socket AM4","https://es.wallapop.com/item/ventilador-disipador-amd-socket-am4-872400367","https://es.wallapop.com/app/chat?itemId=vjrrmmx8l4jk"
"Fifa23","https://es.wallapop.com/item/fifa23-872400368","https://es.wallapop.com/app/chat?itemId=wzy5gg98dxj5"
"panerai ","https://es.wallapop.com/item/panerai-872401037","https://es.wallapop.com/app/chat?itemId=pj9500e2gmze"
"mimon","https://es.wallapop.com/item/mimon-872400975","https://es.wallapop.com/app/chat?itemId=nz0011dp93zo"
"Vendo Suzuki sv650s ","https://es.wallapop.com/item/vendo-suzuki-sv650s-872400894","https://es.wallapop.com/app/chat?itemId=8z84ppenm863"
"Llantas de 14''","https://es.wallapop.com/item/llantas-de-14-872400883","https://es.wallapop.com/app/chat?itemId=0j23ooe25v6y"
"lámpara manicura ","https://es.wallapop.com/item/lampara-manicura-872400461","https://es.wallapop.com/app/chat?itemId=pj9500epgmze"
"Jaguar X-Type 2005","https://es.wallapop.com/item/jaguar-x-type-2005-872400464","https://es.wallapop.com/app/chat?itemId=v6g233v517ze"
"libro fp básica ","https://es.wallapop.com/item/libro-fp-basica-872400452","https://es.wallapop.com/app/chat?itemId=w67ynne5dw6x"
