"Название товара","Ссылка на продавца","Ссылка на чат"
"funda movil sin estrenar nuevo","https://es.wallapop.com/item/funda-movil-sin-estrenar-nuevo-870698808","https://es.wallapop.com/app/chat?itemId=qzmy0oo0rgzv"
"MacBook Air 13"" 2015","https://es.wallapop.com/item/macbook-air-13-2015-870699096","https://es.wallapop.com/app/chat?itemId=e65gdppl9mjo"
"BMW Serie 3 2000","https://es.wallapop.com/item/bmw-serie-3-2000-870699010","https://es.wallapop.com/app/chat?itemId=8j3ek55l42z9"
"compartir local para clases de arte","https://es.wallapop.com/item/compartir-local-para-clases-de-arte-870698878","https://es.wallapop.com/app/chat?itemId=nzx0gwwg31z2"
"Pantalón esquí niño talla 110 cms 5 años","https://es.wallapop.com/item/pantalon-esqui-nino-talla-110-cms-5-anos-870698863","https://es.wallapop.com/app/chat?itemId=36exmppmq8zd"
"Vestido Tommy Hilfiger","https://es.wallapop.com/item/vestido-tommy-hilfiger-870699527","https://es.wallapop.com/app/chat?itemId=nz001ww3m7zo"
"Ruedas patinete Xiaomi  ","https://es.wallapop.com/item/ruedas-patinete-xiaomi-870699433","https://es.wallapop.com/app/chat?itemId=xzorw331elz9"
"Vendo bicicleta nueva ","https://es.wallapop.com/item/vendo-bicicleta-nueva-870699720","https://es.wallapop.com/app/chat?itemId=wzy5gxx89ej5"
"ikea kallax 112x147 totalmente nuevo","https://es.wallapop.com/item/ikea-kallax-112x147-totalmente-nuevo-870698570","https://es.wallapop.com/app/chat?itemId=8z84pwwpe163"
"botas adidas predator edge 3","https://es.wallapop.com/item/botas-adidas-predator-edge-3-870698781","https://es.wallapop.com/app/chat?itemId=xzorw33wp5z9"
"abrigo Hakei","https://es.wallapop.com/item/abrigo-hakei-870698719","https://es.wallapop.com/app/chat?itemId=vjrrmoom54jk"
"MOTO SUZUKI EN PERFECTO ESTADO","https://es.wallapop.com/item/moto-suzuki-en-perfecto-estado-870698328","https://es.wallapop.com/app/chat?itemId=w67yn77n386x"
"Funko pop pennywise edición especial ","https://es.wallapop.com/item/funko-pop-pennywise-edicion-especial-870698589","https://es.wallapop.com/app/chat?itemId=wzvnd00d31jl"
"Material skate Lote ","https://es.wallapop.com/item/material-skate-lote-870698371","https://es.wallapop.com/app/chat?itemId=ejkkneen4yjx"
