"Название товара","Ссылка на продавца","Ссылка на чат"
"Bicicleta eléctrica. ","https://es.wallapop.com/item/bicicleta-electrica-871227270","https://es.wallapop.com/app/chat?itemId=8z84p2o7w863"
"mostrador y mobiliario comercio","https://es.wallapop.com/item/mostrador-y-mobiliario-comercio-871227229","https://es.wallapop.com/app/chat?itemId=qjwpgqx3rgzo"
"zippos de colección","https://es.wallapop.com/item/zippos-de-coleccion-871223093","https://es.wallapop.com/app/chat?itemId=3zl1pnvxg8jx"
"Meda de salon comedor","https://es.wallapop.com/item/meda-de-salon-comedor-871222957","https://es.wallapop.com/app/chat?itemId=xzorw7y0nwz9"
"TRECK ROSCOE 7","https://es.wallapop.com/item/treck-roscoe-7-871222860","https://es.wallapop.com/app/chat?itemId=9jd21eov946k"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-871226679","https://es.wallapop.com/app/chat?itemId=p61ymqpw5265"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-871226629","https://es.wallapop.com/app/chat?itemId=qjwpgqx04gzo"
"bateria","https://es.wallapop.com/item/bateria-871226596","https://es.wallapop.com/app/chat?itemId=e65gd9xoggjo"
"Sony Home audio ...","https://es.wallapop.com/item/sony-home-audio-871226584","https://es.wallapop.com/app/chat?itemId=9jd21eop596k"
"Lavavajillas industrial + mesa ","https://es.wallapop.com/item/lavavajillas-industrial---mesa-871226579","https://es.wallapop.com/app/chat?itemId=p61ymqpw7d65"
"Samsung Galaxy A22 5G 128GB 4GB RAM Gris","https://es.wallapop.com/item/samsung-galaxy-a22-5g-128gb-4gb-ram-gris-871221897","https://es.wallapop.com/app/chat?itemId=mzn870re40zn"
"IPhone 7 Plus 32gb","https://es.wallapop.com/item/iphone-7-plus-32gb-871221671","https://es.wallapop.com/app/chat?itemId=ejkkn5g501jx"
"Fujifilm XT3 y 3 lens ","https://es.wallapop.com/item/fujifilm-xt3-y-3-lens-871224767","https://es.wallapop.com/app/chat?itemId=vjrrm1n3lljk"
"iphone xs 64gb. PRECIO NEGOCIABLE","https://es.wallapop.com/item/iphone-xs-64gb-precio-negociable-871224709","https://es.wallapop.com/app/chat?itemId=xzorw7y15wz9"
