"Название товара","Ссылка на продавца","Ссылка на чат"
"masajista terapia a domicilio","https://es.wallapop.com/item/masajista-terapia-a-domicilio-871179506","https://es.wallapop.com/app/chat?itemId=nzx0gq2wm5z2"
"Tpv para supermercados y alimetacion","https://es.wallapop.com/item/tpv-para-supermercados-y-alimetacion-871179434","https://es.wallapop.com/app/chat?itemId=8j3ekrq5pyz9"
"Altavoces Sony","https://es.wallapop.com/item/altavoces-sony-871179596","https://es.wallapop.com/app/chat?itemId=e65gd9npd0jo"
"Bicicleta montaña.","https://es.wallapop.com/item/bicicleta-montana-871175670","https://es.wallapop.com/app/chat?itemId=8z84p27qd863"
"Funda guitarra","https://es.wallapop.com/item/funda-guitarra-871179134","https://es.wallapop.com/app/chat?itemId=8j3ekrqp1lz9"
"Laiozyen Bicicleta Eléctrica Plegable 250W Unisex ","https://es.wallapop.com/item/laiozyen-bicicleta-electrica-plegable-250w-unisex-871176046","https://es.wallapop.com/app/chat?itemId=8z84p2712o63"
"Renault Scenic 2005","https://es.wallapop.com/item/renault-scenic-2005-871176021","https://es.wallapop.com/app/chat?itemId=3zl1pnygkqjx"
"vestido flamenca. Una sola puesta. talla S","https://es.wallapop.com/item/vestido-flamenca-una-sola-puesta-talla-s-871179182","https://es.wallapop.com/app/chat?itemId=8j3ekrqpnlz9"
"NINTENDO SWITCH V2","https://es.wallapop.com/item/nintendo-switch-v2-871178312","https://es.wallapop.com/app/chat?itemId=9jd21eywnn6k"
"Botines ","https://es.wallapop.com/item/botines-871178297","https://es.wallapop.com/app/chat?itemId=mzn870n3wkzn"
"iPhone 11 blanco 128gb","https://es.wallapop.com/item/iphone-11-blanco-128gb-871179223","https://es.wallapop.com/app/chat?itemId=ejkkn5ypgpjx"
"Cama Matrimonio (180 x 190) + mesitas de noche ","https://es.wallapop.com/item/cama-matrimonio-180-x-190---mesitas-de-noche-871178613","https://es.wallapop.com/app/chat?itemId=pj950vw41oze"
"mesa ","https://es.wallapop.com/item/mesa-871178560","https://es.wallapop.com/app/chat?itemId=9jd21eywp96k"
