"Название товара","Ссылка на продавца","Ссылка на чат"
"armario","https://es.wallapop.com/item/armario-872064559","https://es.wallapop.com/app/chat?itemId=0j23oke1mn6y"
"tortuga musical","https://es.wallapop.com/item/tortuga-musical-872064545","https://es.wallapop.com/app/chat?itemId=3zl1px5kv2jx"
"Cuadros","https://es.wallapop.com/item/cuadros-872064476","https://es.wallapop.com/app/chat?itemId=w67yn9e70w6x"
"Pendientes nuevos ","https://es.wallapop.com/item/pendientes-nuevos-872064477","https://es.wallapop.com/app/chat?itemId=qjwpgv973kzo"
"Pantalón largo psg talla M Original ","https://es.wallapop.com/item/pantalon-largo-psg-talla-m-872065094","https://es.wallapop.com/app/chat?itemId=8z84p9e2ml63"
"Frigorífico Combi INDESIT","https://es.wallapop.com/item/frigorifico-combi-indesit-872064280","https://es.wallapop.com/app/chat?itemId=qzmy01nonxzv"
"nevera Samsung ","https://es.wallapop.com/item/nevera-samsung-872064899","https://es.wallapop.com/app/chat?itemId=nz001xdy1dzo"
"Canon Eos 200D con funda y 2 baterías extra","https://es.wallapop.com/item/canon-eos-200d-con-funda-y-2-baterias-extra-872064882","https://es.wallapop.com/app/chat?itemId=8j3ekogro1z9"
"Manta eléctrica para espalda y hombros","https://es.wallapop.com/item/manta-electrica-para-espalda-y-hombros-872065217","https://es.wallapop.com/app/chat?itemId=wzvndv3ky7jl"
"Somier, colchón y su funda, por 75€","https://es.wallapop.com/item/somier-colchon-y-su-funda-por-75-872065182","https://es.wallapop.com/app/chat?itemId=8j3ekog2m8z9"
"Xbox one x ","https://es.wallapop.com/item/xbox-one-x-872065251","https://es.wallapop.com/app/chat?itemId=nz001xd20vzo"
"billar americano ","https://es.wallapop.com/item/billar-americano-872065047","https://es.wallapop.com/app/chat?itemId=ejkknwr5yqjx"
"Muñecas plastico imitación porcelana","https://es.wallapop.com/item/munecas-plastico-imitacion-porcelana-872065017","https://es.wallapop.com/app/chat?itemId=wzvndv3qpqjl"
"BARBERO","https://es.wallapop.com/item/barbero-872065415","https://es.wallapop.com/app/chat?itemId=36exmgvooqzd"
"Corvette","https://es.wallapop.com/item/corvette-872064828","https://es.wallapop.com/app/chat?itemId=w67yn9ekr96x"
"melbourne bici estatica","https://es.wallapop.com/item/melbourne-bici-estatica-872064797","https://es.wallapop.com/app/chat?itemId=mzn87mp002zn"
"Falda de seda de tribal dance","https://es.wallapop.com/item/falda-de-seda-de-tribal-dance-872065179","https://es.wallapop.com/app/chat?itemId=p61ym1dev765"
"AURICULARES INALÁMBRICOS F9","https://es.wallapop.com/item/auriculares-inalambricos-f9-872065180","https://es.wallapop.com/app/chat?itemId=qzmy01nv9yzv"
"2do lote de ropa, bolsos y calzado","https://es.wallapop.com/item/2do-lote-de-ropa-bolsos-y-calzado-872065147","https://es.wallapop.com/app/chat?itemId=ejkknwr51yjx"
"Zapatos Martinelli","https://es.wallapop.com/item/zapatos-martinelli-872064880","https://es.wallapop.com/app/chat?itemId=qzmy01np1xzv"
"cunita para coche de bebé ","https://es.wallapop.com/item/cunita-para-coche-de-bebe-872064871","https://es.wallapop.com/app/chat?itemId=ejkknwr5wpjx"
"2 Maquinas de tatuar y kit completo","https://es.wallapop.com/item/2-maquinas-de-tatuar-y-kit-completo-872064846","https://es.wallapop.com/app/chat?itemId=8z84p9e2e863"
"samsung a50","https://es.wallapop.com/item/samsung-a50-872064843","https://es.wallapop.com/app/chat?itemId=vjrrmvx1x9jk"
"Libros lectura inglés ","https://es.wallapop.com/item/libros-lectura-ingles-872064741","https://es.wallapop.com/app/chat?itemId=wzvndv3qg1jl"
"Sofá marroquí ","https://es.wallapop.com/item/sofa-marroqui-872064721","https://es.wallapop.com/app/chat?itemId=3zl1px5nm4jx"
"Pulsera","https://es.wallapop.com/item/pulsera-872064782","https://es.wallapop.com/app/chat?itemId=8j3ekogr5lz9"
"bicicleta passeig","https://es.wallapop.com/item/bicicleta-passeig-872064349","https://es.wallapop.com/app/chat?itemId=mzn87mpox7zn"
"2 polipastos de 75 toneladas","https://es.wallapop.com/item/2-polipastos-de-75-toneladas-872064344","https://es.wallapop.com/app/chat?itemId=wzy5gv9x0xj5"
"Lámpara techo lino","https://es.wallapop.com/item/lampara-techo-lino-872064334","https://es.wallapop.com/app/chat?itemId=8j3ekog5k7z9"
"2 cuadros ","https://es.wallapop.com/item/2-cuadros-872064333","https://es.wallapop.com/app/chat?itemId=xzorwo03w5z9"
"Adaptador USB ","https://es.wallapop.com/item/adaptador-usb-872064321","https://es.wallapop.com/app/chat?itemId=3zl1px5kpnjx"
"sudadera con capucha xxl","https://es.wallapop.com/item/sudadera-con-capucha-xxl-872065127","https://es.wallapop.com/app/chat?itemId=nz001xdyn7zo"
"Cuence de ceramica con figura de mujer","https://es.wallapop.com/item/cuence-de-ceramica-con-figura-de-mujer-872065092","https://es.wallapop.com/app/chat?itemId=wzy5gv9q3vj5"
"190 euro equipo de esquí Rossignol de niñas o niño","https://es.wallapop.com/item/190-euro-equipo-de-esqui-rossignol-de-ninas-o-nino-872065810","https://es.wallapop.com/app/chat?itemId=8j3ekoggx2z9"
"Xbox one negra ","https://es.wallapop.com/item/xbox-one-negra-872065782","https://es.wallapop.com/app/chat?itemId=8j3ekoggy8z9"
"MULTIGATE PRO AUDIO INTERACTIVE QUAD EXPANDER","https://es.wallapop.com/item/multigate-pro-audio-interactive-quad-expander-872064398","https://es.wallapop.com/app/chat?itemId=pzprx37gom63"
"Sillas stokke","https://es.wallapop.com/item/sillas-stokke-872064395","https://es.wallapop.com/app/chat?itemId=ejkknwre7rjx"
"derbi fds","https://es.wallapop.com/item/derbi-fds-872064370","https://es.wallapop.com/app/chat?itemId=8z84p9ew0r63"
"Bicicleta estática ","https://es.wallapop.com/item/bicicleta-estatica-872064613","https://es.wallapop.com/app/chat?itemId=pj950qevk0ze"
"mueble salón madera maciza","https://es.wallapop.com/item/mueble-salon-madera-maciza-872064602","https://es.wallapop.com/app/chat?itemId=pzprx37wy963"
"Paquete De 11 Libros De Geronimo y Tea Stilton.","https://es.wallapop.com/item/paquete-de-11-libros-de-geronimo-y-tea-stilton-872064595","https://es.wallapop.com/app/chat?itemId=ejkknwr52yjx"
"Tendedero ropa","https://es.wallapop.com/item/tendedero-ropa-872064592","https://es.wallapop.com/app/chat?itemId=wzy5gv9qepj5"
"Oredenador ","https://es.wallapop.com/item/oredenador-872064641","https://es.wallapop.com/app/chat?itemId=wzvndv3qy7jl"
"marco para pared SIN HUSAR","https://es.wallapop.com/item/marco-para-pared-sin-husar-872064635","https://es.wallapop.com/app/chat?itemId=0j23okeqye6y"
"Se vende ","https://es.wallapop.com/item/se-vende-872064628","https://es.wallapop.com/app/chat?itemId=w67yn9ekdy6x"
" Yamaha X-Max 125cc edición limitada Momo Design","https://es.wallapop.com/item/yamaha-x-max-125cc-edicion-limitada-momo-design-872064625","https://es.wallapop.com/app/chat?itemId=mzn87mp0lgzn"
"ateez pob hello82 fansign us exclusive y jewelry ","https://es.wallapop.com/item/ateez-pob-hello82-fansign-us-exclusive-y-jewelry-872064617","https://es.wallapop.com/app/chat?itemId=wzvndv3qr7jl"
"6 sillas beige","https://es.wallapop.com/item/6-sillas-beige-872064968","https://es.wallapop.com/app/chat?itemId=wzy5gv9qpxj5"
"VOLANTE SUZUKA WHEEL ELIT3","https://es.wallapop.com/item/volante-suzuka-wheel-elit3-872064969","https://es.wallapop.com/app/chat?itemId=3zl1px5nwnjx"
"Masajes Terapeuticos y Relajantes (igualada)","https://es.wallapop.com/item/masajes-terapeuticos-y-relajantes-igualada-872064963","https://es.wallapop.com/app/chat?itemId=36exmgve4nzd"
