"Название товара","Ссылка на продавца","Ссылка на чат"
"Vestido ceremonia ","https://es.wallapop.com/item/vestido-ceremonia-872105777","https://es.wallapop.com/app/chat?itemId=qjwpgvn7vwzo"
"Chaqueta de punto azul con capucha ","https://es.wallapop.com/item/chaqueta-de-punto-azul-con-capucha-872106304","https://es.wallapop.com/app/chat?itemId=w67yn9lkr56x"
"chaqueta adidas","https://es.wallapop.com/item/chaqueta-adidas-872105498","https://es.wallapop.com/app/chat?itemId=pzprx3mgy963"
"Quiero vender un par de zapatos de mujer finos y h","https://es.wallapop.com/item/quiero-vender-un-par-de-zapatos-de-mujer-finos-y-h-872105321","https://es.wallapop.com/app/chat?itemId=3zl1px7022jx"
"Monedero Bimbo y Lola (No hago envios)","https://es.wallapop.com/item/monedero-bimbo-y-lola-no-hago-envios-872106687","https://es.wallapop.com/app/chat?itemId=36exmgrowkzd"
"Pantalon SHEIN ","https://es.wallapop.com/item/pantalon-shein-872106538","https://es.wallapop.com/app/chat?itemId=4z4123lqprzy"
"Vestido negro talla S ","https://es.wallapop.com/item/vestido-negro-talla-s-872106222","https://es.wallapop.com/app/chat?itemId=8z84p9l25863"
"Top Blanco nuevo sin estrenar ","https://es.wallapop.com/item/top-blanco-nuevo-sin-estrenar-872106162","https://es.wallapop.com/app/chat?itemId=4z4123lq1mzy"
"Vestido ceremonia ","https://es.wallapop.com/item/vestido-ceremonia-872106032","https://es.wallapop.com/app/chat?itemId=qzmy01wo2ozv"
"Chaleco Bonobo","https://es.wallapop.com/item/chaleco-bonobo-872105995","https://es.wallapop.com/app/chat?itemId=ejkknw0evyjx"
