"Название товара","Ссылка на продавца","Ссылка на чат"
"constructor","https://es.wallapop.com/item/constructor-872465695","https://es.wallapop.com/app/chat?itemId=ejkknn755pjx"
"Traje completo hombre","https://es.wallapop.com/item/traje-completo-hombre-872465693","https://es.wallapop.com/app/chat?itemId=3zl1ppwnn8jx"
"Lote 8 cromos Adrenalyn xl LaLiga de 2014 a 2023.","https://es.wallapop.com/item/lote-8-cromos-adrenalyn-xl-laliga-de-2014-a-2023-872465694","https://es.wallapop.com/app/chat?itemId=8z84ppn22863"
"coche de bebe ","https://es.wallapop.com/item/coche-de-bebe-872465468","https://es.wallapop.com/app/chat?itemId=wzy5ggpxd2j5"
"Virtual Hero del Rubius ","https://es.wallapop.com/item/virtual-hero-del-rubius-872465441","https://es.wallapop.com/app/chat?itemId=wzvndde0w7jl"
"Brownies de Chocolate ","https://es.wallapop.com/item/brownies-de-chocolate-872465438","https://es.wallapop.com/app/chat?itemId=4z41229nwlzy"
"Plataforma ","https://es.wallapop.com/item/plataforma-872466479","https://es.wallapop.com/app/chat?itemId=p61ymm3e0x65"
"horno ","https://es.wallapop.com/item/horno-872466127","https://es.wallapop.com/app/chat?itemId=nz0011o2vrzo"
"Cuna + colchón ","https://es.wallapop.com/item/cuna---colchon-872465171","https://es.wallapop.com/app/chat?itemId=ejkknn7errjx"
"Chándal Nike Tech negra","https://es.wallapop.com/item/chandal-nike-tech-negra-872465259","https://es.wallapop.com/app/chat?itemId=0j23oo21dr6y"
"pesas para tobillos/muñecas 5kg ","https://es.wallapop.com/item/pesas-para-tobillos-munecas-5kg-872465267","https://es.wallapop.com/app/chat?itemId=vjrrmm2o8xjk"
"Vestido Springfield nuevo","https://es.wallapop.com/item/vestido-springfield-nuevo-872465253","https://es.wallapop.com/app/chat?itemId=qjwpgg57nkzo"
"Pokemon púrpura","https://es.wallapop.com/item/pokemon-purpura-872465746","https://es.wallapop.com/app/chat?itemId=8z84ppn2er63"
"Estuche ","https://es.wallapop.com/item/estuche-872465745","https://es.wallapop.com/app/chat?itemId=3zl1ppwn5njx"
"Guantes sólo porteros","https://es.wallapop.com/item/guantes-solo-porteros-872465730","https://es.wallapop.com/app/chat?itemId=nzx0ggnqm7z2"
"vendo comoda","https://es.wallapop.com/item/vendo-comoda-872465721","https://es.wallapop.com/app/chat?itemId=3zl1ppwndnjx"
"Silla Bugaboo bee 5 ","https://es.wallapop.com/item/silla-bugaboo-bee-5-872465716","https://es.wallapop.com/app/chat?itemId=v6g2335ek2ze"
"nv","https://es.wallapop.com/item/nv-872465709","https://es.wallapop.com/app/chat?itemId=xzorwwm775z9"
"Cama 140x200 con Somier y Colchon","https://es.wallapop.com/item/cama-140x200-con-somier-y-colchon-872466046","https://es.wallapop.com/app/chat?itemId=8z84ppn2yo63"
"Iphone 6 plus para reacondicionar ","https://es.wallapop.com/item/iphone-6-plus-para-reacondicionar-872466084","https://es.wallapop.com/app/chat?itemId=9jd2119mx46k"
"Adaptador de cinturón para embarazadas","https://es.wallapop.com/item/adaptador-de-cinturon-para-embarazadas-872466072","https://es.wallapop.com/app/chat?itemId=e65gddkrvmjo"
"Trona bebé","https://es.wallapop.com/item/trona-bebe-872466069","https://es.wallapop.com/app/chat?itemId=3zl1ppwdeqjx"
"Ottolenghi Simple","https://es.wallapop.com/item/ottolenghi-simple-872465323","https://es.wallapop.com/app/chat?itemId=ejkknn7e3yjx"
"Microondas Taurus ","https://es.wallapop.com/item/microondas-taurus-872465311","https://es.wallapop.com/app/chat?itemId=0j23oo217n6y"
"CAMA NIDO CORA + COLCHÓN 90cm","https://es.wallapop.com/item/cama-nido-cora---colchon-90cm-872466015","https://es.wallapop.com/app/chat?itemId=36exmm4e3kzd"
"Vestidos curvy","https://es.wallapop.com/item/vestidos-curvy-872465784","https://es.wallapop.com/app/chat?itemId=9jd2119e1d6k"
"patinete Oxelo","https://es.wallapop.com/item/patinete-oxelo-872465776","https://es.wallapop.com/app/chat?itemId=w67ynn5k956x"
"Baul pequeño madera y cuero","https://es.wallapop.com/item/baul-pequeno-madera-y-cuero-872465764","https://es.wallapop.com/app/chat?itemId=v6g2335en2ze"
"se vende televisor con mando,semi nueva poco usada","https://es.wallapop.com/item/se-vende-televisor-con-mando-semi-nueva-poco-usada-872465879","https://es.wallapop.com/app/chat?itemId=p61ymm3q3x65"
"Tv Panasonic ","https://es.wallapop.com/item/tv-panasonic-872465869","https://es.wallapop.com/app/chat?itemId=3zl1ppwnwpjx"
"Billete 10 euros antiguo","https://es.wallapop.com/item/billete-10-euros-antiguo-872466165","https://es.wallapop.com/app/chat?itemId=wzvnddekn1jl"
"vaqueros niña talla 10/12","https://es.wallapop.com/item/vaqueros-nina-talla-10-12-872465227","https://es.wallapop.com/app/chat?itemId=nz0011ow1ezo"
"Máquina coser Refrey","https://es.wallapop.com/item/maquina-coser-refrey-872465968","https://es.wallapop.com/app/chat?itemId=wzy5ggpq2pj5"
"Invisible Eloy Moreno","https://es.wallapop.com/item/invisible-eloy-moreno-872465948","https://es.wallapop.com/app/chat?itemId=e65gddk9n0jo"
"Esquís de travesía FISCHER HANNIBAL 94","https://es.wallapop.com/item/esquis-de-travesia-fischer-hannibal-94-872465476","https://es.wallapop.com/app/chat?itemId=w67ynn5k8y6x"
"sillas de paseo asalvo. ","https://es.wallapop.com/item/sillas-de-paseo-asalvo-872465362","https://es.wallapop.com/app/chat?itemId=4z41229n5rzy"
"Bakugan","https://es.wallapop.com/item/bakugan-872465350","https://es.wallapop.com/app/chat?itemId=pzprxxog4l63"
"Sudadera blanca california","https://es.wallapop.com/item/sudadera-blanca-california-872465558","https://es.wallapop.com/app/chat?itemId=8j3ekkdrxlz9"
"Abrigo de paño ","https://es.wallapop.com/item/abrigo-de-pano-872465555","https://es.wallapop.com/app/chat?itemId=p61ymm3q7d65"
"Resident Evil 7 Biohazard","https://es.wallapop.com/item/resident-evil-7-biohazard-872465542","https://es.wallapop.com/app/chat?itemId=x6qd113xy5jy"
"Interruptores persianas ","https://es.wallapop.com/item/interruptores-persianas-872465548","https://es.wallapop.com/app/chat?itemId=e65gddk93gjo"
"Vendo iPhone 7","https://es.wallapop.com/item/vendo-iphone-7-872465533","https://es.wallapop.com/app/chat?itemId=xzorwwm78wz9"
"Bicicleta BMX gt bikes slammer de segunda mano","https://es.wallapop.com/item/bicicleta-bmx-gt-bikes-slammer-de-segunda-mano-872465527","https://es.wallapop.com/app/chat?itemId=nz0011oymrzo"
"Nike dunk high","https://es.wallapop.com/item/nike-dunk-high-872465930","https://es.wallapop.com/app/chat?itemId=nzx0ggnq25z2"
"patinete eléctrico ","https://es.wallapop.com/item/patinete-electrico-872465903","https://es.wallapop.com/app/chat?itemId=nz0011oyp7zo"
"Patinete Xiaomi Mi Electric Scooter Pro 2","https://es.wallapop.com/item/patinete-xiaomi-mi-electric-scooter-pro-2-872465901","https://es.wallapop.com/app/chat?itemId=mzn87710kyzn"
"jaula adaptada para hámster ","https://es.wallapop.com/item/jaula-adaptada-para-hamster-872465894","https://es.wallapop.com/app/chat?itemId=8z84ppn23l63"
"Falda cuero negra talla 34","https://es.wallapop.com/item/falda-cuero-negra-talla-34-872466210","https://es.wallapop.com/app/chat?itemId=8j3ekkd281z9"
"Juego palos golf hombre zurdo","https://es.wallapop.com/item/juego-palos-golf-hombre-zurdo-872465648","https://es.wallapop.com/app/chat?itemId=e65gddk97pjo"
"mochila escolar con ruedas","https://es.wallapop.com/item/mochila-escolar-con-ruedas-872465639","https://es.wallapop.com/app/chat?itemId=36exmm4e5qzd"
"Jordan 4 Kaws Grey Edition","https://es.wallapop.com/item/jordan-4-kaws-grey-edition-872465624","https://es.wallapop.com/app/chat?itemId=e65gddk9qpjo"
