"Название товара","Ссылка на продавца","Ссылка на чат"
"Osprey Archeon 24. Color negro. Unisex. A estrenar","https://es.wallapop.com/item/osprey-archeon-24-color-negro-unisex-a-estrenar-869190013","https://es.wallapop.com/app/chat?itemId=pj950gwrr0ze"
"PC GAMING RYZEN 5 5600X | RX 6700XT","https://es.wallapop.com/item/pc-gaming-ryzen-5-5600x-rx-6700xt-869190812","https://es.wallapop.com/app/chat?itemId=9jd215yvyl6k"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-869190796","https://es.wallapop.com/app/chat?itemId=e65gd3nengjo"
"Servicio de niñera","https://es.wallapop.com/item/servicio-de-ninera-869190376","https://es.wallapop.com/app/chat?itemId=w67yng0e356x"
"Espejo dorado ","https://es.wallapop.com/item/espejo-dorado-869190863","https://es.wallapop.com/app/chat?itemId=36exmnyv2qzd"
"Iphone X que en buen estado","https://es.wallapop.com/item/iphone-x-que-en-buen-estado-869190858","https://es.wallapop.com/app/chat?itemId=8j3ekxqg01z9"
"ENTRADITA DE FORJA","https://es.wallapop.com/item/entradita-de-forja-869190842","https://es.wallapop.com/app/chat?itemId=x6qd197wpyjy"
"smartphone ZTE BLADE A51","https://es.wallapop.com/item/smartphone-zte-blade-a51-869190426","https://es.wallapop.com/app/chat?itemId=pzprx1071463"
"Mesillas de Noche ","https://es.wallapop.com/item/mesillas-de-noche-869190259","https://es.wallapop.com/app/chat?itemId=0j23orvg5v6y"
"Vendo lavavajillas BOSCH totalmente integrado","https://es.wallapop.com/item/vendo-lavavajillas-bosch-totalmente-integrado-869190172","https://es.wallapop.com/app/chat?itemId=e65gd3nr1gjo"
"litera ","https://es.wallapop.com/item/casa-en-venta-869190164","https://es.wallapop.com/app/chat?itemId=v6g231yk5lze"
"Maleta grande","https://es.wallapop.com/item/maleta-grande-869190204","https://es.wallapop.com/app/chat?itemId=w67yng0r296x"
"caldera de gasóleo Trade","https://es.wallapop.com/item/caldera-de-gasoleo-trade-869190197","https://es.wallapop.com/app/chat?itemId=mzn87vned2zn"
"Google Pixel 3A","https://es.wallapop.com/item/google-pixel-3a-869190082","https://es.wallapop.com/app/chat?itemId=8j3ekxq2k2z9"
"pedo envasado ","https://es.wallapop.com/item/pedo-envasado-869190695","https://es.wallapop.com/app/chat?itemId=ejkkn9yr01jx"
"pirelli scorpion 2021","https://es.wallapop.com/item/pirelli-scorpion-2021-869190494","https://es.wallapop.com/app/chat?itemId=8z84pg7e8l63"
"Alquiler autocaravana ","https://es.wallapop.com/item/alquiler-autocaravana-869189998","https://es.wallapop.com/app/chat?itemId=pzprx105wl63"
"portatiles","https://es.wallapop.com/item/portatiles-869189979","https://es.wallapop.com/app/chat?itemId=p61ym7geq765"
