"Название товара","Ссылка на продавца","Ссылка на чат"
"sillón relax ","https://es.wallapop.com/item/sillon-relax-870638077","https://es.wallapop.com/app/chat?itemId=qjwpg7pp1gzo"
"Lavavajillas ","https://es.wallapop.com/item/lavavajillas-870637829","https://es.wallapop.com/app/chat?itemId=qjwpg7ppl4zo"
"Chaqueta de cuero","https://es.wallapop.com/item/chaqueta-de-cuero-870637975","https://es.wallapop.com/app/chat?itemId=nz001w008rzo"
"Clases de Frances en Melilla ","https://es.wallapop.com/item/clases-de-frances-en-melilla-870637346","https://es.wallapop.com/app/chat?itemId=8z84pw4g4163"
"Samsung Galaxy s 23","https://es.wallapop.com/item/samsung-galaxy-s-23-870637333","https://es.wallapop.com/app/chat?itemId=xzorw3rvvwz9"
"bateria","https://es.wallapop.com/item/bateria-870637676","https://es.wallapop.com/app/chat?itemId=w67yn7ygow6x"
"Swatch X Omega Mercury ","https://es.wallapop.com/item/swatch-x-omega-mercury-870637509","https://es.wallapop.com/app/chat?itemId=xzorw3rvd5z9"
"carricoche bebé ","https://es.wallapop.com/item/carricoche-bebe-870638015","https://es.wallapop.com/app/chat?itemId=36exmpxx8qzd"
"Renault Clio 2008","https://es.wallapop.com/item/renault-clio-2008-870638014","https://es.wallapop.com/app/chat?itemId=4z412n110wzy"
"Sofá y butacas","https://es.wallapop.com/item/sofa-y-butacas-870637141","https://es.wallapop.com/app/chat?itemId=wzvnd0nyodjl"
"Amaca de bebe","https://es.wallapop.com/item/amaca-de-bebe-870637128","https://es.wallapop.com/app/chat?itemId=w67yn7yd086x"
"6 Proyectores diapositivas para recambios o repara","https://es.wallapop.com/item/6-proyectores-diapositivas-para-recambios-o-repara-870637738","https://es.wallapop.com/app/chat?itemId=4z412n1gprzy"
"Bicicleta Rockrider St 520","https://es.wallapop.com/item/bicicleta-rockrider-st-520-870637726","https://es.wallapop.com/app/chat?itemId=pzprxgr10l63"
"Dos teléfonos samsung j5 ' samsung j3","https://es.wallapop.com/item/dos-telefonos-samsung-j5-samsung-j3-870637578","https://es.wallapop.com/app/chat?itemId=nzx0gw0yg7z2"
"vendo","https://es.wallapop.com/item/vendo-870637541","https://es.wallapop.com/app/chat?itemId=wzvnd0nlv4jl"
"Carro de bebe, chico","https://es.wallapop.com/item/carro-de-bebe-chico-870638213","https://es.wallapop.com/app/chat?itemId=pj950x55pmze"
"DSQUARED2","https://es.wallapop.com/item/dsquared2-870638187","https://es.wallapop.com/app/chat?itemId=36exmpxxknzd"
