"Название товара","Ссылка на продавца","Ссылка на чат"
"pleystasion 4 500 gb","https://es.wallapop.com/item/pleystasion-4-500-gb-871735828","https://es.wallapop.com/app/chat?itemId=w67yneelvy6x"
"Aspiradora ","https://es.wallapop.com/item/aspiradora-871736388","https://es.wallapop.com/app/chat?itemId=v6g23vvqgnze"
"lavadora ","https://es.wallapop.com/item/lavadora-871735559","https://es.wallapop.com/app/chat?itemId=0j23oeeoxm6y"
"reparaciones de electrodomésticos ","https://es.wallapop.com/item/reparaciones-de-electrodomesticos-871735810","https://es.wallapop.com/app/chat?itemId=8j3ekggl42z9"
"NEVERA PROFESIONAL + ARMARIO DE FERMENTACION PAN","https://es.wallapop.com/item/nevera-profesional---armario-de-fermentcacion-pan-871735495","https://es.wallapop.com/app/chat?itemId=ejkknrrn7pjx"
"Cuna parque y colchón ","https://es.wallapop.com/item/cuna-parque-y-colchon-871736351","https://es.wallapop.com/app/chat?itemId=nz001dd3v7zo"
"zapatillas Jordan","https://es.wallapop.com/item/zapatillas-jordan-871736353","https://es.wallapop.com/app/chat?itemId=qjwpg998pezo"
"Libro Programación en Matlab a estrenar","https://es.wallapop.com/item/libro-programacion-en-matlab-a-estrenar-871736172","https://es.wallapop.com/app/chat?itemId=e65gdeel02jo"
"Estantería wengue","https://es.wallapop.com/item/estanteria-wengue-871735739","https://es.wallapop.com/app/chat?itemId=36exmvvrwvzd"
"Samsung tab s6 Lite, Oxford Gray (negro)/ 64GB","https://es.wallapop.com/item/samsung-tab-s6-lite-oxford-gray-negro-64gb-871735927","https://es.wallapop.com/app/chat?itemId=nz001ddl2rzo"
"OFERTA! RELOJ SUIZO LANSCOTTE ORO PRIMERA LEY ","https://es.wallapop.com/item/oferta-reloj-suizo-lanscotte-oro-primera-ley-871736041","https://es.wallapop.com/app/chat?itemId=wzvnd3358rjl"
