"Название товара","Ссылка на продавца","Ссылка на чат"
"Cámara Canon T4i Eos Rebel","https://es.wallapop.com/item/camara-canon-t4i-eos-rebel-868463881","https://es.wallapop.com/app/chat?itemId=xzorwl15plz9"
"Nintendo switch oled ","https://es.wallapop.com/item/nintendo-switch-oled-868465159","https://es.wallapop.com/app/chat?itemId=0j23owd99n6y"
"conina con electrodomésticos","https://es.wallapop.com/item/conina-con-electrodomesticos-868465148","https://es.wallapop.com/app/chat?itemId=e65gdvl440jo"
"Auxiliar administrativo Ayuntamiento de Madrid","https://es.wallapop.com/item/auxiliar-administrativo-ayuntamiento-de-madrid-868466268","https://es.wallapop.com/app/chat?itemId=wzy5gl8lmvj5"
"HP 22es ","https://es.wallapop.com/item/hp-22es-868466839","https://es.wallapop.com/app/chat?itemId=36exmdkw38zd"
"Televisor 43'' LG UHD TV AI","https://es.wallapop.com/item/televisor-43-lg-uhd-tv-ai-868465603","https://es.wallapop.com/app/chat?itemId=nz001g39kezo"
"Ordenador Sobremesa (PC) ","https://es.wallapop.com/item/ordenador-sobremesa-pc-868465588","https://es.wallapop.com/app/chat?itemId=v6g230qmw2ze"
"LAVABO ""Roca"" DOBLE PARA BAÑO ","https://es.wallapop.com/item/lavabo-roca-doble-para-bano-868465581","https://es.wallapop.com/app/chat?itemId=xzorwlqk45z9"
"Sombrilla terraza","https://es.wallapop.com/item/sombrilla-terraza-868466712","https://es.wallapop.com/app/chat?itemId=9jd21xq70d6k"
"Brooks Cascadia 16 42,5","https://es.wallapop.com/item/brooks-cascadia-16-42-5-868467133","https://es.wallapop.com/app/chat?itemId=xzorwlqvdwz9"
"Bici Rockrider st100","https://es.wallapop.com/item/bici-rockrider-st100-868467083","https://es.wallapop.com/app/chat?itemId=0j23owdr1e6y"
"Conjunto de Pesas.","https://es.wallapop.com/item/conjunto-de-pesas-868466498","https://es.wallapop.com/app/chat?itemId=pzprxyq9g963"
"Boxroom for sale","https://es.wallapop.com/item/boxroom-for-sale-868466490","https://es.wallapop.com/app/chat?itemId=x6qd1k8yvejy"
"PS5 en perfecto estado 2 mandos disco","https://es.wallapop.com/item/ps5-en-perfecto-estado-2-mandos-disco-868467556","https://es.wallapop.com/app/chat?itemId=qzmy098yyyzv"
"sofá grande ","https://es.wallapop.com/item/sofa-grande-868466622","https://es.wallapop.com/app/chat?itemId=8z84pq01p863"
"Colchón 105x190 + Somier","https://es.wallapop.com/item/colchon-105x190---somier-868466399","https://es.wallapop.com/app/chat?itemId=nz001g3mv7zo"
"VENDO PACK ENTERO DE...","https://es.wallapop.com/item/vendo-pack-entero-de-868466381","https://es.wallapop.com/app/chat?itemId=xzorwlq8v2z9"
"Ford Fiesta 1997","https://es.wallapop.com/item/ford-fiesta-1997-868466373","https://es.wallapop.com/app/chat?itemId=mzn87gqllyzn"
