"Название товара","Ссылка на продавца","Ссылка на чат"
"maletín caballeto","https://es.wallapop.com/item/maletin-caballeto-873098302","https://es.wallapop.com/app/chat?itemId=pzprxqm1ql63"
"mueble de salón o salita","https://es.wallapop.com/item/mueble-de-salon-o-salita-873098278","https://es.wallapop.com/app/chat?itemId=nzx0g8pyp1z2"
"Pulsera de plata","https://es.wallapop.com/item/pulsera-de-plata-873098275","https://es.wallapop.com/app/chat?itemId=nz0013lvlezo"
"Trona de madera convertible ","https://es.wallapop.com/item/trona-de-madera-convertible-873098350","https://es.wallapop.com/app/chat?itemId=pzprxqm1el63"
"playmobil 4859","https://es.wallapop.com/item/playmobil-4859-873098335","https://es.wallapop.com/app/chat?itemId=0j23odlr7n6y"
"Samsung S20 FE 128g 5g ","https://es.wallapop.com/item/samsung-s20-fe-128g-5g-873098329","https://es.wallapop.com/app/chat?itemId=qjwpg8ndwezo"
"iPhone 6s para piezas","https://es.wallapop.com/item/iphone-6s-para-piezas-873098105","https://es.wallapop.com/app/chat?itemId=qjwpg8nd2wzo"
"KDA postcard fanart","https://es.wallapop.com/item/kda-postcard-fanart-873098561","https://es.wallapop.com/app/chat?itemId=pj9507l5y2ze"
"Ropa infantil","https://es.wallapop.com/item/ropa-infantil-873098254","https://es.wallapop.com/app/chat?itemId=nzx0g8pyg1z2"
"Xbox series S/ Fifa Nuevo/Call of duty nuevo","https://es.wallapop.com/item/xbox-series-s-fifa-nuevo-call-of-duty-nuevo-873098243","https://es.wallapop.com/app/chat?itemId=vjrrm839mxjk"
"Raqueta tennis","https://es.wallapop.com/item/raqueta-tennis-873098387","https://es.wallapop.com/app/chat?itemId=36exmkrnyvzd"
"Silla inodoro ","https://es.wallapop.com/item/silla-inodoro-873098372","https://es.wallapop.com/app/chat?itemId=e65gd5l3o0jo"
"vestido zara ","https://es.wallapop.com/item/vestido-zara-873098368","https://es.wallapop.com/app/chat?itemId=wzy5g807wpj5"
"patín eléctrico ","https://es.wallapop.com/item/patin-electrico-873098481","https://es.wallapop.com/app/chat?itemId=xzorwq1ve7z9"
"esterilla de yoga y bloque de regalo","https://es.wallapop.com/item/esterilla-de-yoga-y-bloque-de-regalo-873098464","https://es.wallapop.com/app/chat?itemId=v6g23qr1d5ze"
"rumbo a ti de beth o'leary","https://es.wallapop.com/item/rumbo-a-ti-de-beth-o-leary-873098447","https://es.wallapop.com/app/chat?itemId=ejkknq09v1jx"
"funkos pop lote mortal kombat ","https://es.wallapop.com/item/funkos-pop-lote-mortal-kombat-873097999","https://es.wallapop.com/app/chat?itemId=nz0013lvvrzo"
