"Название товара","Ссылка на продавца","Ссылка на чат"
"Maleta de fibra con cierre antirrobo y clave ","https://es.wallapop.com/item/maleta-de-fibra-con-cierre-antirrobo-y-clave-871360473","https://es.wallapop.com/app/chat?itemId=mzn87eoex0zn"
"Battlefield 2042","https://es.wallapop.com/item/battlefield-2042-871359969","https://es.wallapop.com/app/chat?itemId=3zl1pdkn2njx"
"Calculadora Casio de bolsillo","https://es.wallapop.com/item/calculadora-casio-de-bolsillo-871359892","https://es.wallapop.com/app/chat?itemId=wzy5goxq05j5"
"Pantalón Mckenzie/Negro","https://es.wallapop.com/item/pantalon-mckenzie-negro-871359848","https://es.wallapop.com/app/chat?itemId=e65gdrp92pjo"
"conjunto  salón","https://es.wallapop.com/item/conjunto-salon-871360511","https://es.wallapop.com/app/chat?itemId=0j23og1gdm6y"
"colchoncillo tooper viscoelastico","https://es.wallapop.com/item/colchoncillo-tooper-viscoelastico-871360488","https://es.wallapop.com/app/chat?itemId=v6g23k7kqmze"
"TV Televisor 28 pulgadas","https://es.wallapop.com/item/tv-televisor-28-pulgadas-871359541","https://es.wallapop.com/app/chat?itemId=wzvndk00xdjl"
"Play 4 con 3 películas","https://es.wallapop.com/item/play-4-con-3-peliculas-871359124","https://es.wallapop.com/app/chat?itemId=e65gdrppqgjo"
"Lámpara de pie ","https://es.wallapop.com/item/lampara-de-pie-871359760","https://es.wallapop.com/app/chat?itemId=9jd21mnen96k"
"Lego Marvel Super Héroes PS3","https://es.wallapop.com/item/lego-marvel-super-heroes-ps3-871359715","https://es.wallapop.com/app/chat?itemId=36exmope5yzd"
"Bicicleta plegable Moma First Class ","https://es.wallapop.com/item/bicicleta-plegable-moma-first-class-871359724","https://es.wallapop.com/app/chat?itemId=e65gdrp97gjo"
"aire acondicionado Hisense ","https://es.wallapop.com/item/aire-acondicionado-hisense-871360599","https://es.wallapop.com/app/chat?itemId=nz0012w2e3zo"
"patín  eléctrico brigmton ","https://es.wallapop.com/item/patin-electrico-brigmton-871360600","https://es.wallapop.com/app/chat?itemId=e65gdrprnkjo"
"Cascos JBL","https://es.wallapop.com/item/cascos-jbl-871360585","https://es.wallapop.com/app/chat?itemId=pj950rxrwkze"
"Cámara Wifi IP","https://es.wallapop.com/item/camara-wifi-ip-871359615","https://es.wallapop.com/app/chat?itemId=36exmopewkzd"
"billete de 50 euros 2022 firma de Jean C. Trichet","https://es.wallapop.com/item/billete-de-50-euros-2022-firma-de-jean-c-trichet-871360233","https://es.wallapop.com/app/chat?itemId=xzorwd3dr7z9"
"EMPOWER SECOND EDITION","https://es.wallapop.com/item/empower-second-edition-871360228","https://es.wallapop.com/app/chat?itemId=w67ynr7ryy6x"
"Mesa de despacho","https://es.wallapop.com/item/mesa-de-despacho-871360217","https://es.wallapop.com/app/chat?itemId=wzvndk0kl7jl"
"Thrustmaster T300 + TH8A Shifter","https://es.wallapop.com/item/thrustmaster-t300---th8a-shifter-871360203","https://es.wallapop.com/app/chat?itemId=nz0012w2vvzo"
"Playmobil","https://es.wallapop.com/item/playmobil-871360178","https://es.wallapop.com/app/chat?itemId=nzx0gmwm55z2"
"Figuritas samurai de la prefectura de Yokohama.","https://es.wallapop.com/item/figuritas-samurai-de-la-prefectura-de-yokohama-871360632","https://es.wallapop.com/app/chat?itemId=qzmy0vovrgzv"
"Jaula Hámster ","https://es.wallapop.com/item/jaula-hamster-871360090","https://es.wallapop.com/app/chat?itemId=x6qd1n4x5njy"
"Ventilador de techo Faro ","https://es.wallapop.com/item/ventilador-de-techo-faro-871360160","https://es.wallapop.com/app/chat?itemId=9jd21mnmxn6k"
"Jaula de pájaros ","https://es.wallapop.com/item/jaula-de-pajaros-871360147","https://es.wallapop.com/app/chat?itemId=ejkknded2yjx"
"Traje de Flamenca","https://es.wallapop.com/item/traje-de-flamenca-871360134","https://es.wallapop.com/app/chat?itemId=8j3ek252v8z9"
"mesa aprendizaje  fisher price .","https://es.wallapop.com/item/mesa-aprendizaje-fisher-price-871360117","https://es.wallapop.com/app/chat?itemId=wzvndk0qxdjl"
"Botines niña Skechers y Converse ","https://es.wallapop.com/item/botines-nina-skechers-y-converse-871360115","https://es.wallapop.com/app/chat?itemId=36exmopeqvzd"
"Iphone 11","https://es.wallapop.com/item/iphone-11-871359807","https://es.wallapop.com/app/chat?itemId=p61ymekqe265"
"CHUPETEROS ","https://es.wallapop.com/item/chupeteros-871359694","https://es.wallapop.com/app/chat?itemId=8z84prw2ko63"
"Wilson Bela Team","https://es.wallapop.com/item/wilson-bela-team-871359682","https://es.wallapop.com/app/chat?itemId=8j3ek25r42z9"
"patinete Xiaomi ","https://es.wallapop.com/item/patinete-xiaomi-871359680","https://es.wallapop.com/app/chat?itemId=qzmy0vopeozv"
"microscopio national geographic ","https://es.wallapop.com/item/microscopio-national-geographic-871359668","https://es.wallapop.com/app/chat?itemId=wzy5goxq52j5"
"Ventana aluminio. Estado Impecable.","https://es.wallapop.com/item/ventana-aluminio-estado-impecable-871359648","https://es.wallapop.com/app/chat?itemId=e65gdrp9gmjo"
"Garmin Forerunner 35","https://es.wallapop.com/item/garmin-forerunner-35-871359349","https://es.wallapop.com/app/chat?itemId=mzn87eooq7zn"
"Claudia masajista en Alcorcon ","https://es.wallapop.com/item/claudia-masajista-en-alcorcon-871359255","https://es.wallapop.com/app/chat?itemId=p61ymekkd265"
"JBL Xtreme 2","https://es.wallapop.com/item/jbl-xtreme-2-871359258","https://es.wallapop.com/app/chat?itemId=8j3ek255g1z9"
"Cinturón powerlifting ","https://es.wallapop.com/item/cinturon-powerlifting-871359253","https://es.wallapop.com/app/chat?itemId=qjwpg1779gzo"
"cortador de azulejos RUBI","https://es.wallapop.com/item/cortador-de-azulejos-rubi-871359503","https://es.wallapop.com/app/chat?itemId=nz0012ww57zo"
"Peugeot 307 2003","https://es.wallapop.com/item/peugeot-307-2003-871359455","https://es.wallapop.com/app/chat?itemId=p61ymekkgx65"
"Patines en linea. Marca FILA","https://es.wallapop.com/item/patines-en-linea-marca-fila-871360724","https://es.wallapop.com/app/chat?itemId=e65gdrpem0jo"
"entrada con espejo","https://es.wallapop.com/item/entrada-con-espejo-871359941","https://es.wallapop.com/app/chat?itemId=wzvndk0qe4jl"
"Uñas de gel y semipermanentes","https://es.wallapop.com/item/unas-de-gel-y-semipermanentes-871359933","https://es.wallapop.com/app/chat?itemId=xzorwd37q5z9"
