"Название товара","Ссылка на продавца","Ссылка на чат"
"Tablas de esqui Alpino Atomic.","https://es.wallapop.com/item/tablas-de-esqui-alpino-atomic-872847906","https://es.wallapop.com/app/chat?itemId=nzx0gpkd17z2"
"Movil","https://es.wallapop.com/item/movil-872847881","https://es.wallapop.com/app/chat?itemId=xzorw1nk54z9"
"Cuentakilómetros Btwin sin estrenar ","https://es.wallapop.com/item/cuentakilometros-btwin-sin-estrenar-872847827","https://es.wallapop.com/app/chat?itemId=nz001lq9edzo"
"Vendo iPhone 12 256 gb sin cargador ","https://es.wallapop.com/item/vendo-iphone-12-256-gb-sin-cargador-872847432","https://es.wallapop.com/app/chat?itemId=qzmy0wlg3gzv"
"Libro la dama del alba","https://es.wallapop.com/item/libro-la-dama-del-alba-872847428","https://es.wallapop.com/app/chat?itemId=w67ynlw8dw6x"
"MÓVIL EN BUEN ESTADO 150€","https://es.wallapop.com/item/movil-en-buen-estado-150-872847268","https://es.wallapop.com/app/chat?itemId=wzy5g0kd25j5"
"""Películas para no dormir""","https://es.wallapop.com/item/historias-para-no-dormir-872847261","https://es.wallapop.com/app/chat?itemId=pj950lw8woze"
"SERVICIO MAQUILLAJE A DOMICILIO ","https://es.wallapop.com/item/servicio-maquillaje-a-domicilio-872846980","https://es.wallapop.com/app/chat?itemId=qzmy0w52oyzv"
"Andador","https://es.wallapop.com/item/andador-872846978","https://es.wallapop.com/app/chat?itemId=nzx0gp23w5z2"
"IdeaPad 1-15ADA7 Laptop","https://es.wallapop.com/item/ideapad-1-15ada7-laptop-872847967","https://es.wallapop.com/app/chat?itemId=vjrrm37kk4jk"
"Sofá cama tres plazas","https://es.wallapop.com/item/sofa-cama-tres-plazas-872847961","https://es.wallapop.com/app/chat?itemId=pj950l1kkkze"
"cabecero y mesitas de sormitorio","https://es.wallapop.com/item/cabecero-y-mesitas-de-sormitorio-872847535","https://es.wallapop.com/app/chat?itemId=0j23ol59nn6y"
"Chándal Real Madrid 96/97","https://es.wallapop.com/item/chandal-real-madrid-96-97-872847527","https://es.wallapop.com/app/chat?itemId=nz001lq987zo"
"Gafas Michael Kors","https://es.wallapop.com/item/gafas-michael-kors-872846886","https://es.wallapop.com/app/chat?itemId=4z412l5d18zy"
"Mochila Totto","https://es.wallapop.com/item/mochila-totto-872847588","https://es.wallapop.com/app/chat?itemId=v6g23rlmenze"
"mesitas de noche antiguas","https://es.wallapop.com/item/mesitas-de-noche-antiguas-872847579","https://es.wallapop.com/app/chat?itemId=p61ymlr9q765"
"sudadera adidas","https://es.wallapop.com/item/sudadera-adidas-872847565","https://es.wallapop.com/app/chat?itemId=wzvnd5m90djl"
"auriculares Xiaomi para hacer deporte","https://es.wallapop.com/item/auriculares-xiaomi-para-hacer-deporte-872847571","https://es.wallapop.com/app/chat?itemId=ejkkn0l2eyjx"
"Banco","https://es.wallapop.com/item/banco-872847558","https://es.wallapop.com/app/chat?itemId=8j3eklnv58z9"
"Colección Bat Pat","https://es.wallapop.com/item/coleccion-bat-pat-872845235","https://es.wallapop.com/app/chat?itemId=0j23olv5ne6y"
"COLECCION ISADORA MOON~8 libros nuevos📚","https://es.wallapop.com/item/coleccion-isadora-moon-8-libros-nuevos-872847388","https://es.wallapop.com/app/chat?itemId=v6g23rlm02ze"
"portatil hp ","https://es.wallapop.com/item/portatil-hp-872847762","https://es.wallapop.com/app/chat?itemId=4z412lpo9mzy"
"Conjunto Ikea","https://es.wallapop.com/item/conjunto-ikea-872847756","https://es.wallapop.com/app/chat?itemId=qzmy0wlgx1zv"
"Chapa y pintura","https://es.wallapop.com/item/chapa-y-pintura-872847744","https://es.wallapop.com/app/chat?itemId=wzy5g02epej5"
"volante ps4","https://es.wallapop.com/item/volante-ps4-872847739","https://es.wallapop.com/app/chat?itemId=36exmrl9kyzd"
"Cazadora barbour azul marino ","https://es.wallapop.com/item/cazadora-barbour-azul-marino-872847681","https://es.wallapop.com/app/chat?itemId=xzorw1nkw7z9"
"chaqueta y pantalón cuero","https://es.wallapop.com/item/chaqueta-y-pantalon-cuero-872847671","https://es.wallapop.com/app/chat?itemId=ejkkn0l2w1jx"
"Nevera americana LG","https://es.wallapop.com/item/nevera-americana-lg-872847672","https://es.wallapop.com/app/chat?itemId=e65gdl0mdmjo"
"IPhone 11, 128gb","https://es.wallapop.com/item/iphone-11-128gb-872847676","https://es.wallapop.com/app/chat?itemId=w67ynlw8ny6x"
"Huawei P Smart","https://es.wallapop.com/item/huawei-p-smart-872847625","https://es.wallapop.com/app/chat?itemId=mzn87x54pgzn"
"juego de sofá con sillones individuales","https://es.wallapop.com/item/juego-de-sofa-con-sillones-individuales-872847616","https://es.wallapop.com/app/chat?itemId=v6g23rlmk5ze"
