"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaqueta Cacherel","https://es.wallapop.com/item/chaqueta-cacherel-870387874","https://es.wallapop.com/app/chat?itemId=pzprxd59y563"
"Mesa centro de salón (extensible)","https://es.wallapop.com/item/mesa-centro-de-salon-extensible-870387006","https://es.wallapop.com/app/chat?itemId=nzx0grmdgez2"
"Local/Oficina en alquiler","https://es.wallapop.com/item/local-oficina-en-alquiler-870387310","https://es.wallapop.com/app/chat?itemId=8j3ekp2mm7z9"
"Sudadera Champion","https://es.wallapop.com/item/sudadera-champion-870387272","https://es.wallapop.com/app/chat?itemId=e65gd7rvmpjo"
"PlayStation5","https://es.wallapop.com/item/playstation5-870386838","https://es.wallapop.com/app/chat?itemId=4z4120ro88zy"
"Bicicleta ","https://es.wallapop.com/item/bicicleta-870386836","https://es.wallapop.com/app/chat?itemId=9jd218mdw26k"
"Habitación Junior","https://es.wallapop.com/item/habitacion-junior-870386832","https://es.wallapop.com/app/chat?itemId=qzmy07vgmgzv"
"bombilla h7 Philips ","https://es.wallapop.com/item/bombilla-h7-philips-870387044","https://es.wallapop.com/app/chat?itemId=wzy5gyoe02j5"
"IRig BlueBoard IK Multimedia Pedal ","https://es.wallapop.com/item/irig-blueboard-ik-multimedia-pedal-870387130","https://es.wallapop.com/app/chat?itemId=nzx0grmd7mz2"
"Samsung 65""","https://es.wallapop.com/item/samsung-65-870386937","https://es.wallapop.com/app/chat?itemId=pj950nrdrvze"
"Sacaleches Elvie Pump","https://es.wallapop.com/item/sacaleches-elvie-pump-870386923","https://es.wallapop.com/app/chat?itemId=ejkknpd25yjx"
"Skate bestial wolf","https://es.wallapop.com/item/skate-bestial-wolf-870387900","https://es.wallapop.com/app/chat?itemId=e65gd7ryy2jo"
"Bicicleta estática Technogym","https://es.wallapop.com/item/bicicleta-estatica-technogym-870387895","https://es.wallapop.com/app/chat?itemId=ejkknpd44pjx"
"Se venden por separado precio oferta","https://es.wallapop.com/item/se-venden-por-separado-precio-oferta-870387878","https://es.wallapop.com/app/chat?itemId=nzx0grm5lpz2"
"cámara frigorifica fagor concept","https://es.wallapop.com/item/camara-frigorifica-fagor-concept-870387816","https://es.wallapop.com/app/chat?itemId=v6g23ok08mze"
"Mesa comedor","https://es.wallapop.com/item/mesa-comedor-870387468","https://es.wallapop.com/app/chat?itemId=wzy5gyolxvj5"
"Trek black X-Caliber 8 XL Matte","https://es.wallapop.com/item/trek-black-x-caliber-8-xl-matte-870387506","https://es.wallapop.com/app/chat?itemId=nzx0grmlm5z2"
"Vendo carro de bebe ","https://es.wallapop.com/item/vendo-carro-de-bebe-870387481","https://es.wallapop.com/app/chat?itemId=xzorwxdl7lz9"
"balón de fútbol super copa 2022 ","https://es.wallapop.com/item/balon-de-futbol-super-copa-2022-870387705","https://es.wallapop.com/app/chat?itemId=qjwpg21e0qzo"
"Bicicleta spinning","https://es.wallapop.com/item/bicicleta-spinning-870387687","https://es.wallapop.com/app/chat?itemId=36exm8od7kzd"
"Chevrolet Cruze 2009 TRANSFERENCIA INCLUIDA!!!!","https://es.wallapop.com/item/chevrolet-cruze-2009-transferencia-incluida-870387695","https://es.wallapop.com/app/chat?itemId=ejkknpdx31jx"
"Sillón blanco poli piel reclinable","https://es.wallapop.com/item/sillon-blanco-poli-piel-reclinable-870387685","https://es.wallapop.com/app/chat?itemId=pj950nrk20ze"
"Canape de cama de 90cm con zapatero. ","https://es.wallapop.com/item/canape-de-cama-de-90cm-con-zapatero-870387678","https://es.wallapop.com/app/chat?itemId=nzx0grmlxez2"
