"Название товара","Ссылка на продавца","Ссылка на чат"
"zapatos mocasines! ","https://es.wallapop.com/item/zapatos-mocasines-869481040","https://es.wallapop.com/app/chat?itemId=v6g2325v55ze"
"Pokeball plus","https://es.wallapop.com/item/pokeball-plus-869480966","https://es.wallapop.com/app/chat?itemId=x6qd1d3w1ojy"
"Sudadera Nike ","https://es.wallapop.com/item/sudadera-nike-869480918","https://es.wallapop.com/app/chat?itemId=x6qd1d3wwojy"
"se vende no funciona ","https://es.wallapop.com/item/se-vende-no-funciona-869480560","https://es.wallapop.com/app/chat?itemId=9jd2129ml96k"
"mobiliario ","https://es.wallapop.com/item/mobiliario-869480869","https://es.wallapop.com/app/chat?itemId=3zl1p1w5npjx"
"SOLO HOY! SALOMÓN GORETEX NUEVAS","https://es.wallapop.com/item/solo-hoy-salomon-goretex-nuevas-869480013","https://es.wallapop.com/app/chat?itemId=pj9505pvooze"
"Disfraz","https://es.wallapop.com/item/disfraz-869480376","https://es.wallapop.com/app/chat?itemId=w67yny5rn86x"
"Chandal Armani negro completo","https://es.wallapop.com/item/chandal-armani-negro-completo-869480238","https://es.wallapop.com/app/chat?itemId=4z41219r08zy"
"Piso en venta","https://es.wallapop.com/item/piso-en-venta-869480134","https://es.wallapop.com/app/chat?itemId=8j3eked2y7z9"
"sofá cama","https://es.wallapop.com/item/sofa-cama-869480588","https://es.wallapop.com/app/chat?itemId=v6g2325k9lze"
"radial makita ","https://es.wallapop.com/item/radial-makita-869480292","https://es.wallapop.com/app/chat?itemId=wzy5g5poqvj5"
"Cámara Canon EOS1100","https://es.wallapop.com/item/camara-canon-eos1100-869480202","https://es.wallapop.com/app/chat?itemId=pzprxro52463"
"bicicleta correos edición ilimitada","https://es.wallapop.com/item/bicicleta-correos-edicion-ilimitada-869480810","https://es.wallapop.com/app/chat?itemId=8j3ekedgpyz9"
