"Название товара","Ссылка на продавца","Ссылка на чат"
"Bicicleta Spinning ","https://es.wallapop.com/item/bicicleta-spinning-872295559","https://es.wallapop.com/app/chat?itemId=0j23oo3y9n6y"
"juguete sonajero para bebe","https://es.wallapop.com/item/juguete-sonajero-para-bebe-872295308","https://es.wallapop.com/app/chat?itemId=qzmy00y90lzv"
"mesillas de noche","https://es.wallapop.com/item/mesillas-de-noche-872295316","https://es.wallapop.com/app/chat?itemId=v6g23320r2ze"
"Cojines pequeños ","https://es.wallapop.com/item/cojines-pequenos-872296199","https://es.wallapop.com/app/chat?itemId=nz00110vm7zo"
"Jersey ","https://es.wallapop.com/item/jersey-872296184","https://es.wallapop.com/app/chat?itemId=9jd211257n6k"
"Figura plomo Spiderman ","https://es.wallapop.com/item/figura-plomo-spiderman-872295810","https://es.wallapop.com/app/chat?itemId=8j3ekkey21z9"
"Botas Levi's ","https://es.wallapop.com/item/botas-levi-s-872295930","https://es.wallapop.com/app/chat?itemId=nzx0gg0587z2"
"Chubasquero rosa con gorro ","https://es.wallapop.com/item/chubasquero-rosa-con-gorro-872295933","https://es.wallapop.com/app/chat?itemId=xzorwwr8q5z9"
"mesa del salón ","https://es.wallapop.com/item/mesa-del-salon-872296013","https://es.wallapop.com/app/chat?itemId=pj95005ywmze"
"Estantería ligera","https://es.wallapop.com/item/estanteria-ligera-872296001","https://es.wallapop.com/app/chat?itemId=mzn8778ldkzn"
"Somier y colchón cama niño ","https://es.wallapop.com/item/somier-y-colchon-cama-nino-872296119","https://es.wallapop.com/app/chat?itemId=vjrrmmrdl8jk"
"tobogán Smoby","https://es.wallapop.com/item/tobogan-smoby-872296082","https://es.wallapop.com/app/chat?itemId=8j3ekkey7yz9"
"Asientos y tapizados de saxo vts","https://es.wallapop.com/item/asientos-y-tapizados-de-saxo-vts-872296214","https://es.wallapop.com/app/chat?itemId=4z41221gglzy"
"Moto para niño de batería ","https://es.wallapop.com/item/moto-para-nino-de-bateria-872295447","https://es.wallapop.com/app/chat?itemId=ejkknnkxyqjx"
"Diario de greg (arrasa con todo)","https://es.wallapop.com/item/diario-de-greg-arrasa-con-todo-872295421","https://es.wallapop.com/app/chat?itemId=3zl1pp143pjx"
"Juego de mancuernas hasta 40 kg","https://es.wallapop.com/item/juego-de-mancuernas-hasta-40-kg-872295870","https://es.wallapop.com/app/chat?itemId=8z84pp41p863"
"Nike D/MS/X","https://es.wallapop.com/item/nike-d-ms-x-872295876","https://es.wallapop.com/app/chat?itemId=w67ynnydn96x"
"mueble salon","https://es.wallapop.com/item/mueble-salon-872295372","https://es.wallapop.com/app/chat?itemId=e65gddgvk2jo"
"zapatillas","https://es.wallapop.com/item/zapatillas-872295359","https://es.wallapop.com/app/chat?itemId=0j23oo3wdm6y"
"psp blanca","https://es.wallapop.com/item/psp-blanca-872295345","https://es.wallapop.com/app/chat?itemId=3zl1pp14rnjx"
"Mesa escritorio IKEA tipo ""MALM""","https://es.wallapop.com/item/mesa-escritorio-ikea-tipo-malm-872295340","https://es.wallapop.com/app/chat?itemId=v6g23320q2ze"
