"Название товара","Ссылка на продавца","Ссылка на чат"
"Play 4 ","https://es.wallapop.com/item/play-4-870485961","https://es.wallapop.com/app/chat?itemId=pj950n25xvze"
"Moto Peugeot ","https://es.wallapop.com/item/moto-peugeot-870486155","https://es.wallapop.com/app/chat?itemId=p61ym50y3d65"
"Somier","https://es.wallapop.com/item/somier-870486550","https://es.wallapop.com/app/chat?itemId=pzprxde2gl63"
"Howarts Legacy Ps5","https://es.wallapop.com/item/howarts-legacy-ps5-870486222","https://es.wallapop.com/app/chat?itemId=8z84p5347863"
"Apple Watch serie 4.GPS/celular","https://es.wallapop.com/item/apple-watch-serie-4-gps-celular-870486224","https://es.wallapop.com/app/chat?itemId=e65gd71gnpjo"
"Air Jordan 4 Retro Bred","https://es.wallapop.com/item/air-jordan-4-retro-bred-870486228","https://es.wallapop.com/app/chat?itemId=w67ynxoy096x"
"play 4","https://es.wallapop.com/item/play-4-870486493","https://es.wallapop.com/app/chat?itemId=3zl1p028mpjx"
"Piano Digital","https://es.wallapop.com/item/piano-digital-870486490","https://es.wallapop.com/app/chat?itemId=x6qd1vgmqnjy"
"Mesa despacho ","https://es.wallapop.com/item/mesa-despacho-870486485","https://es.wallapop.com/app/chat?itemId=pj950n2m4mze"
"Patinete eléctrico Imr","https://es.wallapop.com/item/patinete-electrico-imr-870486533","https://es.wallapop.com/app/chat?itemId=xzorwx4232z9"
"Vestido Rojo de Mango","https://es.wallapop.com/item/vestido-rojo-de-mango-870486321","https://es.wallapop.com/app/chat?itemId=3zl1p021onjx"
"Plataforma carrito bebé ","https://es.wallapop.com/item/plataforma-carrito-bebe-870486304","https://es.wallapop.com/app/chat?itemId=w67ynxoym56x"
"yamaha dt ","https://es.wallapop.com/item/yamaha-dt-870486302","https://es.wallapop.com/app/chat?itemId=pzprxderlm63"
"Armario expositor de bebidas puerta corredera","https://es.wallapop.com/item/armario-expositor-de-bebidas-puerta-corredera-870485730","https://es.wallapop.com/app/chat?itemId=nzx0grxy17z2"
"Resident Evil 2 Remake","https://es.wallapop.com/item/resident-evil-2-remake-870485731","https://es.wallapop.com/app/chat?itemId=p61ym507pg65"
"panturs et limpieza ","https://es.wallapop.com/item/panturs-et-limpieza-870486003","https://es.wallapop.com/app/chat?itemId=nz001rp02vzo"
"Se vende mesa de comedor en madera de haya","https://es.wallapop.com/item/se-vende-mesa-de-comedor-en-madera-de-haya-870485937","https://es.wallapop.com/app/chat?itemId=pj950n25nvze"
"Mecedora bebé","https://es.wallapop.com/item/mecedora-bebe-870485908","https://es.wallapop.com/app/chat?itemId=qzmy07dymyzv"
"Mesa de comedor","https://es.wallapop.com/item/mesa-de-comedor-870486102","https://es.wallapop.com/app/chat?itemId=pzprxdermk63"
"Adidas münchen ","https://es.wallapop.com/item/adidas-munchen-870486076","https://es.wallapop.com/app/chat?itemId=w67ynxoyny6x"
"Mambo Cecotec 6090","https://es.wallapop.com/item/mambo-cecotec-6090-870486065","https://es.wallapop.com/app/chat?itemId=wzvnd27nv7jl"
"HUAWEI P20 lite 120","https://es.wallapop.com/item/huawei-p20-lite-120-870486058","https://es.wallapop.com/app/chat?itemId=8j3ekpweo2z9"
"Yamaha XSR 700","https://es.wallapop.com/item/yamaha-xsr-700-870486027","https://es.wallapop.com/app/chat?itemId=nz001rp0dvzo"
"Mando Xbox con botones traseros","https://es.wallapop.com/item/mando-xbox-con-botones-traseros-870485896","https://es.wallapop.com/app/chat?itemId=e65gd71g8kjo"
"Reloj inteligente ","https://es.wallapop.com/item/reloj-inteligente-870485886","https://es.wallapop.com/app/chat?itemId=4z4120x1e8zy"
"Caldera de gas butano/propano.","https://es.wallapop.com/item/caldera-de-gas-butano-propano-870486409","https://es.wallapop.com/app/chat?itemId=xzorwx42vlz9"
"NINTENDO WII","https://es.wallapop.com/item/nintendo-wii-870485679","https://es.wallapop.com/app/chat?itemId=p61ym507r265"
