"Название товара","Ссылка на продавца","Ссылка на чат"
"Se vende refrigerador no frost","https://es.wallapop.com/item/se-vende-refrigerador-no-frost-868948461","https://es.wallapop.com/app/chat?itemId=pj950gk8koze"
"patin de 3 ruedas ","https://es.wallapop.com/item/patin-de-3-ruedas-868948439","https://es.wallapop.com/app/chat?itemId=36exmndq9qzd"
"Ordenador Portátil MSI Modern 14","https://es.wallapop.com/item/ordenador-portatil-msi-modern-14-868946724","https://es.wallapop.com/app/chat?itemId=e65gd3v0v2jo"
"Citroen Berlingo 2007","https://es.wallapop.com/item/citroen-berlingo-2007-868948765","https://es.wallapop.com/app/chat?itemId=wzvndlrx5djl"
"tocador ","https://es.wallapop.com/item/tocador-868948760","https://es.wallapop.com/app/chat?itemId=9jd215xgrn6k"
"rascador de gatos ","https://es.wallapop.com/item/rascador-de-gatos-868946966","https://es.wallapop.com/app/chat?itemId=x6qd19k0wojy"
"vendo","https://es.wallapop.com/item/vendo-868948524","https://es.wallapop.com/app/chat?itemId=e65gd3v4g2jo"
"Bicicleta por ninos","https://es.wallapop.com/item/bicicleta-por-ninos-868947079","https://es.wallapop.com/app/chat?itemId=p61ym7vr3565"
"Ps4 Slim de 1 Tb","https://es.wallapop.com/item/ps4-slim-de-1-tb-868949008","https://es.wallapop.com/app/chat?itemId=qzmy034ggxzv"
"interruptor diferencial  + Contactor ","https://es.wallapop.com/item/interruptor-diferencial---contactor-868947178","https://es.wallapop.com/app/chat?itemId=nzx0gylkkmz2"
"Cepillo secador Revlon","https://es.wallapop.com/item/cepillo-secador-revlon-868947156","https://es.wallapop.com/app/chat?itemId=qzmy039l51zv"
"Cama Hemnes de ikea","https://es.wallapop.com/item/cama-hemnes-de-ikea-868946880","https://es.wallapop.com/app/chat?itemId=qzmy039logzv"
"manillar. cambio y frenos ","https://es.wallapop.com/item/manillar-cambio-y-frenos-868948948","https://es.wallapop.com/app/chat?itemId=e65gd3v4xgjo"
"lámpara mesa ","https://es.wallapop.com/item/lampara-mesa-868948303","https://es.wallapop.com/app/chat?itemId=nz001vgnerzo"
"Abrigo verde militar ","https://es.wallapop.com/item/abrigo-verde-militar-868948296","https://es.wallapop.com/app/chat?itemId=e65gd3vxnmjo"
