"Название товара","Ссылка на продавца","Ссылка на чат"
"habitex h1200 desumificador","https://es.wallapop.com/item/habitex-h1200-desumificador-870490669","https://es.wallapop.com/app/chat?itemId=3zl1p02xxpjx"
"Royal enfield ","https://es.wallapop.com/item/royal-enfield-870491945","https://es.wallapop.com/app/chat?itemId=3zl1p02722jx"
"Ralph Lauren Fleece Baseball Jacket","https://es.wallapop.com/item/ralph-lauren-fleece-baseball-jacket-870491750","https://es.wallapop.com/app/chat?itemId=pzprxdemwm63"
"Apple Watch Series 3, GPS, 42 mm, watchOS 5","https://es.wallapop.com/item/apple-watch-series-3-gps-42-mm-watchos-5-870491710","https://es.wallapop.com/app/chat?itemId=8j3ekpwlp7z9"
"Sierra circular Tritón TSA001","https://es.wallapop.com/item/sierra-circular-triton-tsa001-870491372","https://es.wallapop.com/app/chat?itemId=e65gd71d10jo"
"El Beso de Klimt","https://es.wallapop.com/item/el-beso-de-klimt-870492688","https://es.wallapop.com/app/chat?itemId=v6g23ox5m5ze"
"Pulsera  Tommy Hilfiger de Cuero. A estrenar.","https://es.wallapop.com/item/pulsera-tommy-hilfiger-de-cuero-a-estrenar-870492681","https://es.wallapop.com/app/chat?itemId=xzorwx4mk7z9"
"sudadera con capucha","https://es.wallapop.com/item/sudadera-con-capucha-870492680","https://es.wallapop.com/app/chat?itemId=qzmy07dxgozv"
"Yamaha aerox","https://es.wallapop.com/item/yamaha-aerox-870490929","https://es.wallapop.com/app/chat?itemId=qjwpg2wvmqzo"
"Pañales para perro. ","https://es.wallapop.com/item/panales-para-perro-870490915","https://es.wallapop.com/app/chat?itemId=36exm87g3yzd"
"Nike Air Zoom Pegasus 39","https://es.wallapop.com/item/nike-air-zoom-pegasus-39-870492178","https://es.wallapop.com/app/chat?itemId=nzx0grx8ymz2"
"Mitsubishi Grandis 2007","https://es.wallapop.com/item/mitsubishi-grandis-2007-870492159","https://es.wallapop.com/app/chat?itemId=0j23on7dyd6y"
"CHAQUETA DE HOMBRE","https://es.wallapop.com/item/chaqueta-de-hombre-870492445","https://es.wallapop.com/app/chat?itemId=3zl1p02r7pjx"
"MONOPOLY NIGHT SKY EDITION","https://es.wallapop.com/item/monopoly-night-sky-edition-870492272","https://es.wallapop.com/app/chat?itemId=e65gd7157pjo"
"SUZUKI","https://es.wallapop.com/item/suzuki-870491514","https://es.wallapop.com/app/chat?itemId=4z4120x2dmzy"
"mochila de porteo ","https://es.wallapop.com/item/mochila-de-porteo-870491489","https://es.wallapop.com/app/chat?itemId=wzvnd27dw7jl"
"tablet 20'","https://es.wallapop.com/item/tablet-20-870491479","https://es.wallapop.com/app/chat?itemId=p61ym50mp565"
"juego PlayStation 5","https://es.wallapop.com/item/juego-playstation-5-870491483","https://es.wallapop.com/app/chat?itemId=0j23on7o0e6y"
"juegos para la Wii","https://es.wallapop.com/item/juegos-para-la-wii-870491468","https://es.wallapop.com/app/chat?itemId=wzy5gy1g32j5"
"Equipo de Electrolisis y PH","https://es.wallapop.com/item/equipo-de-electrolisis-y-ph-870491455","https://es.wallapop.com/app/chat?itemId=p61ym50mn565"
"Rodillos","https://es.wallapop.com/item/rodillos-870491432","https://es.wallapop.com/app/chat?itemId=qzmy07d0lozv"
"kymco grand dink","https://es.wallapop.com/item/kymco-grand-dink-870492367","https://es.wallapop.com/app/chat?itemId=vjrrm458x4jk"
"Hogar  pareja Sillones","https://es.wallapop.com/item/hogar-pareja-sillones-870492341","https://es.wallapop.com/app/chat?itemId=wzvnd278k4jl"
"IPhone SE segunda generación (2020)","https://es.wallapop.com/item/iphone-se-segunda-generacion-2020-870492335","https://es.wallapop.com/app/chat?itemId=0j23on7dqm6y"
"estufa gaz","https://es.wallapop.com/item/estufa-gaz-870492569","https://es.wallapop.com/app/chat?itemId=3zl1p02ry2jx"
"sillón ","https://es.wallapop.com/item/sillon-870491792","https://es.wallapop.com/app/chat?itemId=wzy5gy109xj5"
"patinete xiomi  m365 ","https://es.wallapop.com/item/patinete-xiomi-m365-870490336","https://es.wallapop.com/app/chat?itemId=9jd2180vo96k"
"máquina de coser Refrey","https://es.wallapop.com/item/maquina-de-coser-refrey-870490847","https://es.wallapop.com/app/chat?itemId=ejkknp3wy1jx"
"Vendo Garmin edge 1030 ","https://es.wallapop.com/item/vendo-garmin-edge-1030-870490417","https://es.wallapop.com/app/chat?itemId=wzvnd27vyrjl"
"Opel Movano 1999","https://es.wallapop.com/item/opel-movano-1999-870492792","https://es.wallapop.com/app/chat?itemId=wzy5gy1p4ej5"
"Se vende Cromo","https://es.wallapop.com/item/se-vende-cromo-870492725","https://es.wallapop.com/app/chat?itemId=mzn87wk1l2zn"
"Carro de bebés ","https://es.wallapop.com/item/carro-de-bebes-870492045","https://es.wallapop.com/app/chat?itemId=3zl1p027qqjx"
"Aparador","https://es.wallapop.com/item/aparador-870492028","https://es.wallapop.com/app/chat?itemId=w67ynxol1y6x"
"mesa de comedor + 4 sillas ","https://es.wallapop.com/item/mesa-de-comedor---4-sillas-870491604","https://es.wallapop.com/app/chat?itemId=w67ynxolg96x"
"Chaqueta adidas nueva","https://es.wallapop.com/item/chaqueta-adidas-nueva-870491588","https://es.wallapop.com/app/chat?itemId=v6g23oxr4lze"
