"Название товара","Ссылка на продавца","Ссылка на чат"
"PACK ACCESORIOS RENAULT MEGANE IV BERLINA","https://es.wallapop.com/item/pack-accesorios-renault-megane-iv-berlina-869241386","https://es.wallapop.com/app/chat?itemId=4z412gdg4vzy"
"Celular ","https://es.wallapop.com/item/celular-869241826","https://es.wallapop.com/app/chat?itemId=pzprx1vrw563"
"Prevención y Salud ","https://es.wallapop.com/item/prevencion-y-salud-869241759","https://es.wallapop.com/app/chat?itemId=0j23orm38d6y"
"Puertas","https://es.wallapop.com/item/puertas-869240345","https://es.wallapop.com/app/chat?itemId=3zl1p9o4y2jx"
"se vende caja registradora","https://es.wallapop.com/item/se-vende-caja-registradora-869240325","https://es.wallapop.com/app/chat?itemId=mzn87v9gdyzn"
"Sillón orejero Skitfebo amarillo","https://es.wallapop.com/item/sillon-orejero-skitfebo-amarillo-869241469","https://es.wallapop.com/app/chat?itemId=3zl1p9o93pjx"
"Sissi bar respaldo Harley softail","https://es.wallapop.com/item/sissi-bar-respaldo-harley-softail-869241243","https://es.wallapop.com/app/chat?itemId=vjrrm9l919jk"
"Armario indor","https://es.wallapop.com/item/armario-indor-869241606","https://es.wallapop.com/app/chat?itemId=nzx0gy30dez2"
"2 mandos Sony originales PS4 ","https://es.wallapop.com/item/2-mandos-sony-originales-ps4-869241575","https://es.wallapop.com/app/chat?itemId=nz001v7vn7zo"
"vendo neumáticos ocasión 215/65r17","https://es.wallapop.com/item/vendo-neumaticos-ocasion-215-65r17-869239808","https://es.wallapop.com/app/chat?itemId=qzmy032grozv"
"seminuevo ","https://es.wallapop.com/item/seminuevo-869239727","https://es.wallapop.com/app/chat?itemId=nz001v79p7zo"
"jordan","https://es.wallapop.com/item/jordan-869240761","https://es.wallapop.com/app/chat?itemId=pj950g8y0kze"
"Vestido zara","https://es.wallapop.com/item/vestido-zara-869240730","https://es.wallapop.com/app/chat?itemId=nzx0gy3597z2"
"vinoteca","https://es.wallapop.com/item/vinoteca-869240704","https://es.wallapop.com/app/chat?itemId=w67yngqdr56x"
"abrigo","https://es.wallapop.com/item/abrigo-869241061","https://es.wallapop.com/app/chat?itemId=pj950g8gk0ze"
"Reloj Casio W-S220-1AVEF","https://es.wallapop.com/item/reloj-casio-w-s220-1avef-869239655","https://es.wallapop.com/app/chat?itemId=p61ym7x9lx65"
"raton logitech g502 hero","https://es.wallapop.com/item/raton-logitech-g502-hero-869239637","https://es.wallapop.com/app/chat?itemId=pj950g8dlmze"
"lavamanos de piedra","https://es.wallapop.com/item/lavamanos-de-piedra-869239494","https://es.wallapop.com/app/chat?itemId=8z84pgyvw863"
"Mochila ","https://es.wallapop.com/item/mochila-869239492","https://es.wallapop.com/app/chat?itemId=wzy5g7dex5j5"
"Xbox One Official Kinect ","https://es.wallapop.com/item/xbox-one-official-kinect-869239442","https://es.wallapop.com/app/chat?itemId=x6qd19rlqyjy"
"junkers termo fregadero lavabo butano","https://es.wallapop.com/item/junkers-termo-fregadero-lavabo-butano-869239444","https://es.wallapop.com/app/chat?itemId=wzy5g7der5j5"
