"Название товара","Ссылка на продавца","Ссылка на чат"
"Silla de coche I-size around grupos 0-1-2","https://es.wallapop.com/item/silla-de-coche-i-size-around-grupos-0-1-2-871204372","https://es.wallapop.com/app/chat?itemId=e65gd9w3lgjo"
"Xiaomi 12 256GB/8GB RAM","https://es.wallapop.com/item/xiaomi-12-256gb-8gb-ram-871205256","https://es.wallapop.com/app/chat?itemId=qzmy0pre3gzv"
"Juegos ps4","https://es.wallapop.com/item/juegos-ps4-871204488","https://es.wallapop.com/app/chat?itemId=v6g23e91ymze"
"Esquís Wedze boost 100. 170cm","https://es.wallapop.com/item/esquis-wedze-boost-100-170cm-871204878","https://es.wallapop.com/app/chat?itemId=nzx0gqo09ez2"
"cama nido con cajones + colchon","https://es.wallapop.com/item/cama-nido-con-cajones---colchon-871204317","https://es.wallapop.com/app/chat?itemId=wzvndq1l31jl"
"Cafetera cecotec","https://es.wallapop.com/item/cafetera-cecotec-871204312","https://es.wallapop.com/app/chat?itemId=9jd21e35v96k"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-871205145","https://es.wallapop.com/app/chat?itemId=3zl1pnq1vnjx"
"televisión Samsung 21 pulgadas pantalla plana ","https://es.wallapop.com/item/television-samsung-21-pulgadas-pantalla-plana-871204828","https://es.wallapop.com/app/chat?itemId=w67ynk1yky6x"
"Termostato wifi  inteligente Ferroli ","https://es.wallapop.com/item/termostato-wifi-inteligente-ferroli-871204881","https://es.wallapop.com/app/chat?itemId=xzorw75r07z9"
"IPad Pro 12.9 128Gb + AirPods Pro 1st gen","https://es.wallapop.com/item/ipad-pro-12-9-128gb---airpods-pro-1st-gen-871205030","https://es.wallapop.com/app/chat?itemId=nzx0gqo0xpz2"
"Venta e instalación de césped artificial ","https://es.wallapop.com/item/venta-e-instalacion-de-cesped-artificial-871204680","https://es.wallapop.com/app/chat?itemId=qzmy0pry3gzv"
"Samsung Galaxy Note 10 lite rojo 128gb","https://es.wallapop.com/item/samsung-galaxy-note-10-lite-rojo-128gb-871204681","https://es.wallapop.com/app/chat?itemId=xzorw75rvlz9"
"TRASPASO TALLER MECÁNICO ","https://es.wallapop.com/item/traspaso-taller-mecanico-871204337","https://es.wallapop.com/app/chat?itemId=pj950vogq2ze"
"Pendientes daughter of style","https://es.wallapop.com/item/pendientes-daughter-of-style-871204339","https://es.wallapop.com/app/chat?itemId=36exme2ngyzd"
"PORTATIL HP","https://es.wallapop.com/item/portatil-hp-871204666","https://es.wallapop.com/app/chat?itemId=x6qd1xpdynjy"
"Sofá de dos plazas","https://es.wallapop.com/item/sofa-de-dos-plazas-871204630","https://es.wallapop.com/app/chat?itemId=nzx0gqo0d1z2"
"Christian Louboutin","https://es.wallapop.com/item/christian-louboutin-871204419","https://es.wallapop.com/app/chat?itemId=vjrrm10929jk"
"Silla coche ","https://es.wallapop.com/item/silla-coche-871205237","https://es.wallapop.com/app/chat?itemId=pj950vomymze"
"redmi not 8 64g está perfecto funciona perfectamen","https://es.wallapop.com/item/redmi-not-8-64g-esta-perfecto-funciona-perfectamen-871205223","https://es.wallapop.com/app/chat?itemId=ejkkn5v8xqjx"
"Vendo pack colchón+canapé 1,35*1,90*1,32","https://es.wallapop.com/item/vendo-pack-colchon-canape-1-35-1-90-1-32-871204770","https://es.wallapop.com/app/chat?itemId=8z84p2m48d63"
"Volkswagen Tiguan 2012","https://es.wallapop.com/item/volkswagen-tiguan-2012-871204524","https://es.wallapop.com/app/chat?itemId=e65gd9w302jo"
"Abrigo mujer Geox","https://es.wallapop.com/item/abrigo-mujer-geox-871204505","https://es.wallapop.com/app/chat?itemId=qjwpgqkd3wzo"
"Mercedes-Benz Clase E 220 (2004)","https://es.wallapop.com/item/mercedes-benz-clase-e-220-2004-871204939","https://es.wallapop.com/app/chat?itemId=36exme2xmyzd"
"Apple Watch serie 4","https://es.wallapop.com/item/apple-watch-serie-4-871204983","https://es.wallapop.com/app/chat?itemId=0j23oqp3dd6y"
