"Название товара","Ссылка на продавца","Ссылка на чат"
"Vestido ligero Steps","https://www.vinted.es/mujer/ropa/vestidos/vestidos-informales/2651708350-vestido-ligero-steps","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2651708350&receiver_id=127253903&ref_url=%2Fitems%2F2651708350%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D127253903%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fvestidos-informales%252F2651708350-vestido-ligero-steps%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bligero%2BSteps&source=wantit&subject=wanted%3A+Vestido+ligero+Steps"
"Jersey","https://www.vinted.es/women/clothes/jumpers-and-sweaters/sweaters/knitted-jumpers/2651708291-jersey","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2651708291&receiver_id=47691753&ref_url=%2Fitems%2F2651708291%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D47691753%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fde-punto%252F2651708291-jersey%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey&source=wantit&subject=wanted%3A+Jersey"
"Joggers negros","https://www.vinted.es/kobiety/ubrania/ubrania-sportowe/stroje-na-trening/2651702160-joggers-negros","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2651702160&receiver_id=130805338&ref_url=%2Fitems%2F2651702160%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130805338%26ref_url%3D%252Fmujer%252Fropa%252Fropa-deportiva%252Fchandales%252F2651702160-joggers-negros%26source%3Dwantit%26subject%3Dwanted%253A%2BJoggers%2Bnegros&source=wantit&subject=wanted%3A+Joggers+negros"
"Vaqueros campana marrones Bershka ","https://www.vinted.es/kobiety/ubrania/jeansy/dzwony-jeansy/2651702169-vaqueros-campana-marrones-bershka","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2651702169&receiver_id=129434827&ref_url=%2Fitems%2F2651702169%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129434827%26ref_url%3D%252Fmujer%252Fropa%252Fvaqueros%252Fvaqueros-de-campana%252F2651702169-vaqueros-campana-marrones-bershka%26source%3Dwantit%26subject%3Dwanted%253A%2BVaqueros%2Bcampana%2Bmarrones%2BBershka%2B&source=wantit&subject=wanted%3A+Vaqueros+campana+marrones+Bershka+"
"Cacharel Perfume Mujer Amor Amor Eau de Toilette","https://www.vinted.es/femmes/beaute/parfums/2651701509-cacharel-perfume-mujer-amor-amor-eau-de-toilette","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2651701509&receiver_id=130505357&ref_url=%2Fitems%2F2651701509%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130505357%26ref_url%3D%252Fmujer%252Fcuidado-y-belleza%252Fperfume%252F2651701509-cacharel-perfume-mujer-amor-amor-eau-de-toilette%26source%3Dwantit%26subject%3Dwanted%253A%2BCacharel%2BPerfume%2BMujer%2BAmor%2BAmor%2BEau%2Bde%2BToilette&source=wantit&subject=wanted%3A+Cacharel+Perfume+Mujer+Amor+Amor+Eau+de+Toilette"
"Decoración con herraduras ","https://www.vinted.es/dom/akcesoria-i-ozdoby/wazony/2651705159-decoracion-con-herraduras","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2651705159&receiver_id=130697074&ref_url=%2Fitems%2F2651705159%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130697074%26ref_url%3D%252Fhogar%252Fdecoracion%252Fjarrones%252F2651705159-decoracion-con-herraduras%26source%3Dwantit%26subject%3Dwanted%253A%2BDecoraci%25C3%25B3n%2Bcon%2Bherraduras%2B&source=wantit&subject=wanted%3A+Decoraci%C3%B3n+con+herraduras+"
"Abrigo de lana ","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/capes-et-ponchos/2651705084-abrigo-de-lana","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2651705084&receiver_id=69815214&ref_url=%2Fitems%2F2651705084%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D69815214%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fcapas-y-ponchos%252F2651705084-abrigo-de-lana%26source%3Dwantit%26subject%3Dwanted%253A%2BAbrigo%2Bde%2Blana%2B&source=wantit&subject=wanted%3A+Abrigo+de+lana+"
"Camisa de bebé de traje de flamenco ","https://www.vinted.es/enfants/garcons/tenues-de-soiree/2651705009-camisa-de-bebe-de-traje-de-flamenco","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2651705009&receiver_id=130772074&ref_url=%2Fitems%2F2651705009%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130772074%26ref_url%3D%252Fninos%252Fninos%252Fropa-para-ocasiones-especiales%252F2651705009-camisa-de-bebe-de-traje-de-flamenco%26source%3Dwantit%26subject%3Dwanted%253A%2BCamisa%2Bde%2Bbeb%25C3%25A9%2Bde%2Btraje%2Bde%2Bflamenco%2B&source=wantit&subject=wanted%3A+Camisa+de+beb%C3%A9+de+traje+de+flamenco+"
"Jersey mcgregor","https://www.vinted.es/mezczyzni/ubrania/swetry-bluzy/bluzy/2651701622-jersey-mcgregor","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2651701622&receiver_id=115265562&ref_url=%2Fitems%2F2651701622%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D115265562%26ref_url%3D%252Fhombre%252Fropa%252Fjerseis-y-sudaderas-1811%252F2651701622-jersey-mcgregor%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2Bmcgregor&source=wantit&subject=wanted%3A+Jersey+mcgregor"
"Vaqueros Denim Talla 27/30 Color negro ","https://www.vinted.es/mezczyzni/ubrania/dzinsy/dzinsy-skinny/2651702381-vaqueros-denim-talla-2730-color-negro","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2651702381&receiver_id=117561810&ref_url=%2Fitems%2F2651702381%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D117561810%26ref_url%3D%252Fhombre%252Fropa%252Fvaqueros%252Fvaqueros-pitillo%252F2651702381-vaqueros-denim-talla-2730-color-negro%26source%3Dwantit%26subject%3Dwanted%253A%2BVaqueros%2BDenim%2BTalla%2B27%252F30%2BColor%2Bnegro%2B&source=wantit&subject=wanted%3A+Vaqueros+Denim+Talla+27%2F30+Color+negro+"
