"Название товара","Ссылка на продавца","Ссылка на чат"
"botas de cuero marrón claro","https://es.wallapop.com/item/botas-de-cuero-marron-claro-871335401","https://es.wallapop.com/app/chat?itemId=mzn87e3qgkzn"
"traje de corto ","https://es.wallapop.com/item/traje-de-corto-871335332","https://es.wallapop.com/app/chat?itemId=qzmy0vmwqlzv"
"vendo ","https://es.wallapop.com/item/vendo-871335320","https://es.wallapop.com/app/chat?itemId=wzy5gor0mxj5"
"Freidora sin aceite, 5,2 L","https://es.wallapop.com/item/freidora-sin-aceite-5-2-l-871335308","https://es.wallapop.com/app/chat?itemId=qzmy0vmwrlzv"
"Vendo escopladora","https://es.wallapop.com/item/vendo-escopladora-871334770","https://es.wallapop.com/app/chat?itemId=8z84pr8pyr63"
"Warhammer TEELORD","https://es.wallapop.com/item/warhammer-teelord-871334697","https://es.wallapop.com/app/chat?itemId=mzn87e3750zn"
"nsx250f schneider","https://es.wallapop.com/item/nsx250f-schneider-871334676","https://es.wallapop.com/app/chat?itemId=w67ynrvn096x"
"radio antigua ","https://es.wallapop.com/item/radio-antigua-871337597","https://es.wallapop.com/app/chat?itemId=mzn87e3dy2zn"
"Armario grande ","https://es.wallapop.com/item/armario-grande-871337513","https://es.wallapop.com/app/chat?itemId=pj950r4922ze"
"vendo iPhone 6 s plus funciona perfectamente bien","https://es.wallapop.com/item/vendo-iphone-6-s-plus-funciona-perfectamente-bien-871334544","https://es.wallapop.com/app/chat?itemId=wzy5gorg0ej5"
"ps4 ","https://es.wallapop.com/item/ps4-871334456","https://es.wallapop.com/app/chat?itemId=qzmy0vm0vozv"
"movil huawei honor 7","https://es.wallapop.com/item/movil-huawei-honor-7-871334448","https://es.wallapop.com/app/chat?itemId=e65gdrqdrmjo"
"Placa inducción ","https://es.wallapop.com/item/placa-induccion-871333213","https://es.wallapop.com/app/chat?itemId=pj950r4e40ze"
"Remalladora ","https://es.wallapop.com/item/remalladora-871334293","https://es.wallapop.com/app/chat?itemId=3zl1pdmp9pjx"
"Guantes y Botas de Boxeo","https://es.wallapop.com/item/guantes-y-botas-de-boxeo-871334297","https://es.wallapop.com/app/chat?itemId=mzn87e37vkzn"
"Puerta madera de roble más marco ","https://es.wallapop.com/item/puerta-madera-de-roble-mas-marco-871334279","https://es.wallapop.com/app/chat?itemId=p61yme8mox65"
"Sillón ","https://es.wallapop.com/item/sillon-871334253","https://es.wallapop.com/app/chat?itemId=qjwpg1rgekzo"
"mesa auxiliar con cajones","https://es.wallapop.com/item/mesa-auxiliar-con-cajones-871334227","https://es.wallapop.com/app/chat?itemId=nz0012819ezo"
"Casco motocross Shiro","https://es.wallapop.com/item/casco-motocross-shiro-871334229","https://es.wallapop.com/app/chat?itemId=qjwpg1rglkzo"
