"Название товара","Ссылка на продавца","Ссылка на чат"
"Mueble de mesita ","https://es.wallapop.com/item/mueble-de-mesita-871621331","https://es.wallapop.com/app/chat?itemId=p61ymd75dd65"
"Mochila portabebés ","https://es.wallapop.com/item/mochila-portabebes-871621406","https://es.wallapop.com/app/chat?itemId=nzx0g9yrppz2"
"redmi 9.   Y128g perfecto","https://es.wallapop.com/item/redmi-9-y128g-perfecto-871621183","https://es.wallapop.com/app/chat?itemId=0j23oern4n6y"
"remolque ","https://es.wallapop.com/item/remolque-871621633","https://es.wallapop.com/app/chat?itemId=xzorw0v3klz9"
"sofa cama ","https://es.wallapop.com/item/sofa-cama-871621635","https://es.wallapop.com/app/chat?itemId=0j23oer19r6y"
"vendo oppo 54s","https://es.wallapop.com/item/vendo-oppo-54s-871621148","https://es.wallapop.com/app/chat?itemId=e65gde3730jo"
"Ps4","https://es.wallapop.com/item/ps4-871621607","https://es.wallapop.com/app/chat?itemId=p61ymd75px65"
"Vendo Canapé Blanco + Colchón 150","https://es.wallapop.com/item/vendo-canape-blanco---colchon-150-871621593","https://es.wallapop.com/app/chat?itemId=3zl1p590vnjx"
"Chaqueta piel mujer talla 40","https://es.wallapop.com/item/chaqueta-piel-mujer-talla-40-871621580","https://es.wallapop.com/app/chat?itemId=qzmy0n37rlzv"
"Patín eléctrico nuevo ","https://es.wallapop.com/item/patin-electrico-nuevo-871621556","https://es.wallapop.com/app/chat?itemId=qzmy0n37llzv"
"Mueble TV","https://es.wallapop.com/item/mueble-tv-871621559","https://es.wallapop.com/app/chat?itemId=0j23oern5m6y"
"Patinete eléctrico ","https://es.wallapop.com/item/patinete-electrico-871622071","https://es.wallapop.com/app/chat?itemId=ejkknr9eopjx"
"Garaje y trastero ","https://es.wallapop.com/item/garaje-y-trastero-871622365","https://es.wallapop.com/app/chat?itemId=wzvnd3lqgdjl"
"Billar","https://es.wallapop.com/item/billar-871621041","https://es.wallapop.com/app/chat?itemId=wzvnd3lgxqjl"
"Casco en buen estado","https://es.wallapop.com/item/casco-en-buen-estado-871621399","https://es.wallapop.com/app/chat?itemId=nz001dvrlrzo"
"Scott carbono 29 Talla L","https://es.wallapop.com/item/scott-carbono-29-talla-l-871621385","https://es.wallapop.com/app/chat?itemId=pj950egn02ze"
"Ford Fiesta 2019","https://es.wallapop.com/item/ford-fiesta-2019-871621366","https://es.wallapop.com/app/chat?itemId=x6qd1w9v25jy"
"Pantalón vaquero de moto","https://es.wallapop.com/item/pantalon-vaquero-de-moto-871621718","https://es.wallapop.com/app/chat?itemId=x6qd1w949ojy"
"mesa salón ","https://es.wallapop.com/item/mesa-salon-871621696","https://es.wallapop.com/app/chat?itemId=e65gde3pykjo"
"Bicicleta","https://es.wallapop.com/item/bicicleta-871621473","https://es.wallapop.com/app/chat?itemId=mzn87pvwk0zn"
