"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaqueta ","https://www.vinted.es/mujer/ropa/abrigos-y-cazadoras/chaquetas/cortavientos/2666090951-chaqueta","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666090951&receiver_id=33065798&ref_url=%2Fitems%2F2666090951%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D33065798%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fchaquetas%252Fcortavientos%252F2666090951-chaqueta%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2B&source=wantit&subject=wanted%3A+Chaqueta+"
"Zapatillas de cuero negro Lacoste","https://www.vinted.es/hommes/chaussures/baskets/2666093192-zapatillas-de-cuero-negro-lacoste","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666093192&receiver_id=98627643&ref_url=%2Fitems%2F2666093192%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D98627643%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2666093192-zapatillas-de-cuero-negro-lacoste%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatillas%2Bde%2Bcuero%2Bnegro%2BLacoste&source=wantit&subject=wanted%3A+Zapatillas+de+cuero+negro+Lacoste"
"Conjunto lana gris","https://www.vinted.es/femmes/vetements/autres/2666093092-conjunto-lana-gris","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666093092&receiver_id=131335951&ref_url=%2Fitems%2F2666093092%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131335951%26ref_url%3D%252Fmujer%252Fropa%252Fotras-prendas%252F2666093092-conjunto-lana-gris%26source%3Dwantit%26subject%3Dwanted%253A%2BConjunto%2Blana%2Bgris&source=wantit&subject=wanted%3A+Conjunto+lana+gris"
"Vestido","https://www.vinted.es/femmes/vetements/robes/midi/2666092779-vestido","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666092779&receiver_id=131345846&ref_url=%2Fitems%2F2666092779%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131345846%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fmidi%252F2666092779-vestido%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido&source=wantit&subject=wanted%3A+Vestido"
"camiseta de rayas ","https://www.vinted.es/femmes/vetements/hauts-and-tee-shirts/blouses-manches-courtes/2666092766-camiseta-de-rayas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666092766&receiver_id=131346424&ref_url=%2Fitems%2F2666092766%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131346424%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fmanga-corta%252F2666092766-camiseta-de-rayas%26source%3Dwantit%26subject%3Dwanted%253A%2Bcamiseta%2Bde%2Brayas%2B&source=wantit&subject=wanted%3A+camiseta+de+rayas+"
"Pantalón Nicoli","https://www.vinted.es/femmes/vetements/pantalons-and-leggings/pantalons-droits/2666092590-pantalon-nicoli","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666092590&receiver_id=131256328&ref_url=%2Fitems%2F2666092590%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131256328%26ref_url%3D%252Fmujer%252Fropa%252Fpantalones-y-leggings%252Fpantalones-rectos%252F2666092590-pantalon-nicoli%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2BNicoli&source=wantit&subject=wanted%3A+Pantal%C3%B3n+Nicoli"
"Sudadera corta shein","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche-196/2666084211-sudadera-corta-shein","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666084211&receiver_id=22515656&ref_url=%2Fitems%2F2666084211%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D22515656%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fsudaderas%252F2666084211-sudadera-corta-shein%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2Bcorta%2Bshein&source=wantit&subject=wanted%3A+Sudadera+corta+shein"
"Camiseta de manga corta marrón de shein","https://www.vinted.es/femmes/vetements/hauts-and-tee-shirts/tops-courts/2666088131-camiseta-de-manga-corta-marron-de-shein","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666088131&receiver_id=106179135&ref_url=%2Fitems%2F2666088131%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D106179135%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fcrop-tops%252F2666088131-camiseta-de-manga-corta-marron-de-shein%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2Bde%2Bmanga%2Bcorta%2Bmarr%25C3%25B3n%2Bde%2Bshein&source=wantit&subject=wanted%3A+Camiseta+de+manga+corta+marr%C3%B3n+de+shein"
"Saco para capazo Bugaboo ","https://www.vinted.es/dzieci/inne/2666086704-saco-para-capazo-bugaboo","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666086704&receiver_id=131350421&ref_url=%2Fitems%2F2666086704%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131350421%26ref_url%3D%252Fninos%252Fotros%252F2666086704-saco-para-capazo-bugaboo%26source%3Dwantit%26subject%3Dwanted%253A%2BSaco%2Bpara%2Bcapazo%2BBugaboo%2B&source=wantit&subject=wanted%3A+Saco+para+capazo+Bugaboo+"
"Suéter manga corta blanca","https://www.vinted.es/femmes/vetements/hauts-and-t-shirts/t-shirts/2666086470-sueter-manga-corta-blanca","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666086470&receiver_id=81062668&ref_url=%2Fitems%2F2666086470%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D81062668%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops-221%252F2666086470-sueter-manga-corta-blanca%26source%3Dwantit%26subject%3Dwanted%253A%2BSu%25C3%25A9ter%2Bmanga%2Bcorta%2Bblanca&source=wantit&subject=wanted%3A+Su%C3%A9ter+manga+corta+blanca"
