"Название товара","Ссылка на продавца","Ссылка на чат"
"tabla snowboard ride timeless .","https://es.wallapop.com/item/tabla-ride-show-870605331","https://es.wallapop.com/app/chat?itemId=p61ymkvgl765"
"Se limpian parcelas ","https://es.wallapop.com/item/se-limpian-parcelas-870604449","https://es.wallapop.com/app/chat?itemId=mzn87ogdg0zn"
"Baño completo","https://es.wallapop.com/item/bano-completo-870605289","https://es.wallapop.com/app/chat?itemId=wzvnd0rovqjl"
"la duquesa","https://es.wallapop.com/item/la-duquesa-870605034","https://es.wallapop.com/app/chat?itemId=8j3ek5mqm1z9"
"Se alquila habitación Burriana ","https://es.wallapop.com/item/se-alquila-habitacion-burriana-870604583","https://es.wallapop.com/app/chat?itemId=0j23o1wx8m6y"
"TALADRO MULTIPLE MARCA KENBILL 21B","https://es.wallapop.com/item/taladro-multiple-marca-kenbill-21b-870604952","https://es.wallapop.com/app/chat?itemId=w67yn732m76x"
"Carrito triple bebe","https://es.wallapop.com/item/carrito-triple-bebe-870604932","https://es.wallapop.com/app/chat?itemId=qzmy0o9kr1zv"
"batidora de vaso","https://es.wallapop.com/item/batidora-de-vaso-870604817","https://es.wallapop.com/app/chat?itemId=wzvnd0rpe7jl"
"venta ","https://es.wallapop.com/item/venta-870604806","https://es.wallapop.com/app/chat?itemId=nzx0gwl7nez2"
"Chaqueton Trapstar M","https://es.wallapop.com/item/chaqueton-trapstar-m-870604784","https://es.wallapop.com/app/chat?itemId=9jd21nxpqn6k"
"muebles y enseres de hostelerias","https://es.wallapop.com/item/muebles-y-enseres-de-hostelerias-870604757","https://es.wallapop.com/app/chat?itemId=xzorw3l912z9"
"Mesa de oficina / escritorio","https://es.wallapop.com/item/mesa-de-oficina-escritorio-870604755","https://es.wallapop.com/app/chat?itemId=p61ymkvwl765"
"MESA DE SALÓN 100x50x44,5 cm (largo, ancho, alto)","https://es.wallapop.com/item/mesa-de-salon-870604397","https://es.wallapop.com/app/chat?itemId=mzn87ogk92zn"
"Keeway Rkv 125 ","https://es.wallapop.com/item/keeway-rkv-125-870604720","https://es.wallapop.com/app/chat?itemId=wzy5gxlwvpj5"
"Composición, arreglos, mezcla y mastering","https://es.wallapop.com/item/composicion-arreglos-mezcla-y-mastering-870604705","https://es.wallapop.com/app/chat?itemId=qjwpg7e0vezo"
"DISCO DURO BARRACUDA 2TB","https://es.wallapop.com/item/disco-duro-barracuda-2tb-870604699","https://es.wallapop.com/app/chat?itemId=nz001wgkdezo"
"se preparan todo tipo de huertos.","https://es.wallapop.com/item/se-preparan-todo-tipo-de-huertos-870604419","https://es.wallapop.com/app/chat?itemId=vjrrmokgy9jk"
"Vendo cocina de camping gas en perfectas condicion","https://es.wallapop.com/item/vendo-cocina-de-camping-gas-en-perfectas-condicion-870604557","https://es.wallapop.com/app/chat?itemId=xzorw3l925z9"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-870605166","https://es.wallapop.com/app/chat?itemId=x6qd14k7vqjy"
"iPhone 7 ","https://es.wallapop.com/item/iphone-7-870604312","https://es.wallapop.com/app/chat?itemId=9jd21nx0y96k"
"Litera infantil ","https://es.wallapop.com/item/litera-infantil-870604901","https://es.wallapop.com/app/chat?itemId=mzn87ogd52zn"
