"Название товара","Ссылка на продавца","Ссылка на чат"
"Vans Edición Especial Winnie de Pooh ","https://www.vinted.es/hombre/zapatos/zapatillas/2619326305-vans-edicion-especial-winnie-de-pooh","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619326305&receiver_id=129567781&ref_url=%2Fitems%2F2619326305%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129567781%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2619326305-vans-edicion-especial-winnie-de-pooh%26source%3Dwantit%26subject%3Dwanted%253A%2BVans%2BEdici%25C3%25B3n%2BEspecial%2BWinnie%2Bde%2BPooh%2B&source=wantit&subject=wanted%3A+Vans+Edici%C3%B3n+Especial+Winnie+de+Pooh+"
"Vestido lefti’s","https://www.vinted.es/femmes/vetements/robes/petites-robes-noires/2619325566-vestido-leftis","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619325566&receiver_id=54549170&ref_url=%2Fitems%2F2619325566%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D54549170%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fvestidos-negros%252F2619325566-vestido-leftis%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Blefti%25E2%2580%2599s&source=wantit&subject=wanted%3A+Vestido+lefti%E2%80%99s"
"Pantalón vaquero shein","https://www.vinted.es/femmes/vetements/jeans/jeans-droits/2619323924-pantalon-vaquero-shein","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619323924&receiver_id=129560468&ref_url=%2Fitems%2F2619323924%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129560468%26ref_url%3D%252Fmujer%252Fropa%252Fvaqueros%252Fvaqueros-rectos%252F2619323924-pantalon-vaquero-shein%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2Bvaquero%2Bshein&source=wantit&subject=wanted%3A+Pantal%C3%B3n+vaquero+shein"
"Zapatillas Lacoste","https://www.vinted.es/hommes/chaussures/baskets/2619327019-zapatillas-lacoste","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619327019&receiver_id=53620090&ref_url=%2Fitems%2F2619327019%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D53620090%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2619327019-zapatillas-lacoste%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatillas%2BLacoste&source=wantit&subject=wanted%3A+Zapatillas+Lacoste"
"Charm pluto Disney","https://www.vinted.es/donna/accessori/gioielli/altri-gioielli/2619326903-charm-pluto-disney","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619326903&receiver_id=129475701&ref_url=%2Fitems%2F2619326903%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129475701%26ref_url%3D%252Fmujer%252Faccesorios%252Fjoyeria%252Fotros%252F2619326903-charm-pluto-disney%26source%3Dwantit%26subject%3Dwanted%253A%2BCharm%2Bpluto%2BDisney&source=wantit&subject=wanted%3A+Charm+pluto+Disney"
"Llavero cubo de rubik","https://www.vinted.es/femmes/accessoires/porte-cles/2619326886-llavero-cubo-de-rubik","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619326886&receiver_id=129213124&ref_url=%2Fitems%2F2619326886%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129213124%26ref_url%3D%252Fmujer%252Faccesorios%252Fllaveros%252F2619326886-llavero-cubo-de-rubik%26source%3Dwantit%26subject%3Dwanted%253A%2BLlavero%2Bcubo%2Bde%2Brubik&source=wantit&subject=wanted%3A+Llavero+cubo+de+rubik"
"Vestido del Shein Negro con Perlas blancas","https://www.vinted.es/kobiety/ubrania/sukienki/krotkie-sukienki/2619326872-vestido-del-shein-negro-con-perlas-blancas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619326872&receiver_id=54122705&ref_url=%2Fitems%2F2619326872%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D54122705%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fmini%252F2619326872-vestido-del-shein-negro-con-perlas-blancas%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bdel%2BShein%2BNegro%2Bcon%2BPerlas%2Bblancas&source=wantit&subject=wanted%3A+Vestido+del+Shein+Negro+con+Perlas+blancas"
"Bolso morado de marypaz","https://www.vinted.es/femmes/sacs/sacs-a-main/2619326797-bolso-morado-de-marypaz","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619326797&receiver_id=114971969&ref_url=%2Fitems%2F2619326797%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D114971969%26ref_url%3D%252Fmujer%252Fbolsos%252Fbolsos-de-mano%252F2619326797-bolso-morado-de-marypaz%26source%3Dwantit%26subject%3Dwanted%253A%2BBolso%2Bmorado%2Bde%2Bmarypaz&source=wantit&subject=wanted%3A+Bolso+morado+de+marypaz"
"Pantalón chándal","https://www.vinted.es/femmes/vetements/autres/2619326711-pantalon-chandal","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619326711&receiver_id=129439651&ref_url=%2Fitems%2F2619326711%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129439651%26ref_url%3D%252Fmujer%252Fropa%252Fotras-prendas%252F2619326711-pantalon-chandal%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2Bch%25C3%25A1ndal&source=wantit&subject=wanted%3A+Pantal%C3%B3n+ch%C3%A1ndal"
"Blusa Amarilla ","https://www.vinted.es/femmes/vetements/hauts-and-tee-shirts/blouses/2619328490-blusa-amarilla","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619328490&receiver_id=129305675&ref_url=%2Fitems%2F2619328490%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129305675%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fblusas%252F2619328490-blusa-amarilla%26source%3Dwantit%26subject%3Dwanted%253A%2BBlusa%2BAmarilla%2B&source=wantit&subject=wanted%3A+Blusa+Amarilla+"
