"Название товара","Ссылка на продавца","Ссылка на чат"
"Opel Corsa 2008","https://es.wallapop.com/item/opel-corsa-2008-870983489","https://es.wallapop.com/app/chat?itemId=wzvndq4ny7jl"
"New Nike air force one EU 42","https://es.wallapop.com/item/new-nike-air-force-one-eu-42-870983388","https://es.wallapop.com/app/chat?itemId=v6g23eg1dnze"
"Juego de reguladores para buceo","https://es.wallapop.com/item/juego-de-reguladores-para-buceo-870984131","https://es.wallapop.com/app/chat?itemId=p61ymq444d65"
"terraza de bar ","https://es.wallapop.com/item/terraza-de-bar-870983432","https://es.wallapop.com/app/chat?itemId=qzmy0peygozv"
"Andador ","https://es.wallapop.com/item/andador-870983674","https://es.wallapop.com/app/chat?itemId=pzprxw2r5563"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-870984259","https://es.wallapop.com/app/chat?itemId=0j23oq44gv6y"
"Alfombra nueva ","https://es.wallapop.com/item/alfombra-nueva-870984320","https://es.wallapop.com/app/chat?itemId=wzy5gq44gxj5"
"Secadora Balay 2003","https://es.wallapop.com/item/secadora-balay-2003-870984300","https://es.wallapop.com/app/chat?itemId=e65gd98822jo"
"Honda pcx 2021  km.4,500  una 125 ","https://es.wallapop.com/item/honda-pcx-2021-km-4-500-una-125-870984189","https://es.wallapop.com/app/chat?itemId=wzvndq4421jl"
"Juegos ps4","https://es.wallapop.com/item/juegos-ps4-870983764","https://es.wallapop.com/app/chat?itemId=v6g23eg2r2ze"
"Redmi note 9","https://es.wallapop.com/item/mobil-en-perfecto-estado-870983744","https://es.wallapop.com/app/chat?itemId=wzy5gq45gxj5"
"ps4","https://es.wallapop.com/item/ps4-870984033","https://es.wallapop.com/app/chat?itemId=xzorw722l7z9"
"Drone avanzado ","https://es.wallapop.com/item/drone-avanzado-870983607","https://es.wallapop.com/app/chat?itemId=p61ymq4y5265"
"cartuchos tinta hp 973x original ","https://es.wallapop.com/item/cartuchos-tinta-hp-973x-original-870983586","https://es.wallapop.com/app/chat?itemId=4z412qe18mzy"
"Mesitas de noche + cabecero de 1,35","https://es.wallapop.com/item/mesitas-de-noche---cabecero-de-1-35-870983563","https://es.wallapop.com/app/chat?itemId=36exme1x1yzd"
"vendo plantas","https://es.wallapop.com/item/vendo-plantas-870983375","https://es.wallapop.com/app/chat?itemId=nz001y4v57zo"
"moto Cross bateria","https://es.wallapop.com/item/moto-cross-bateria-870983348","https://es.wallapop.com/app/chat?itemId=e65gd98300jo"
"Iphone 11 pro de 256 gb","https://es.wallapop.com/item/iphone-11-pro-de-256-gb-870983343","https://es.wallapop.com/app/chat?itemId=vjrrm1q978jk"
"Mesa escultura","https://es.wallapop.com/item/mesa-escultura-870984075","https://es.wallapop.com/app/chat?itemId=nz001y44vvzo"
"Mesa escritorio gaming","https://es.wallapop.com/item/mesa-escritorio-gaming-870984080","https://es.wallapop.com/app/chat?itemId=qzmy0pee3ozv"
"bases de 2mm bolsa de 500 unidades ","https://es.wallapop.com/item/bases-de-2mm-bolsa-de-500-unidades-870984067","https://es.wallapop.com/app/chat?itemId=vjrrm1qqdwjk"
"Renault Espace 2005","https://es.wallapop.com/item/renault-espace-2005-870983546","https://es.wallapop.com/app/chat?itemId=8z84p2k4k163"
