"Название товара","Ссылка на продавца","Ссылка на чат"
"salón ","https://es.wallapop.com/item/salon-868202676","https://es.wallapop.com/app/chat?itemId=w67yn8w8x96x"
"Colcha piqué 150 y cortinas","https://es.wallapop.com/item/colcha-pique-150-y-cortinas-868202625","https://es.wallapop.com/app/chat?itemId=mzn8745420zn"
"Zapatillas Asics ","https://es.wallapop.com/item/zapatillas-asics-868202594","https://es.wallapop.com/app/chat?itemId=8z84pvxv4163"
"Consola clásica","https://es.wallapop.com/item/consola-clasica-868202575","https://es.wallapop.com/app/chat?itemId=nz0019q9vrzo"
"Chaleco para entrenamiento","https://es.wallapop.com/item/chaleco-para-entrenamiento-868202567","https://es.wallapop.com/app/chat?itemId=vjrrmy7ydljk"
"Albumo lleno mundial 2014","https://es.wallapop.com/item/albumo-lleno-mundial-2014-868202926","https://es.wallapop.com/app/chat?itemId=pzprx8p8el63"
"Pantalón LEATT","https://es.wallapop.com/item/pantalon-leatt-868202918","https://es.wallapop.com/app/chat?itemId=x6qd1l0lgojy"
"Citroen C4 2007","https://es.wallapop.com/item/citroen-c4-2007-868202864","https://es.wallapop.com/app/chat?itemId=v6g23mlmq7ze"
"Bomba de alta presion","https://es.wallapop.com/item/bomba-de-alta-presion-868202858","https://es.wallapop.com/app/chat?itemId=8j3ekvnv9yz9"
"Estufa pellets ","https://es.wallapop.com/item/estufa-pellets-868202854","https://es.wallapop.com/app/chat?itemId=nzx0gdkdp1z2"
"Intel I7 7700k + RGB Mars Gaming MCPU33 ","https://es.wallapop.com/item/intel-i7-7700k---rgb-mars-gaming-mcpu33-868202841","https://es.wallapop.com/app/chat?itemId=wzvnd9m95qjl"
