"Название товара","Ссылка на продавца","Ссылка на чат"
"Vestido blanco y negro de lunares Shein","https://www.vinted.es/femmes/vetements/robes/autres-robes/2633413414-vestido-blanco-y-negro-de-lunares-shein","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633413414&receiver_id=130099969&ref_url=%2Fitems%2F2633413414%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130099969%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fotros-vestidos%252F2633413414-vestido-blanco-y-negro-de-lunares-shein%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bblanco%2By%2Bnegro%2Bde%2Blunares%2BShein&source=wantit&subject=wanted%3A+Vestido+blanco+y+negro+de+lunares+Shein"
"Jersey punto rosa fucsia","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche/pulls-dhiver/2633415732-jersey-punto-rosa-fucsia","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633415732&receiver_id=129036812&ref_url=%2Fitems%2F2633415732%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129036812%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fde-punto%252F2633415732-jersey-punto-rosa-fucsia%26source%3Dwantit%26subject%3Dwanted%253A%2BJersey%2Bpunto%2Brosa%2Bfucsia&source=wantit&subject=wanted%3A+Jersey+punto+rosa+fucsia"
"Camiseta gris oscuro ","https://www.vinted.es/femmes/vetements/hauts-and-tee-shirts/debardeurs/2633410657-camiseta-gris-oscuro","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633410657&receiver_id=112300469&ref_url=%2Fitems%2F2633410657%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D112300469%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fsin-mangas%252F2633410657-camiseta-gris-oscuro%26source%3Dwantit%26subject%3Dwanted%253A%2BCamiseta%2Bgris%2Boscuro%2B&source=wantit&subject=wanted%3A+Camiseta+gris+oscuro+"
"Monedero y tarjetero Bosanova","https://www.vinted.es/femmes/sacs/porte-monnaie/2633410590-monedero-y-tarjetero-bosanova","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633410590&receiver_id=35359996&ref_url=%2Fitems%2F2633410590%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D35359996%26ref_url%3D%252Fmujer%252Fbolsos%252Fmonederos-y-carteras%252F2633410590-monedero-y-tarjetero-bosanova%26source%3Dwantit%26subject%3Dwanted%253A%2BMonedero%2By%2Btarjetero%2BBosanova&source=wantit&subject=wanted%3A+Monedero+y+tarjetero+Bosanova"
"blusa","https://www.vinted.es/femmes/vetements/hauts-and-tee-shirts/blouses/2633413976-blusa","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633413976&receiver_id=128021639&ref_url=%2Fitems%2F2633413976%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D128021639%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fblusas%252F2633413976-blusa%26source%3Dwantit%26subject%3Dwanted%253A%2Bblusa&source=wantit&subject=wanted%3A+blusa"
"Abrigo Vintage con Mandalas","https://www.vinted.es/femmes/vetements/manteaux-and-vestes/manteaux/pardessus-et-manteaux-longs/2633412280-abrigo-vintage-con-mandalas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633412280&receiver_id=130107832&ref_url=%2Fitems%2F2633412280%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130107832%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fabrigos%252Fsobretodos-y-abrigos-largos%252F2633412280-abrigo-vintage-con-mandalas%26source%3Dwantit%26subject%3Dwanted%253A%2BAbrigo%2BVintage%2Bcon%2BMandalas&source=wantit&subject=wanted%3A+Abrigo+Vintage+con+Mandalas"
"Botas cool way","https://www.vinted.es/femmes/chaussures/bottes/rangers/2633422957-botas-cool-way","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633422957&receiver_id=33216583&ref_url=%2Fitems%2F2633422957%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D33216583%26ref_url%3D%252Fmujer%252Fzapatos%252Fbotas%252Fbotas-militares%252F2633422957-botas-cool-way%26source%3Dwantit%26subject%3Dwanted%253A%2BBotas%2Bcool%2Bway&source=wantit&subject=wanted%3A+Botas+cool+way"
"Top sin mangas Zar","https://www.vinted.es/donna/vestiti/top-e-t-shirt/dolcevita/2633413834-top-sin-mangas-zar","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633413834&receiver_id=127154103&ref_url=%2Fitems%2F2633413834%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D127154103%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fcuello-alto%252F2633413834-top-sin-mangas-zar%26source%3Dwantit%26subject%3Dwanted%253A%2BTop%2Bsin%2Bmangas%2BZar&source=wantit&subject=wanted%3A+Top+sin+mangas+Zar"
"deportivas adidas","https://www.vinted.es/hommes/chaussures/baskets/2633413798-deportivas-adidas","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633413798&receiver_id=130108493&ref_url=%2Fitems%2F2633413798%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130108493%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2633413798-deportivas-adidas%26source%3Dwantit%26subject%3Dwanted%253A%2Bdeportivas%2Badidas&source=wantit&subject=wanted%3A+deportivas+adidas"
"Vestido fiesta","https://www.vinted.es/femmes/vetements/robes/robes-longues/2633422769-vestido-fiesta","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2633422769&receiver_id=42399973&ref_url=%2Fitems%2F2633422769%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D42399973%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fvestidos-largos%252F2633422769-vestido-fiesta%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bfiesta&source=wantit&subject=wanted%3A+Vestido+fiesta"
