"Название товара","Ссылка на продавца","Ссылка на чат"
"Pantalón Diesel nuevo sin estrenar talla 23 mujer","https://es.wallapop.com/item/pantalon-diesel-nuevo-sin-estrenar-talla-23-mujer-871569576","https://es.wallapop.com/app/chat?itemId=w67ynrqnp86x"
"Scooter eléctrico en venta","https://es.wallapop.com/item/scooter-electrico-en-venta-871569939","https://es.wallapop.com/app/chat?itemId=36exmoqr5nzd"
"vendo Bicicleta ","https://es.wallapop.com/item/vendo-bicicleta-871569921","https://es.wallapop.com/app/chat?itemId=3zl1pdo78njx"
"patines de linea , cordilleras y coderas","https://es.wallapop.com/item/patines-de-linea-cordilleras-y-coderas-871569771","https://es.wallapop.com/app/chat?itemId=ejkknd1n19jx"
"Mercedes-Benz A200 2019","https://es.wallapop.com/item/mercedes-benz-a200-2019-871569524","https://es.wallapop.com/app/chat?itemId=e65gdr4d20jo"
"vendo movil","https://es.wallapop.com/item/vendo-movil-871569831","https://es.wallapop.com/app/chat?itemId=p61ymexlv265"
"zapatos de niño","https://es.wallapop.com/item/zapatos-de-nino-871569554","https://es.wallapop.com/app/chat?itemId=nzx0gm3gp5z2"
"Funko Pop de Capitán América art series ","https://es.wallapop.com/item/funko-pop-de-capitan-america-art-series-871570009","https://es.wallapop.com/app/chat?itemId=xzorwde17lz9"
"móvil SPC para piezas","https://es.wallapop.com/item/movil-spc-para-piezas-871569675","https://es.wallapop.com/app/chat?itemId=nz001271evzo"
"honda sh 125","https://es.wallapop.com/item/honda-sh-125-871570391","https://es.wallapop.com/app/chat?itemId=vjrrmpl8yljk"
"Portatil Acer","https://es.wallapop.com/item/portatil-acer-871570390","https://es.wallapop.com/app/chat?itemId=x6qd1nr8l5jy"
"Sofá","https://es.wallapop.com/item/sofa-871569472","https://es.wallapop.com/app/chat?itemId=e65gdr4drkjo"
"Audi A5 2010","https://es.wallapop.com/item/audi-a5-2010-871570128","https://es.wallapop.com/app/chat?itemId=w67ynrqll86x"
"Guantes Alpinestars ","https://es.wallapop.com/item/guantes-alpinestars-871569628","https://es.wallapop.com/app/chat?itemId=w67ynrqnoy6x"
"litera ","https://es.wallapop.com/item/litera-871570117","https://es.wallapop.com/app/chat?itemId=wzvndkx5ddjl"
"sofá tres plazas ","https://es.wallapop.com/item/sofa-tres-plazas-871570105","https://es.wallapop.com/app/chat?itemId=qjwpg1mngezo"
"SEAT Toledo 2001","https://es.wallapop.com/item/seat-toledo-2001-871570088","https://es.wallapop.com/app/chat?itemId=v6g23k8rn7ze"
"Piso 36 m2, REFORMA integral, 1 hab. 1 baño, ","https://es.wallapop.com/item/piso-36-m2-reforma-integral-1-hab-1-bano-871570334","https://es.wallapop.com/app/chat?itemId=8j3ek23l7lz9"
"Canape","https://es.wallapop.com/item/canape-871570302","https://es.wallapop.com/app/chat?itemId=pzprx5vmnk63"
