"Название товара","Ссылка на продавца","Ссылка на чат"
"Se vende bici con poco uso y barata","https://es.wallapop.com/item/se-vende-bici-con-poco-uso-y-barata-871009327","https://es.wallapop.com/app/chat?itemId=nz001yr97rzo"
"Cluse minuit reloj","https://es.wallapop.com/item/cluse-minuit-reloj-871009299","https://es.wallapop.com/app/chat?itemId=nz001yr9nvzo"
"Zapatos de seguridad ","https://es.wallapop.com/item/zapatos-de-seguridad-871008800","https://es.wallapop.com/app/chat?itemId=e65gd97mvpjo"
"Despertador JVC RA-F320B Nuevo","https://es.wallapop.com/item/despertador-jvc-ra-f320b-nuevo-871008798","https://es.wallapop.com/app/chat?itemId=pzprxwd8yk63"
"Masaje relajante ","https://es.wallapop.com/item/masaje-relajante-871008790","https://es.wallapop.com/app/chat?itemId=x6qd1xvll5jy"
"colchon coche trasero.","https://es.wallapop.com/item/colchon-coche-trasero-871008551","https://es.wallapop.com/app/chat?itemId=nz001y87l7zo"
"Cambio Nvidia shield TV pro 4k y Xbox series S","https://es.wallapop.com/item/cambio-nvidia-shield-tv-pro-4k-y-xbox-series-s-871008538","https://es.wallapop.com/app/chat?itemId=4z412q8dlrzy"
"PS4","https://es.wallapop.com/item/ps4-871008513","https://es.wallapop.com/app/chat?itemId=pj950v480vze"
"Rascador gatos cilindrico","https://es.wallapop.com/item/rascador-gatos-cilindrico-871008516","https://es.wallapop.com/app/chat?itemId=v6g23ep83nze"
"Consola ps4 slim 500gb","https://es.wallapop.com/item/consola-ps4-slim-871008517","https://es.wallapop.com/app/chat?itemId=wzvndqgxddjl"
"armario y cuna niña","https://es.wallapop.com/item/armario-y-cuna-nina-871008498","https://es.wallapop.com/app/chat?itemId=pzprxwkv3463"
"Cafetera latissima touch","https://es.wallapop.com/item/cafetera-latissima-touch-871008482","https://es.wallapop.com/app/chat?itemId=8j3ekr83oyz9"
"Gigabyte B550 Aorus Elite","https://es.wallapop.com/item/gigabyte-b550-aorus-elite-871008872","https://es.wallapop.com/app/chat?itemId=e65gd97mgpjo"
"Chaquetones hombre","https://es.wallapop.com/item/chaquetones-hombre-871008864","https://es.wallapop.com/app/chat?itemId=v6g23eom2mze"
"Vendo este mando trust ","https://es.wallapop.com/item/vendo-este-mando-trust-871008343","https://es.wallapop.com/app/chat?itemId=vjrrm1ele4jk"
"Nevera cocacola","https://es.wallapop.com/item/nevera-cocacola-871008334","https://es.wallapop.com/app/chat?itemId=8j3ekr8347z9"
"Raqueta de Padel 🎾🏓 - Drop Shot ","https://es.wallapop.com/item/raqueta-de-padel-drop-shot-871008321","https://es.wallapop.com/app/chat?itemId=3zl1pnmo8njx"
"Adidas fórum low negras ","https://es.wallapop.com/item/adidas-forum-low-negras-871009411","https://es.wallapop.com/app/chat?itemId=0j23oqnwyv6y"
"bicicleta spinning","https://es.wallapop.com/item/bicicleta-spinning-871008769","https://es.wallapop.com/app/chat?itemId=3zl1pn0ee4jx"
"Orange tvee ","https://es.wallapop.com/item/orange-tvee-871008740","https://es.wallapop.com/app/chat?itemId=v6g23ep8dlze"
"Portátil Acer gaming ","https://es.wallapop.com/item/portatil-acer-gaming-871008432","https://es.wallapop.com/app/chat?itemId=qzmy0pm2vgzv"
"Tablet Lenovo Tab M10 HD ","https://es.wallapop.com/item/tablet-lenovo-tab-m10-hd-871008673","https://es.wallapop.com/app/chat?itemId=mzn870395gzn"
"vitrina decorativa ","https://es.wallapop.com/item/vitrina-decorativa-871009236","https://es.wallapop.com/app/chat?itemId=9jd21e8dy46k"
"bicicleta mujer.","https://es.wallapop.com/item/bicicleta-mujer-871009560","https://es.wallapop.com/app/chat?itemId=9jd21e8xed6k"
"Iphone 12","https://es.wallapop.com/item/iphone-12-871009557","https://es.wallapop.com/app/chat?itemId=xzorw7xl35z9"
"bicicleta 24 pulgadas de montaña","https://es.wallapop.com/item/bicicleta-24-pulgadas-de-montana-871008385","https://es.wallapop.com/app/chat?itemId=pj950v48xkze"
"Equipo Golf Girl FWS2 ROSA con bolsa

","https://es.wallapop.com/item/equipo-golf-girl-fws2-rosa-con-bolsa-871008378","https://es.wallapop.com/app/chat?itemId=nzx0gqe3r7z2"
"Derbi Senda X-Treme 49 cc","https://es.wallapop.com/item/derbi-senda-x-treme-49-cc-871009065","https://es.wallapop.com/app/chat?itemId=wzvndq29vqjl"
"Duo de Mesas","https://es.wallapop.com/item/duo-de-mesas-871008925","https://es.wallapop.com/app/chat?itemId=mzn870w437zn"
"CAMILLA PARA MASAJES / DEPILAR","https://es.wallapop.com/item/camilla-para-masajes-depilar-871008913","https://es.wallapop.com/app/chat?itemId=pj950vnd4kze"
"nevera para vinos","https://es.wallapop.com/item/nevera-para-vinos-871008910","https://es.wallapop.com/app/chat?itemId=8j3ekrpv47z9"
"Tacones ","https://es.wallapop.com/item/tacones-871008586","https://es.wallapop.com/app/chat?itemId=4z412q8d9rzy"
"Carro de bebé Bugaboo Camaleón 3 Plus","https://es.wallapop.com/item/carro-de-bebe-bugaboo-camaleon-3-plus-871008580","https://es.wallapop.com/app/chat?itemId=qzmy0pm2xyzv"
"Gameboy color + 2 juegos","https://es.wallapop.com/item/gameboy-color---2-juegos-871008569","https://es.wallapop.com/app/chat?itemId=3zl1pnmor2jx"
"Nintendo swich","https://es.wallapop.com/item/nintendo-swich-871008552","https://es.wallapop.com/app/chat?itemId=w67ynkvqp86x"
"Oso de rosas eternas estilo Swarovski","https://es.wallapop.com/item/oso-de-rosas-eternas-estilo-swarovski-871009104","https://es.wallapop.com/app/chat?itemId=w67ynkx8l86x"
"grua barata en Madrid ","https://es.wallapop.com/item/grua-barata-en-madrid-871008621","https://es.wallapop.com/app/chat?itemId=3zl1pnmo2qjx"
"ps vita NUEVA","https://es.wallapop.com/item/ps-vita-nueva-871008725","https://es.wallapop.com/app/chat?itemId=mzn87039r2zn"
"Dron Mirage Pro","https://es.wallapop.com/item/dron-mirage-pro-871008715","https://es.wallapop.com/app/chat?itemId=36exme5q2yzd"
