"Название товара","Ссылка на продавца","Ссылка на чат"
"Play 4 Slim 500gb","https://es.wallapop.com/item/play-4-slim-500gb-871712587","https://es.wallapop.com/app/chat?itemId=36exmve22yzd"
"traje spidi T1","https://es.wallapop.com/item/traje-spidi-t1-871712498","https://es.wallapop.com/app/chat?itemId=pzprx7wn4963"
"TIESTOS","https://es.wallapop.com/item/tiestos-871712312","https://es.wallapop.com/app/chat?itemId=9jd21ve3mn6k"
"Chaise longe + cama 135 + colchon","https://es.wallapop.com/item/chaise-longe---cama-135---colchon-871705237","https://es.wallapop.com/app/chat?itemId=pj950evvg0ze"
"Caja registradora,Pack android 15"" ","https://es.wallapop.com/item/caja-registradora-pack-android-15-871717245","https://es.wallapop.com/app/chat?itemId=3zl1p5d8oqjx"
"Vendo el iphone 12 pro max 128gb","https://es.wallapop.com/item/vendo-el-iphone-12-pro-max-128gb-871717180","https://es.wallapop.com/app/chat?itemId=qzmy0nveryzv"
"Dining chairs (Sillas de comedor)","https://es.wallapop.com/item/dining-chairs-sillas-de-comedor-871717100","https://es.wallapop.com/app/chat?itemId=e65gder810jo"
"Cruz de plata","https://es.wallapop.com/item/cruz-de-plata-871717080","https://es.wallapop.com/app/chat?itemId=qzmy0nvedgzv"
"iPad Pro 11"" (2nd generación) 128 GB WI-FI","https://es.wallapop.com/item/ipad-pro-11-2nd-generacion-128-gb-wi-fi-871711751","https://es.wallapop.com/app/chat?itemId=nz001dyq27zo"
"Encimera neolith 3m 30cm","https://es.wallapop.com/item/encimera-neolith-871711704","https://es.wallapop.com/app/chat?itemId=w67ynekwk86x"
"se vende","https://es.wallapop.com/item/se-vende-871711671","https://es.wallapop.com/app/chat?itemId=ejkknr5lpqjx"
"Samsung S21 FE 5G 128GB","https://es.wallapop.com/item/samsung-s21-fe-5g-128gb-871711616","https://es.wallapop.com/app/chat?itemId=v6g23velg7ze"
