"Название товара","Ссылка на продавца","Ссылка на чат"
"Bicicleta eléctrica para adultos","https://es.wallapop.com/item/bicicleta-electrica-para-adultos-869582057","https://es.wallapop.com/app/chat?itemId=xzorwrepl4z9"
"Soporte saco de boxeo ","https://es.wallapop.com/item/soporte-saco-de-boxeo-869580716","https://es.wallapop.com/app/chat?itemId=v6g23285xlze"
"TAG heuer","https://es.wallapop.com/item/tag-heuer-869584145","https://es.wallapop.com/app/chat?itemId=3zl1p1ovw2jx"
"iphone se 2020","https://es.wallapop.com/item/iphone-se-2020-869586369","https://es.wallapop.com/app/chat?itemId=3zl1p8egpnjx"
"carro 2,05x1,50 caja","https://es.wallapop.com/item/carro-2-05x1-50-caja-869586337","https://es.wallapop.com/app/chat?itemId=pj950mdyqkze"
"silla para bañera ancianos","https://es.wallapop.com/item/silla-para-banera-ancianos-869585460","https://es.wallapop.com/app/chat?itemId=9jd21kddg46k"
"PALA DE PADEL VARLION SUMMUN BOURNE","https://es.wallapop.com/item/pala-de-padel-varlion-summun-bourne-869581243","https://es.wallapop.com/app/chat?itemId=vjrrmrl58wjk"
"Cama nido","https://es.wallapop.com/item/cama-nido-869581221","https://es.wallapop.com/app/chat?itemId=3zl1p1o27qjx"
"Habitación Juvenil madera","https://es.wallapop.com/item/habitacion-juvenil-madera-869584777","https://es.wallapop.com/app/chat?itemId=qjwpgpmm3ezo"
"Mueble de salón de 4 módulos ","https://es.wallapop.com/item/mueble-de-salon-de-4-modulos-869584698","https://es.wallapop.com/app/chat?itemId=pzprxrvvq463"
"mesa comedor y sillas comedor ","https://es.wallapop.com/item/mesa-comedor-y-sillas-comedor-869583170","https://es.wallapop.com/app/chat?itemId=8z84p4ymv163"
"Robot cocina","https://es.wallapop.com/item/robot-cocina-869584331","https://es.wallapop.com/app/chat?itemId=p61ymyxx9d65"
"horno pirolítico Bosch vitrocerámica digital Bosch","https://es.wallapop.com/item/horno-pirolitico-bosch-vitroceramica-digital-bosch-869584327","https://es.wallapop.com/app/chat?itemId=nz0010779rzo"
"iphone xr ","https://es.wallapop.com/item/iphone-xr-869585817","https://es.wallapop.com/app/chat?itemId=wzvnd49r5qjl"
"LLANTAS SEAT Ibiza 6L","https://es.wallapop.com/item/llantas-seat-ibiza-6l-869585812","https://es.wallapop.com/app/chat?itemId=9jd21kdxr26k"
"remolque para perros","https://es.wallapop.com/item/remolque-para-perros-869585625","https://es.wallapop.com/app/chat?itemId=mzn8724g30zn"
"vendo maquina de ejercicio","https://es.wallapop.com/item/vendo-maquina-de-ejercicio-869586001","https://es.wallapop.com/app/chat?itemId=mzn8724grgzn"
"Shorts dolce gabbana 11-12 años","https://es.wallapop.com/item/shorts-dolce-gabbana-11-12-anos-869585052","https://es.wallapop.com/app/chat?itemId=w67yn488v96x"
"Beatsstudio 3 wireless","https://es.wallapop.com/item/beatsstudio-3-wireless-869585146","https://es.wallapop.com/app/chat?itemId=8z84pkvvrr63"
"Bicicleta montaña megamo 2021","https://es.wallapop.com/item/bicicleta-montana-megamo-2021-869581816","https://es.wallapop.com/app/chat?itemId=v6g2328wq5ze"
"esquís rossignol","https://es.wallapop.com/item/esquis-rossignol-869581617","https://es.wallapop.com/app/chat?itemId=wzvndnxp2qjl"
"Switch","https://es.wallapop.com/item/switch-869581611","https://es.wallapop.com/app/chat?itemId=0j23o3mxnr6y"
"Mesa de comedor","https://es.wallapop.com/item/mesa-de-comedor-869581415","https://es.wallapop.com/app/chat?itemId=36exmxq73qzd"
"mesa comedor cristal pie de marmol y sillas","https://es.wallapop.com/item/mesa-comedor-cristal-pie-de-marmol-y-sillas-869581369","https://es.wallapop.com/app/chat?itemId=3zl1p1o2q4jx"
"Huawei P40 Pro","https://es.wallapop.com/item/huawei-p40-pro-869582769","https://es.wallapop.com/app/chat?itemId=3zl1p1ol0njx"
"Carro Carrito bebé ","https://es.wallapop.com/item/carro-carrito-bebe-869582749","https://es.wallapop.com/app/chat?itemId=mzn8789537zn"
"ordenador iMac 21,5 pulgadas, mediados de 2011","https://es.wallapop.com/item/ordenador-imac-21-5-pulgadas-mediados-de-2011-869583747","https://es.wallapop.com/app/chat?itemId=ejkknk1g29jx"
"BMC SL01","https://es.wallapop.com/item/bmc-sl01-869583043","https://es.wallapop.com/app/chat?itemId=vjrrmrl7gwjk"
