"Название товара","Ссылка на продавца","Ссылка на чат"
"Cars ","https://es.wallapop.com/item/cars-870429668","https://es.wallapop.com/app/chat?itemId=wzy5gygn02j5"
"bomba tdi embolo de 11mm","https://es.wallapop.com/item/bomba-tdi-embolo-de-11mm-870429728","https://es.wallapop.com/app/chat?itemId=w67ynxndo76x"
"Macetero","https://es.wallapop.com/item/macetero-870429699","https://es.wallapop.com/app/chat?itemId=nz001r1movzo"
"Kymco 125","https://es.wallapop.com/item/kymco-125-870429600","https://es.wallapop.com/app/chat?itemId=e65gd7dy2mjo"
"Bicicleta ""MENDIZ"" de 27 pulgadas","https://es.wallapop.com/item/bicicleta-mendiz-de-27-pulgadas-870429041","https://es.wallapop.com/app/chat?itemId=wzvnd2drv7jl"
"cuadro ","https://es.wallapop.com/item/cuadro-870429805","https://es.wallapop.com/app/chat?itemId=qjwpg2gyogzo"
"maleta grande para viaje ","https://es.wallapop.com/item/maleta-grande-para-viaje-870428878","https://es.wallapop.com/app/chat?itemId=nzx0grgl41z2"
"Ruedas 420/85r 38 y 13.6r28","https://es.wallapop.com/item/ruedas-420-85r-38-y-13-6r28-870429386","https://es.wallapop.com/app/chat?itemId=4z41202vgvzy"
"Botas de fútbol para cesped artificial","https://es.wallapop.com/item/botas-de-futbol-para-cesped-artificial-870429376","https://es.wallapop.com/app/chat?itemId=w67ynxndd56x"
"Clases particulares de repaso ","https://es.wallapop.com/item/clases-particulares-de-repaso-870428989","https://es.wallapop.com/app/chat?itemId=wzvnd2drkdjl"
"Renault Kangoo 2014 PRECIO NO NEGOCIABLE","https://es.wallapop.com/item/renault-kangoo-2014-precio-no-negociable-870429517","https://es.wallapop.com/app/chat?itemId=wzvnd2dy0djl"
"Hª y CRITICA LIT ESP. FCO. RICO","https://es.wallapop.com/item/h-y-critica-lit-esp-fco-rico-870429253","https://es.wallapop.com/app/chat?itemId=qjwpg2gekgzo"
"Dead of Winter: La Larga Noche","https://es.wallapop.com/item/dead-of-winter-la-larga-noche-870429236","https://es.wallapop.com/app/chat?itemId=9jd2181xll6k"
"Operacions Admnistratives i documentació Sanitaria","https://es.wallapop.com/item/operacions-admnistratives-i-documentacio-sanitaria-870429066","https://es.wallapop.com/app/chat?itemId=x6qd1v1k1ejy"
"patin de buena calidad para adolescentes y adultos","https://es.wallapop.com/item/patin-de-buena-calidad-para-adolescentes-y-adultos-870429331","https://es.wallapop.com/app/chat?itemId=p61ym5mo9g65"
"Benzema mito","https://es.wallapop.com/item/benzema-mito-870429128","https://es.wallapop.com/app/chat?itemId=w67ynxn3576x"
"SILLA INFANTIL DE MADERA PEPA PIG","https://es.wallapop.com/item/silla-infantil-de-madera-pepa-pig-870429126","https://es.wallapop.com/app/chat?itemId=pzprxdxyok63"
"Pelotas plateadas gimnasia rítmica","https://es.wallapop.com/item/pelotas-plateadas-gimnasia-ritmica-870429467","https://es.wallapop.com/app/chat?itemId=vjrrm4mdexjk"
"LIBROS DE LA DIVERSIÓN DE MARTINA","https://es.wallapop.com/item/libros-de-la-diversion-de-martina-870429442","https://es.wallapop.com/app/chat?itemId=x6qd1v1ymnjy"
