"Название товара","Ссылка на продавца","Ссылка на чат"
"Bicicleta ","https://es.wallapop.com/item/bicicleta-871807621","https://es.wallapop.com/app/chat?itemId=3zl1p5w3qpjx"
"Auriculares Lenovo","https://es.wallapop.com/item/auriculares-lenovo-871807589","https://es.wallapop.com/app/chat?itemId=wzvnd3epm4jl"
"Cascos JBL","https://es.wallapop.com/item/cascos-jbl-871807467","https://es.wallapop.com/app/chat?itemId=vjrrmx2g89jk"
"dos monedas de 2€ valiosas","https://es.wallapop.com/item/dos-monedas-de-2-valiosas-871807406","https://es.wallapop.com/app/chat?itemId=nzx0g9n7vpz2"
"Harley Davidson 1200 XL ","https://es.wallapop.com/item/harley-davidson-1200-xl-871807380","https://es.wallapop.com/app/chat?itemId=qzmy0nxkn1zv"
"FIGURA REI","https://es.wallapop.com/item/figura-rei-871807383","https://es.wallapop.com/app/chat?itemId=0j23oe2xed6y"
"Local/Oficina en alquiler","https://es.wallapop.com/item/local-oficina-en-alquiler-871807803","https://es.wallapop.com/app/chat?itemId=nz001doe4vzo"
"Mobiliario oficina","https://es.wallapop.com/item/mobiliario-oficina-871806538","https://es.wallapop.com/app/chat?itemId=4z412k9xorzy"
"Keeway superligth 125","https://es.wallapop.com/item/keeway-superligth-125-871806518","https://es.wallapop.com/app/chat?itemId=x6qd1w33rojy"
"Perfume Jean Paul Gaultier","https://es.wallapop.com/item/perfume-jean-paul-gaultier-871807701","https://es.wallapop.com/app/chat?itemId=mzn87p1n4yzn"
"capuchas con cuello infinito hecha a mano","https://es.wallapop.com/item/capuchas-con-cuello-infinito-hecha-a-mano-871807702","https://es.wallapop.com/app/chat?itemId=pzprx7o08l63"
"Embrague ","https://es.wallapop.com/item/embrague-871807690","https://es.wallapop.com/app/chat?itemId=x6qd1w37lnjy"
"Lote de maquina diagnosis y herramientas ","https://es.wallapop.com/item/lote-de-maquina-diagnosis-y-herramientas-871807687","https://es.wallapop.com/app/chat?itemId=36exmv4y98zd"
"Timbal pequeño ","https://es.wallapop.com/item/timbal-pequeno-871807677","https://es.wallapop.com/app/chat?itemId=qjwpg950mkzo"
"Rosa Eterna Roja de Origami","https://es.wallapop.com/item/rosa-eterna-roja-de-origami-871807543","https://es.wallapop.com/app/chat?itemId=vjrrmx2gg4jk"
"Entradita con espejo","https://es.wallapop.com/item/entradita-con-espejo-871807545","https://es.wallapop.com/app/chat?itemId=3zl1p5w33njx"
"Zapatillas ralph lauren ","https://es.wallapop.com/item/zapatillas-ralph-lauren-871807536","https://es.wallapop.com/app/chat?itemId=9jd21v9ppd6k"
"Smartwatch marca Smartek SIN ESTRENAR","https://es.wallapop.com/item/smartwatch-marca-smartek-sin-estrenar-871806748","https://es.wallapop.com/app/chat?itemId=e65gdek19gjo"
"Gopro-Camara HD de acción blanca HERO7","https://es.wallapop.com/item/gopro-camara-hd-de-accion-blanca-hero7-871807516","https://es.wallapop.com/app/chat?itemId=v6g23v5wx2ze"
"Silla auto Prenatal grupo 1, 2, 3","https://es.wallapop.com/item/silla-auto-grupo-1-2-3-871807509","https://es.wallapop.com/app/chat?itemId=xzorw0m9m5z9"
"Party & Co- Juego de mesa - en buen estado ","https://es.wallapop.com/item/party-co-juego-de-mesa-en-buen-estado-871807505","https://es.wallapop.com/app/chat?itemId=qjwpg9505wzo"
"Garaje en alquiler","https://es.wallapop.com/item/garaje-en-alquiler-871808035","https://es.wallapop.com/app/chat?itemId=0j23oe2vlv6y"
