"Название товара","Ссылка на продавца","Ссылка на чат"
"KTM DUKE 390","https://es.wallapop.com/item/ktm-duke-390-869280017","https://es.wallapop.com/app/chat?itemId=wzvndnrwe7jl"
"Parrilla MERCEDES SPRINTER ","https://es.wallapop.com/item/parrilla-mercedes-sprinter-869280512","https://es.wallapop.com/app/chat?itemId=9jd212xg1n6k"
"motor 289 Ford Mustang ","https://es.wallapop.com/item/motor-289-ford-mustang-869280492","https://es.wallapop.com/app/chat?itemId=wzy5g5ldvvj5"
"diorama 1/43 peugeot 304 boulangerie","https://es.wallapop.com/item/diorama-1-43-peugeot-304-boulangerie-869279492","https://es.wallapop.com/app/chat?itemId=wzy5g5l3w2j5"
"Cama para mascotas para el coche","https://es.wallapop.com/item/cama-para-mascotas-para-el-coche-869279234","https://es.wallapop.com/app/chat?itemId=8j3ekem05yz9"
"Libro","https://es.wallapop.com/item/libro-869280036","https://es.wallapop.com/app/chat?itemId=9jd212xo046k"
"súper TENERE ","https://es.wallapop.com/item/super-tenere-869280278","https://es.wallapop.com/app/chat?itemId=nzx0g0l3ypz2"
"televisión ","https://es.wallapop.com/item/television-869280266","https://es.wallapop.com/app/chat?itemId=x6qd1dkr9yjy"
"Un juguete","https://es.wallapop.com/item/un-juguete-869280685","https://es.wallapop.com/app/chat?itemId=pj9505k810ze"
"pantalones zara estampado","https://es.wallapop.com/item/pantalones-zara-estampado-869280639","https://es.wallapop.com/app/chat?itemId=36exmxdq0kzd"
"Citroen C4 2007","https://es.wallapop.com/item/citroen-c4-2007-869280640","https://es.wallapop.com/app/chat?itemId=v6g23208w5ze"
"Escalera plegable madera maciza","https://es.wallapop.com/item/escalera-plegable-madera-maciza-869280631","https://es.wallapop.com/app/chat?itemId=p61ymyvxw565"
"se vende bicicleta electrica","https://es.wallapop.com/item/se-vende-bicicleta-electrica-869280584","https://es.wallapop.com/app/chat?itemId=9jd212xg9n6k"
"Redmi 9t 4/64gb negro, xiaomi","https://es.wallapop.com/item/redmi-9t-4-64gb-negro-xiaomi-869280383","https://es.wallapop.com/app/chat?itemId=0j23o3wmnm6y"
"Tele Samsung 40 Smart","https://es.wallapop.com/item/tele-samsung-40-smart-869280094","https://es.wallapop.com/app/chat?itemId=8z84p4qo7o63"
"Escritorio IKEA modelo MICKE","https://es.wallapop.com/item/escritorio-ikea-modelo-micke-869280083","https://es.wallapop.com/app/chat?itemId=0j23o3w0ve6y"
"Ducati 860 GTS","https://es.wallapop.com/item/ducati-860-gts-869280725","https://es.wallapop.com/app/chat?itemId=mzn878g9r2zn"
"moneda de 5 pesetas año 1992","https://es.wallapop.com/item/moneda-de-5-pesetas-ano-1992-869280473","https://es.wallapop.com/app/chat?itemId=mzn878g9pkzn"
"Banco plegable press banca","https://es.wallapop.com/item/banco-plegable-press-banca-869280452","https://es.wallapop.com/app/chat?itemId=w67yny3qrw6x"
