"Название товара","Ссылка на продавца","Ссылка на чат"
"Mesa de comedor con 6 sillas ","https://es.wallapop.com/item/mesa-de-comedor-con-6-sillas-868667709","https://es.wallapop.com/app/chat?itemId=xzorw82qq5z9"
"sofá de bambú de tres plazas ","https://es.wallapop.com/item/sofa-de-bambu-de-tres-plazas-868668248","https://es.wallapop.com/app/chat?itemId=e65gdy8klpjo"
"PUERTAS INTERIOR PINO OBREGON","https://es.wallapop.com/item/puertas-interior-pino-obregon-868668194","https://es.wallapop.com/app/chat?itemId=8z84p1kn9163"
"bicicleta spinning. sin uso.","https://es.wallapop.com/item/bicicleta-spinning-sin-uso-868668185","https://es.wallapop.com/app/chat?itemId=pj950ympe2ze"
"mueble de cocina","https://es.wallapop.com/item/mueble-de-cocina-868668334","https://es.wallapop.com/app/chat?itemId=8j3eky4dw7z9"
"abrigo volcom talla L a estrenar,con su etiqueta!","https://es.wallapop.com/item/abrigo-volcom-talla-l-a-estrenar-con-su-etiqueta-868668069","https://es.wallapop.com/app/chat?itemId=3zl1pg8wmqjx"
"Escape Leo Vince Yamaha Fazer 600","https://es.wallapop.com/item/escape-leo-vince-yamaha-fazer-600-868668066","https://es.wallapop.com/app/chat?itemId=x6qd1ym3qejy"
"Colchón antiescaras ","https://es.wallapop.com/item/colchon-antiescaras-868668058","https://es.wallapop.com/app/chat?itemId=8j3eky4d82z9"
"Colección completa Magic Inglish ","https://es.wallapop.com/item/coleccion-completa-magic-inglish-868668051","https://es.wallapop.com/app/chat?itemId=nz001m4o8vzo"
"Colección completa de tazos Pokémon 1ª Generación ","https://es.wallapop.com/item/coleccion-completa-de-tazos-pokemon-1-generacion-868667742","https://es.wallapop.com/app/chat?itemId=x6qd1ym8gqjy"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-868667442","https://es.wallapop.com/app/chat?itemId=x6qd1ym8dejy"
"watch ","https://es.wallapop.com/item/watch-868667338","https://es.wallapop.com/app/chat?itemId=4z412ve4orzy"
"Comerciales","https://es.wallapop.com/item/comerciales-868667334","https://es.wallapop.com/app/chat?itemId=8j3eky49v8z9"
"Grúa enfermos ","https://es.wallapop.com/item/grua-enfermos-868667299","https://es.wallapop.com/app/chat?itemId=nz001m4lnezo"
"Sudadera Nike Negra ","https://es.wallapop.com/item/sudadera-nike-negra-868667237","https://es.wallapop.com/app/chat?itemId=pj950yml1mze"
"Teclado Yamaha ","https://es.wallapop.com/item/teclado-yamaha-868667111","https://es.wallapop.com/app/chat?itemId=0j23oy4llm6y"
"Oppo A91 8Gb 128Gb","https://es.wallapop.com/item/oppo-a91-8gb-128gb-868667964","https://es.wallapop.com/app/chat?itemId=v6g234g54nze"
"Bicicleta carretera carbono ","https://es.wallapop.com/item/bicicleta-carretera-carbono-868667958","https://es.wallapop.com/app/chat?itemId=8j3eky4dy8z9"
"Muñeca profesional de peinados ","https://es.wallapop.com/item/muneca-profesional-de-peinados-868667949","https://es.wallapop.com/app/chat?itemId=mzn87l21gyzn"
"Libros de Administración y Finanzas","https://es.wallapop.com/item/libros-de-administracion-y-finanzas-868667522","https://es.wallapop.com/app/chat?itemId=8z84p1k0w163"
"Bolígrafos Montblanc","https://es.wallapop.com/item/boligrafos-montblanc-868667520","https://es.wallapop.com/app/chat?itemId=wzy5gn48xej5"
"Lámparas redondas","https://es.wallapop.com/item/lamparas-redondas-868667508","https://es.wallapop.com/app/chat?itemId=qzmy04e871zv"
