"Название товара","Ссылка на продавца","Ссылка на чат"
"One Piece Las Películas, Colección Completa - Blu-","https://es.wallapop.com/item/one-piece-las-peliculas-coleccion-completa-blu-871175205","https://es.wallapop.com/app/chat?itemId=qjwpgq3lxkzo"
"TV LG 49"" 4K ","https://es.wallapop.com/item/tv-lg-4k-871175227","https://es.wallapop.com/app/chat?itemId=nz001ye97ezo"
"Botas Zara","https://es.wallapop.com/item/botas-zara-871175214","https://es.wallapop.com/app/chat?itemId=4z412q5od8zy"
"Skoda Fabia 2001","https://es.wallapop.com/item/skoda-fabia-2001-871175508","https://es.wallapop.com/app/chat?itemId=qzmy0p59n1zv"
"Silla hoverboard SmartGyro sin estrenar","https://es.wallapop.com/item/silla-hoverboard-smartgyro-sin-estrenar-871175504","https://es.wallapop.com/app/chat?itemId=w67ynk03e76x"
"Terreno en venta","https://es.wallapop.com/item/terreno-en-venta-871175598","https://es.wallapop.com/app/chat?itemId=pzprxw0yqk63"
"Terreno en venta","https://es.wallapop.com/item/terreno-en-venta-871174845","https://es.wallapop.com/app/chat?itemId=3zl1pnye0qjx"
"Volvo XC60 2018 R DESING 2.0 190 CV","https://es.wallapop.com/item/volvo-xc60-2018-r-desing-2-0-190-cv-871174835","https://es.wallapop.com/app/chat?itemId=0j23oqv9ne6y"
"Transportín para coche o hogar","https://es.wallapop.com/item/transportin-para-coche-o-hogar-871174824","https://es.wallapop.com/app/chat?itemId=e65gd9nm7mjo"
"Vestido invitada de pedrería con plumas en hombros","https://es.wallapop.com/item/vestido-invitada-de-pedreria-con-plumas-en-hombros-871175103","https://es.wallapop.com/app/chat?itemId=nz001ye9k3zo"
"Sudadera Gap Nueva talla L","https://es.wallapop.com/item/sudadera-gap-nueva-talla-l-871175544","https://es.wallapop.com/app/chat?itemId=wzy5gqklgej5"
"SAMSUNG GALAXY S22 128 Gb SIN ABRIR","https://es.wallapop.com/item/samsung-galaxy-s22-128-gb-sin-abrir-871175369","https://es.wallapop.com/app/chat?itemId=3zl1pny482jx"
"Vespa clásica P 200 E","https://es.wallapop.com/item/vespa-clasica-p-200-e-871175337","https://es.wallapop.com/app/chat?itemId=pj950vwk5vze"
"juego de lentes Moment","https://es.wallapop.com/item/juego-de-lentes-moment-871175255","https://es.wallapop.com/app/chat?itemId=p61ymqgv9x65"
"Lavadora nevir 8kl","https://es.wallapop.com/item/lavadora-nevir-8kl-871175158","https://es.wallapop.com/app/chat?itemId=8j3ekrqvn7z9"
"Espiralizador de verduras","https://es.wallapop.com/item/espiralizador-de-verduras-871175141","https://es.wallapop.com/app/chat?itemId=wzvndqo9m4jl"
"Comics Dragón Ball serie amarilla 40 tomos","https://es.wallapop.com/item/comics-dragon-ball-serie-amarilla-40-tomos-871175128","https://es.wallapop.com/app/chat?itemId=w67ynk08056x"
"Fiat Ducato Elnagh 47 D ","https://es.wallapop.com/item/fiat-ducato-elnagh-47-d-871174641","https://es.wallapop.com/app/chat?itemId=wzvndqpxxqjl"
"Colchón minicuna bebe","https://es.wallapop.com/item/colchon-minicuna-bebe-871174894","https://es.wallapop.com/app/chat?itemId=8z84p27v2o63"
"Letras M & A boda","https://es.wallapop.com/item/letras-m-a-boda-871174886","https://es.wallapop.com/app/chat?itemId=4z412q5oqlzy"
"Videograbadora Roadstar VCR-765 (VHS)","https://es.wallapop.com/item/videograbadora-roadstar-vcr-765-vhs-871174874","https://es.wallapop.com/app/chat?itemId=pzprxw08w963"
"Piso en venta","https://es.wallapop.com/item/piso-en-venta-871174872","https://es.wallapop.com/app/chat?itemId=e65gd9nm9mjo"
"Reparaciones electricas","https://es.wallapop.com/item/reparaciones-electricas-871175436","https://es.wallapop.com/app/chat?itemId=9jd21eyxn46k"
"Chipiona agenda abierta ","https://es.wallapop.com/item/chipiona-agenda-abierta-871174988","https://es.wallapop.com/app/chat?itemId=v6g23eym3lze"
"somier de 90*180 con patas ","https://es.wallapop.com/item/somier-de-90-180-con-patas-871174958","https://es.wallapop.com/app/chat?itemId=8j3ekrqvolz9"
"cajas carton mudanza embalajes ","https://es.wallapop.com/item/cajas-carton-mudanza-embalajes-871175045","https://es.wallapop.com/app/chat?itemId=3zl1pnyew8jx"
"Cuna más colchón látex","https://es.wallapop.com/item/cuna-mas-colchon-latex-871175494","https://es.wallapop.com/app/chat?itemId=8z84p27qro63"
"Seat MÓ 125","https://es.wallapop.com/item/seat-mo-125-871174593","https://es.wallapop.com/app/chat?itemId=3zl1pn3oqnjx"
"BMW Serie 3 2004","https://es.wallapop.com/item/bmw-serie-3-2004-871175406","https://es.wallapop.com/app/chat?itemId=nzx0gq2lrez2"
"ARMARIO DE 2 PUERTAS ","https://es.wallapop.com/item/armario-de-2-puertas-871175387","https://es.wallapop.com/app/chat?itemId=36exmeyd5vzd"
"Volkswagen Golf Automatico","https://es.wallapop.com/item/volkswagen-golf-automatico-871175392","https://es.wallapop.com/app/chat?itemId=wzy5gqklrpj5"
