"Название товара","Ссылка на продавца","Ссылка на чат"
"Camiseta de Tupac ","https://es.wallapop.com/item/camiseta-de-tupac-869294926","https://es.wallapop.com/app/chat?itemId=pzprxr18xl63"
"Cromo Gavi Extrasticker Dorado","https://es.wallapop.com/item/cromo-gavi-extrasticker-dorado-869295483","https://es.wallapop.com/app/chat?itemId=0j23o3rwor6y"
"Patinete bestial wolf b12","https://es.wallapop.com/item/patinete-bestial-wolf-b12-869295291","https://es.wallapop.com/app/chat?itemId=vjrrmr9kq9jk"
"Se vende KTM","https://es.wallapop.com/item/se-vende-ktm-869295441","https://es.wallapop.com/app/chat?itemId=wzvndnlr3qjl"
"iPhone 11","https://es.wallapop.com/item/iphone-11-869294461","https://es.wallapop.com/app/chat?itemId=pj9505y890ze"
"fuerte de plata","https://es.wallapop.com/item/fuerte-de-plata-869294452","https://es.wallapop.com/app/chat?itemId=w67ynydq2y6x"
"masaje deportivo","https://es.wallapop.com/item/masaje-deportivo-869295258","https://es.wallapop.com/app/chat?itemId=8j3ekexmx1z9"
"anillo","https://es.wallapop.com/item/anillo-869295049","https://es.wallapop.com/app/chat?itemId=mzn878v4ngzn"
"Cuatro fundas para iPhone xs ","https://es.wallapop.com/item/cuatro-fundas-para-iphone-xs-869295400","https://es.wallapop.com/app/chat?itemId=e65gdg3v9kjo"
"Cajas de plástico y cartón ","https://es.wallapop.com/item/cajas-de-plastico-y-carton-869295386","https://es.wallapop.com/app/chat?itemId=4z4121gyqvzy"
"montesa enduro 250 h7","https://es.wallapop.com/item/montesa-enduro-250-h7-869294794","https://es.wallapop.com/app/chat?itemId=8z84p4gvwr63"
"Estantería blanca LACK IKEA  ","https://es.wallapop.com/item/estanteria-blanca-lack-ikea-869294878","https://es.wallapop.com/app/chat?itemId=nzx0g0yd91z2"
"Llantas 17 pulgadas con Michelin nuevas","https://es.wallapop.com/item/llantas-17-pulgadas-con-michelin-nuevas-869294689","https://es.wallapop.com/app/chat?itemId=wzvndnl9nrjl"
"Skate","https://es.wallapop.com/item/skate-869294674","https://es.wallapop.com/app/chat?itemId=pzprxr181563"
"airpods pro 2","https://es.wallapop.com/item/airpods-pro-869294637","https://es.wallapop.com/app/chat?itemId=pj9505gdkoze"
"moto seminueva en rodaje ","https://es.wallapop.com/item/moto-seminueva-en-rodaje-869294541","https://es.wallapop.com/app/chat?itemId=wzvndnyx11jl"
"Ropa de mujer","https://es.wallapop.com/item/ropa-de-mujer-869294739","https://es.wallapop.com/app/chat?itemId=36exmxn95nzd"
"SAMSUNG S10 Lite ","https://es.wallapop.com/item/samsung-s10-lite-869294737","https://es.wallapop.com/app/chat?itemId=pj9505gd4kze"
"Nissan Patrol 1986","https://es.wallapop.com/item/nissan-patrol-1986-869295346","https://es.wallapop.com/app/chat?itemId=8z84p4gq5r63"
"Pack Xbox one S 1tb más 10 juegos ","https://es.wallapop.com/item/pack-xbox-one-s-1tb-mas-10-juegos-869295345","https://es.wallapop.com/app/chat?itemId=3zl1p1940njx"
"Iphone 14 pro max 256gb","https://es.wallapop.com/item/iphone-14-pro-max-256gb-869294601","https://es.wallapop.com/app/chat?itemId=mzn878v440zn"
"chaquetón niño ","https://es.wallapop.com/item/chaqueton-nino-869294596","https://es.wallapop.com/app/chat?itemId=e65gdg3mmgjo"
