"Название товара","Ссылка на продавца","Ссылка на чат"
"300 €","https://es.wallapop.com/item/300-871204048","https://es.wallapop.com/app/chat?itemId=e65gd9w3mkjo"
"biker 125 4t","https://es.wallapop.com/item/biker-125-4t-871203995","https://es.wallapop.com/app/chat?itemId=ejkkn5v4grjx"
"Oculus Quest 2","https://es.wallapop.com/item/oculus-quest-2-871210240","https://es.wallapop.com/app/chat?itemId=v6g23e93w5ze"
"ventanas oscilobatientes de pvc ","https://es.wallapop.com/item/ventanas-oscilobatientes-de-pvc-871210091","https://es.wallapop.com/app/chat?itemId=vjrrm10mvxjk"
"Snowboard libtech travis rice 157 freestyle","https://es.wallapop.com/item/snowboard-libtech-travis-rice-157-freestyle-871211596","https://es.wallapop.com/app/chat?itemId=e65gd9wk3gjo"
"tpv en perfecto estado tiene todos los programas ","https://es.wallapop.com/item/tpv-en-perfecto-estado-tiene-todos-los-programas-871211594","https://es.wallapop.com/app/chat?itemId=8z84p2mng163"
"cajonera, estantería y perchero","https://es.wallapop.com/item/cajonera-estanteria-y-perchero-871211557","https://es.wallapop.com/app/chat?itemId=xzorw75mlwz9"
"patinete electrico zwheel T4 600W","https://es.wallapop.com/item/patinete-electrico-zwheel-t4-600w-871201477","https://es.wallapop.com/app/chat?itemId=qjwpgqoxggzo"
"Dispositivo de grabación Blackmagic HyperDeck ","https://es.wallapop.com/item/dispositivo-de-grabacion-blackmagic-hyperdeck-871201328","https://es.wallapop.com/app/chat?itemId=w67ynkwmx76x"
"Muebles de dormitorio","https://es.wallapop.com/item/mueble-de-dormitorio-871202497","https://es.wallapop.com/app/chat?itemId=mzn870y4ogzn"
"EIR: manuales academia AMIR","https://es.wallapop.com/item/eir-manuales-academia-amir-871202422","https://es.wallapop.com/app/chat?itemId=8z84p2mv4o63"
"Local/Oficina en alquiler","https://es.wallapop.com/item/local-oficina-en-alquiler-871202405","https://es.wallapop.com/app/chat?itemId=qjwpgqklp4zo"
"Antigua fresquera/nevera Pingüino ","https://es.wallapop.com/item/antigua-fresquera-nevera-pinguino-871208465","https://es.wallapop.com/app/chat?itemId=wzvndq1ke7jl"
"Ibanez Jem Floyd Rose Build","https://es.wallapop.com/item/ibanez-jem-floyd-rose-build-871208467","https://es.wallapop.com/app/chat?itemId=vjrrm10p2wjk"
"se alquila habitacion","https://es.wallapop.com/item/se-alquila-habitacion-871208307","https://es.wallapop.com/app/chat?itemId=p61ymqnee765"
"lote hosteleria ","https://es.wallapop.com/item/lote-hosteleria-871208282","https://es.wallapop.com/app/chat?itemId=8j3ekr02ryz9"
"DENON DN-HD2500","https://es.wallapop.com/item/denon-dn-hd2500-871205873","https://es.wallapop.com/app/chat?itemId=mzn870y38kzn"
"Xbox serie s ","https://es.wallapop.com/item/xbox-serie-s-871205867","https://es.wallapop.com/app/chat?itemId=vjrrm10erxjk"
"Iphone 11","https://es.wallapop.com/item/iphone-11-871205849","https://es.wallapop.com/app/chat?itemId=mzn870y3vkzn"
"Ps4 y juegos","https://es.wallapop.com/item/ps4-y-juegos-871205795","https://es.wallapop.com/app/chat?itemId=ejkkn5vmxrjx"
"Bufanda original Burberry","https://es.wallapop.com/item/bufanda-original-burberry-871205782","https://es.wallapop.com/app/chat?itemId=8j3ekr08v7z9"
"Sofá ","https://es.wallapop.com/item/sofa-871199749","https://es.wallapop.com/app/chat?itemId=mzn8705n77zn"
"Lavadora Ossein último modelo","https://es.wallapop.com/item/lavadora-ossein-ultimo-modelo-871199666","https://es.wallapop.com/app/chat?itemId=x6qd1x07nyjy"
"ChiQ refrigerador","https://es.wallapop.com/item/chiq-refrigerador-871201038","https://es.wallapop.com/app/chat?itemId=4z412qp758zy"
"traje de comunión un solo uso esta nuevo","https://es.wallapop.com/item/traje-de-comunion-un-solo-uso-esta-nuevo-871200947","https://es.wallapop.com/app/chat?itemId=ejkkn5lvqrjx"
"Sofá en muy buenas condiciones ","https://es.wallapop.com/item/sofa-en-muy-buenas-condiciones-871204911","https://es.wallapop.com/app/chat?itemId=0j23oqp3kd6y"
"Vestido invitada aire ( Rosa clara) ","https://es.wallapop.com/item/vestido-invitada-aire-rosa-clara-871204842","https://es.wallapop.com/app/chat?itemId=x6qd1xpdxejy"
"Portatil Asus","https://es.wallapop.com/item/portatil-asus-871204762","https://es.wallapop.com/app/chat?itemId=4z412q718rzy"
"Rieju rr 50","https://es.wallapop.com/item/rieju-rr-50-871206220","https://es.wallapop.com/app/chat?itemId=wzy5gq3rk5j5"
"Se alquila habitación ","https://es.wallapop.com/item/se-alquila-habitacion-871208823","https://es.wallapop.com/app/chat?itemId=ejkkn5vrpqjx"
"iPhone 11 Pro Max 64Gb","https://es.wallapop.com/item/iphone-64-pro-max-64gb-871211093","https://es.wallapop.com/app/chat?itemId=3zl1pnqrm8jx"
"bolso Louis Vuitton mochila","https://es.wallapop.com/item/bolso-louis-vuitton-mochila-871211069","https://es.wallapop.com/app/chat?itemId=3zl1pnqr88jx"
"Samsung tab s8 ultra 128gb con 2 años de samsung c","https://es.wallapop.com/item/samsung-tab-s8-ultra-128gb-con-2-anos-de-samsung-c-871211056","https://es.wallapop.com/app/chat?itemId=qzmy0pr8yxzv"
"BICICLETA DE MONTAÑA","https://es.wallapop.com/item/bicicleta-de-montana-871203609","https://es.wallapop.com/app/chat?itemId=xzorw758g7z9"
"Ingletadora omga MEC 300 st","https://es.wallapop.com/item/ingletadora-omga-mec-300-st-871206689","https://es.wallapop.com/app/chat?itemId=wzvndq1257jl"
"Sofás de piel","https://es.wallapop.com/item/sofas-de-piel-871206636","https://es.wallapop.com/app/chat?itemId=9jd21e38446k"
"Llantas con neumaticos bmw 2004","https://es.wallapop.com/item/llantas-con-neumaticos-bmw-2004-871206603","https://es.wallapop.com/app/chat?itemId=nz001y5rdvzo"
"Artefactos y muebles de cocina","https://es.wallapop.com/item/artefactos-y-muebles-de-cocina-871206586","https://es.wallapop.com/app/chat?itemId=4z412q70rrzy"
"Lavavajillas 45 · BALAY ","https://es.wallapop.com/item/lavavajillas-45-balay-871206549","https://es.wallapop.com/app/chat?itemId=mzn870ywoyzn"
"Tostador","https://es.wallapop.com/item/tostador-871207350","https://es.wallapop.com/app/chat?itemId=pzprxwng4k63"
"Armario oficina ","https://es.wallapop.com/item/armario-oficina-871207274","https://es.wallapop.com/app/chat?itemId=pzprxwngq963"
"Portabicis Cruz 2 bicicletas eléctricas ","https://es.wallapop.com/item/portabicis-cruz-2-bicicletas-electricas-871207224","https://es.wallapop.com/app/chat?itemId=e65gd9wpdmjo"
"LIQUIDACIÓN MUEBLES DE BAÑO DICA","https://es.wallapop.com/item/liquidacion-muebles-de-bano-dica-871205391","https://es.wallapop.com/app/chat?itemId=vjrrm10qo8jk"
"Barbour","https://es.wallapop.com/item/barbour-871212214","https://es.wallapop.com/app/chat?itemId=4z412q7x1wzy"
"Sofá de tres plazas","https://es.wallapop.com/item/sofa-de-tres-plazas-871212148","https://es.wallapop.com/app/chat?itemId=e65gd9w1ygjo"
"Mesa reuniones oficina y 6 sillas con reposabrazos","https://es.wallapop.com/item/mesa-reuniones-oficina-y-6-sillas-con-reposabrazos-871212025","https://es.wallapop.com/app/chat?itemId=mzn870y1ygzn"
"""Fuego"" ","https://es.wallapop.com/item/fuego-871199196","https://es.wallapop.com/app/chat?itemId=e65gd90ol2jo"
"CÁMARA DE FOTOS CANON EOS 4000D","https://es.wallapop.com/item/camara-de-fotos-canon-eos-4000d-871209665","https://es.wallapop.com/app/chat?itemId=wzvndq1vp7jl"
"conjunto cama nido+escritorio+armario","https://es.wallapop.com/item/conjunto-cama-nido-escritorio-armario-871200064","https://es.wallapop.com/app/chat?itemId=v6g23ell45ze"
"mono moto dainese","https://es.wallapop.com/item/mono-moto-dainese-871207896","https://es.wallapop.com/app/chat?itemId=e65gd9w91mjo"
"mini vespa","https://es.wallapop.com/item/mini-vespa-871207859","https://es.wallapop.com/app/chat?itemId=0j23oqpqde6y"
"NINTENDO SWITCH ","https://es.wallapop.com/item/nintendo-switch-871207754","https://es.wallapop.com/app/chat?itemId=nzx0gqoq95z2"
"Ruedas de un Audi A4 nuevas ","https://es.wallapop.com/item/ruedas-de-un-audi-a4-nuevas-871201866","https://es.wallapop.com/app/chat?itemId=x6qd1x0rmejy"
"Cinta Correr Nordictrack C320I","https://es.wallapop.com/item/cinta-correr-nordictrack-c320i-871201796","https://es.wallapop.com/app/chat?itemId=e65gd904y0jo"
