"Название товара","Ссылка на продавца","Ссылка на чат"
"libro de colecionismo de sellos","https://es.wallapop.com/item/libro-de-colecionismo-de-sellos-870955507","https://es.wallapop.com/app/chat?itemId=p61ymq771g65"
"Camiseta Portero barça ","https://es.wallapop.com/item/camiseta-portero-barca-870955754","https://es.wallapop.com/app/chat?itemId=nzx0gqyy35z2"
"Lampara de cobre","https://es.wallapop.com/item/lampara-de-cobre-870955731","https://es.wallapop.com/app/chat?itemId=p61ymq77p765"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-870955003","https://es.wallapop.com/app/chat?itemId=nz001yvm3ezo"
"Termo Eléctrico Bosch 76L","https://es.wallapop.com/item/termo-electrico-bosch-75l-870955114","https://es.wallapop.com/app/chat?itemId=4z412qgvprzy"
"silla de escritorio ","https://es.wallapop.com/item/silla-de-escritorio-870954975","https://es.wallapop.com/app/chat?itemId=nz001yvml3zo"
"Litera","https://es.wallapop.com/item/litera-870954853","https://es.wallapop.com/app/chat?itemId=qjwpgqdyqgzo"
"Busco un empleo para las mañanas o fin de semanas","https://es.wallapop.com/item/busco-un-empleo-para-las-mananas-o-fin-de-semanas-870954836","https://es.wallapop.com/app/chat?itemId=9jd21e57nl6k"
"MacBook 13""","https://es.wallapop.com/item/macbook-13-870955439","https://es.wallapop.com/app/chat?itemId=36exmenneqzd"
"Vendo apple whatch serie 6","https://es.wallapop.com/item/vendo-apple-whatch-serie-6-870955292","https://es.wallapop.com/app/chat?itemId=wzy5gq7772j5"
"se vende","https://es.wallapop.com/item/se-vende-870955290","https://es.wallapop.com/app/chat?itemId=x6qd1x999ejy"
"chaqueta","https://es.wallapop.com/item/chaqueta-870955213","https://es.wallapop.com/app/chat?itemId=pj950vggd0ze"
"Armario de madera","https://es.wallapop.com/item/armario-de-madera-870955211","https://es.wallapop.com/app/chat?itemId=0j23oqrr9e6y"
"libro matemáticas 1 bac","https://es.wallapop.com/item/libro-matematicas-1-bac-870955194","https://es.wallapop.com/app/chat?itemId=8z84p2g1yd63"
"Teléfono Vivo Y33s","https://es.wallapop.com/item/telefono-vivo-y33s-870955074","https://es.wallapop.com/app/chat?itemId=pzprxw194463"
"Preciosa funda para libro,cuaderno,agenda.Exclusiv","https://es.wallapop.com/item/preciosa-funda-sobrecubierta-para-cuaderno-o-agend-870955046","https://es.wallapop.com/app/chat?itemId=8z84p2g13l63"
"Iphone 13 256","https://es.wallapop.com/item/iphone-13-256-870955669","https://es.wallapop.com/app/chat?itemId=3zl1pn99ypjx"
"Mecedora bebé","https://es.wallapop.com/item/mecedora-bebe-870955668","https://es.wallapop.com/app/chat?itemId=wzy5gq77kvj5"
"Nike","https://es.wallapop.com/item/nike-870955659","https://es.wallapop.com/app/chat?itemId=0j23oqrrvr6y"
"Entrenador para Abdominales ","https://es.wallapop.com/item/entrenador-para-abdominales-870955413","https://es.wallapop.com/app/chat?itemId=pj950vggxoze"
"zapatos seguridad PANTER, 37","https://es.wallapop.com/item/zapatos-seguridad-panter-37-870955142","https://es.wallapop.com/app/chat?itemId=x6qd1x9ypojy"
"Teclado electrónico ","https://es.wallapop.com/item/teclado-electronico-870954931","https://es.wallapop.com/app/chat?itemId=p61ymq7o1g65"
"Aprilia Sonic 50cc","https://es.wallapop.com/item/aprilia-sonic-50cc-870955623","https://es.wallapop.com/app/chat?itemId=ejkkn5993qjx"
"Por ocasión ","https://es.wallapop.com/item/por-ocasion-870955615","https://es.wallapop.com/app/chat?itemId=36exmenn78zd"
"remolque ","https://es.wallapop.com/item/remolque-870955616","https://es.wallapop.com/app/chat?itemId=v6g23e11x7ze"
"Trajes de flamenca ","https://es.wallapop.com/item/trajes-de-flamenca-870955893","https://es.wallapop.com/app/chat?itemId=3zl1pn911qjx"
"Sillón barbería caballero","https://es.wallapop.com/item/sillon-barberia-caballero-870955797","https://es.wallapop.com/app/chat?itemId=mzn870v84yzn"
"Profesora particular","https://es.wallapop.com/item/profesora-particular-870955798","https://es.wallapop.com/app/chat?itemId=pzprxw1r8l63"
"Vestido fiesta sin estrenar rojo lentejuelas ","https://es.wallapop.com/item/vestido-fiesta-sin-estrenar-rojo-lentejuelas-870954897","https://es.wallapop.com/app/chat?itemId=mzn870vlp0zn"
"moto  kimco superdink 125 ","https://es.wallapop.com/item/moto-kimco-superdink-125-870955706","https://es.wallapop.com/app/chat?itemId=nzx0gqyyo5z2"
"PS4 + Gafas VR + Juegos","https://es.wallapop.com/item/ps4---gafas-vr---juegos-870955677","https://es.wallapop.com/app/chat?itemId=qjwpgqdd3kzo"
