"Название товара","Ссылка на продавца","Ссылка на чат"
"abrigo para niñas 12/18 meses","https://es.wallapop.com/item/abrigo-para-ninas-12-18-meses-871657244","https://es.wallapop.com/app/chat?itemId=wzy5g943k2j5"
"Sega Master Sistem 2","https://es.wallapop.com/item/sega-master-sistem-2-871657245","https://es.wallapop.com/app/chat?itemId=3zl1p58qyqjx"
"Reloj Imitación Victorinox","https://es.wallapop.com/item/reloj-imitacion-victorinox-871657235","https://es.wallapop.com/app/chat?itemId=0j23oe4pve6y"
"DJI OM 4 SE","https://es.wallapop.com/item/dji-om-4-se-871656196","https://es.wallapop.com/app/chat?itemId=e65gde80mgjo"
"Vendo iPhone XS Max 64Gb","https://es.wallapop.com/item/vendo-iphone-xs-max-64gb-871657271","https://es.wallapop.com/app/chat?itemId=ejkknr8vl1jx"
"Pack móviles con cargadores( no todos)","https://es.wallapop.com/item/pack-moviles-con-cargadores-no-todos-871656333","https://es.wallapop.com/app/chat?itemId=xzorw02n25z9"
"patinete electrico","https://es.wallapop.com/item/patinete-electrico-871655996","https://es.wallapop.com/app/chat?itemId=e65gde8n50jo"
"Traje de comunión niño","https://es.wallapop.com/item/traje-de-comunion-nino-871655981","https://es.wallapop.com/app/chat?itemId=xzorw02pq2z9"
"BOTAS ALTAS ULANKA","https://es.wallapop.com/item/botas-altas-ulanka-871655962","https://es.wallapop.com/app/chat?itemId=4z412ke5lrzy"
"carro","https://es.wallapop.com/item/carro-871655924","https://es.wallapop.com/app/chat?itemId=e65gde8n20jo"
"Abrigo ","https://es.wallapop.com/item/abrigo-871655892","https://es.wallapop.com/app/chat?itemId=wzy5g94k9vj5"
"Funda móvil + funda AirPods ","https://es.wallapop.com/item/funda-movil---funda-airpods-871656440","https://es.wallapop.com/app/chat?itemId=v6g23vglk7ze"
"Cajonera Style Curver","https://es.wallapop.com/item/cajonera-style-curver-871656890","https://es.wallapop.com/app/chat?itemId=x6qd1wmpmyjy"
"My hero academia ","https://es.wallapop.com/item/my-hero-academia-871656884","https://es.wallapop.com/app/chat?itemId=9jd21vk32l6k"
"Ventana corredera con persiana","https://es.wallapop.com/item/ventana-corredera-con-persiana-871656677","https://es.wallapop.com/app/chat?itemId=qjwpg94oo4zo"
"Sudadera Nike gris","https://es.wallapop.com/item/sudadera-nike-gris-871656669","https://es.wallapop.com/app/chat?itemId=3zl1p58lyqjx"
"Chaqueta SikSilk Negra de invierno ","https://es.wallapop.com/item/chaqueta-siksilk-negra-de-invierno-871656520","https://es.wallapop.com/app/chat?itemId=wzy5g942gpj5"
"anillo air bag jeep, Fiat, alfa, dodge K05156106AG","https://es.wallapop.com/item/anillo-air-bag-jeep-fiat-alfa-dodge-k05156106ag-871656490","https://es.wallapop.com/app/chat?itemId=x6qd1wm02njy"
"iPhone 12 pro máx 512g.","https://es.wallapop.com/item/iphone-12-pro-max-512g-871656084","https://es.wallapop.com/app/chat?itemId=9jd21vkyy46k"
"PUMA FOOD BALL SHOE FOR KIDS ","https://es.wallapop.com/item/puma-food-ball-shoe-for-kids-871657087","https://es.wallapop.com/app/chat?itemId=36exmv12m8zd"
"Xiaomi mi A2 con funda spigen","https://es.wallapop.com/item/xiaomi-mi-a2-con-funda-spigen-871656269","https://es.wallapop.com/app/chat?itemId=3zl1p58l98jx"
"conjunto comedor","https://es.wallapop.com/item/conjunto-comedor-871656267","https://es.wallapop.com/app/chat?itemId=vjrrmxq799jk"
"dosel para cama de matrimonio ","https://es.wallapop.com/item/dosel-para-cama-de-matrimonio-871656254","https://es.wallapop.com/app/chat?itemId=nzx0g94k5pz2"
"COMPRESOR DE AIRE FIAC","https://es.wallapop.com/item/compresor-de-aire-fiac-871656239","https://es.wallapop.com/app/chat?itemId=36exmv1ldqzd"
"Oakley sutro","https://es.wallapop.com/item/oakley-sutro-871655773","https://es.wallapop.com/app/chat?itemId=mzn87p2n37zn"
"portátil leonovo","https://es.wallapop.com/item/portatil-leonovo-871655767","https://es.wallapop.com/app/chat?itemId=vjrrmxqwe4jk"
"muebles de salón y mesa centro elevable","https://es.wallapop.com/item/muebles-de-salon-y-mesa-centro-elevable-871655765","https://es.wallapop.com/app/chat?itemId=wzvnd34og4jl"
"Protector de cuna 100% algodón nuevo","https://es.wallapop.com/item/protector-de-cuna-100-algodon-nuevo-871656631","https://es.wallapop.com/app/chat?itemId=p61ymd4rw565"
"llantas en 16","https://es.wallapop.com/item/llantas-en-16-871656980","https://es.wallapop.com/app/chat?itemId=qzmy0nerolzv"
"Play Station 4 PRO 1 Tb + Juegardos","https://es.wallapop.com/item/play-station-4-pro-1-tb---juegardos-871656925","https://es.wallapop.com/app/chat?itemId=mzn87p2y37zn"
"camisa ","https://es.wallapop.com/item/camisa-871657171","https://es.wallapop.com/app/chat?itemId=ejkknr8v7yjx"
"Psp Vita ","https://es.wallapop.com/item/psp-vita-871657169","https://es.wallapop.com/app/chat?itemId=3zl1p58qw2jx"
"PORTÁTIL LENOVO B590 MODELO 3761.","https://es.wallapop.com/item/portatil-lenovo-b590-modelo-3761-871657163","https://es.wallapop.com/app/chat?itemId=36exmv124vzd"
"MacBook Air 13 M1","https://es.wallapop.com/item/macbook-air-13-m1-871655818","https://es.wallapop.com/app/chat?itemId=x6qd1wm74njy"
"Funda de raqueta babolat","https://es.wallapop.com/item/funda-de-raqueta-babolat-871657026","https://es.wallapop.com/app/chat?itemId=pzprx72n5463"
"Libro de Lengua y Literatura Castellana 2 ESO","https://es.wallapop.com/item/libro-de-lengua-y-literatura-castellana-2-eso-871657016","https://es.wallapop.com/app/chat?itemId=v6g23vg9k7ze"
"Galan de noche","https://es.wallapop.com/item/galan-de-noche-871656984","https://es.wallapop.com/app/chat?itemId=9jd21vk3ed6k"
"Friedora de aire cosori ","https://es.wallapop.com/item/friedora-de-aire-cosori-871656982","https://es.wallapop.com/app/chat?itemId=8j3ekg4057z9"
"IPHONE 13 512GB BLANCO ","https://es.wallapop.com/item/iphone-13-512gb-blanco-871657138","https://es.wallapop.com/app/chat?itemId=4z412ke74rzy"
"mudanzas Baratas Premia de mar","https://es.wallapop.com/item/mudanzas-baratas-premia-de-mar-871657110","https://es.wallapop.com/app/chat?itemId=8j3ekg40l8z9"
"Motor sh 125 i 2008","https://es.wallapop.com/item/motor-sh-125-i-2008-871657116","https://es.wallapop.com/app/chat?itemId=v6g23vg9rnze"
"PATINETE XIAOMI PRO 2 NUEVO","https://es.wallapop.com/item/patinete-xiaomi-pro-2-nuevo-871656373","https://es.wallapop.com/app/chat?itemId=mzn87p25w7zn"
"Silla gamer","https://es.wallapop.com/item/silla-gamer-871656370","https://es.wallapop.com/app/chat?itemId=8z84pekx5r63"
"Clases particulares","https://es.wallapop.com/item/clases-particulares-871656363","https://es.wallapop.com/app/chat?itemId=36exmv1l8nzd"
"Tejas usado en estado bueno","https://es.wallapop.com/item/tejas-usado-en-estado-bueno-871656354","https://es.wallapop.com/app/chat?itemId=nzx0g94ke7z2"
"Sapphire Nitro+ RX590","https://es.wallapop.com/item/sapphire-nitro--rx590-871656738","https://es.wallapop.com/app/chat?itemId=4z412kepwmzy"
"samsumg s23+","https://es.wallapop.com/item/samsumg-s23-871656741","https://es.wallapop.com/app/chat?itemId=wzvnd34mw1jl"
"Tabla surf","https://es.wallapop.com/item/tabla-surf-871656715","https://es.wallapop.com/app/chat?itemId=36exmv1l2yzd"
"IPHONE 11 PRO MAX","https://es.wallapop.com/item/iphone-11-pro-max-871656067","https://es.wallapop.com/app/chat?itemId=vjrrmxqwgwjk"
"Abrigo Pull & Bear","https://es.wallapop.com/item/abrigo-pull-bear-871656049","https://es.wallapop.com/app/chat?itemId=mzn87p2ndgzn"
"cascos para motos","https://es.wallapop.com/item/cascos-para-motos-871656033","https://es.wallapop.com/app/chat?itemId=xzorw02p47z9"
"iPhone Xs Max","https://es.wallapop.com/item/iphone-xs-max-871656023","https://es.wallapop.com/app/chat?itemId=ejkknr8y71jx"
