"Название товара","Ссылка на продавца","Ссылка на чат"
"Se vende en Melilla","https://es.wallapop.com/item/se-vende-en-melilla-870896597","https://es.wallapop.com/app/chat?itemId=mzn87ory32zn"
"Carro de bebé ","https://es.wallapop.com/item/carro-de-bebe-870894520","https://es.wallapop.com/app/chat?itemId=wzy5gxm18pj5"
"Casa de bellies ","https://es.wallapop.com/item/casa-de-bellies-870892520","https://es.wallapop.com/app/chat?itemId=wzy5gxm05xj5"
"carrito bebe 3 Tec 3 piezas !!! LLEIDA 170 euros ","https://es.wallapop.com/item/carrito-bebe-3-tec-3-piezas-170-euros-870886899","https://es.wallapop.com/app/chat?itemId=nz001wn02vzo"
"se vende vestido ","https://es.wallapop.com/item/se-vende-vestido-870884781","https://es.wallapop.com/app/chat?itemId=xzorw3yk45z9"
"muñeca Rainbow high ","https://es.wallapop.com/item/muneca-rainbow-high-870884523","https://es.wallapop.com/app/chat?itemId=ejkkneg2p9jx"
"calienta biberones como nuevo ","https://es.wallapop.com/item/calienta-biberones-como-nuevo-870884504","https://es.wallapop.com/app/chat?itemId=w67yn7m8v76x"
"calzado invierno ","https://es.wallapop.com/item/calzado-invierno-870889715","https://es.wallapop.com/app/chat?itemId=36exmp3e8vzd"
"Parque infantil ","https://es.wallapop.com/item/parque-infantil-870889615","https://es.wallapop.com/app/chat?itemId=36exmp3en8zd"
"Silla stokke rosa","https://es.wallapop.com/item/silla-stokke-rosa-870889138","https://es.wallapop.com/app/chat?itemId=4z412nwn0rzy"
"mini cuna","https://es.wallapop.com/item/mini-cuna-870888973","https://es.wallapop.com/app/chat?itemId=mzn87oro47zn"
"40366 Lego","https://es.wallapop.com/item/40366-lego-870888595","https://es.wallapop.com/app/chat?itemId=ejkknegpeyjx"
"carro de bebe","https://es.wallapop.com/item/carro-de-bebe-870888125","https://es.wallapop.com/app/chat?itemId=mzn87or372zn"
"Un juego nuevo","https://es.wallapop.com/item/un-juego-nuevo-870887785","https://es.wallapop.com/app/chat?itemId=pj950x3m8kze"
