"Название товара","Ссылка на продавца","Ссылка на чат"
"THE CREW 2 y GRAN TURISMO SPORT para PS4 en disco","https://es.wallapop.com/item/the-crew-2-y-gran-turismo-sport-para-ps4-en-disco-871021285","https://es.wallapop.com/app/chat?itemId=pj950vno20ze"
"Vestido plateado de House of Cb ","https://es.wallapop.com/item/vestido-plateado-de-house-of-cb-871021537","https://es.wallapop.com/app/chat?itemId=pj950vn35kze"
"barbacoa de jardín ","https://es.wallapop.com/item/barbacoa-de-jardin-871021764","https://es.wallapop.com/app/chat?itemId=v6g23eod3nze"
"somier ","https://es.wallapop.com/item/somier-871020975","https://es.wallapop.com/app/chat?itemId=nz001yr503zo"
"Carpintería a medida. Cocinas, armarios, puertas.","https://es.wallapop.com/item/carpinteria-a-medida-cocinas-armarios-puertas-871020795","https://es.wallapop.com/app/chat?itemId=ejkkn5plv9jx"
"Piaggio Liberty 50","https://es.wallapop.com/item/piaggio-liberty-50-871021387","https://es.wallapop.com/app/chat?itemId=36exme822yzd"
"ruedas d audi","https://es.wallapop.com/item/ruedas-d-audi-871021842","https://es.wallapop.com/app/chat?itemId=x6qd1xv53ejy"
"Mercedes-Benz Vito 2014","https://es.wallapop.com/item/mercedes-benz-vito-2014-871021835","https://es.wallapop.com/app/chat?itemId=0j23oqn02e6y"
"Ford Mondeo 1998","https://es.wallapop.com/item/ford-mondeo-1998-871021482","https://es.wallapop.com/app/chat?itemId=8j3ekrp7m1z9"
"Máquina de escribir Olivetti lettera 25","https://es.wallapop.com/item/maquina-de-escribir-olivetti-lettera-25-871021474","https://es.wallapop.com/app/chat?itemId=pzprxwdly563"
"Ordenador HP","https://es.wallapop.com/item/ordenador-hp-871021788","https://es.wallapop.com/app/chat?itemId=v6g23eodrnze"
"Patin Xiaomi essential","https://es.wallapop.com/item/patin-xiaomi-essential-871021781","https://es.wallapop.com/app/chat?itemId=xzorw7xy12z9"
"patinete eléctrico piki cross","https://es.wallapop.com/item/patinete-electrico-piki-cross-871021772","https://es.wallapop.com/app/chat?itemId=e65gd97xd0jo"
"Mini BMX","https://es.wallapop.com/item/mini-bmx-871021194","https://es.wallapop.com/app/chat?itemId=8z84p25mpd63"
"Juego Mario Odisey","https://es.wallapop.com/item/juego-mario-odisey-871021361","https://es.wallapop.com/app/chat?itemId=pj950vno12ze"
