"Название товара","Ссылка на продавца","Ссылка на чат"
"Botas altas","https://es.wallapop.com/item/botas-altas-869038365","https://es.wallapop.com/app/chat?itemId=wzvndl03l1jl"
"Sandalias de Steve Madden","https://es.wallapop.com/item/sandalias-de-steve-madden-869038244","https://es.wallapop.com/app/chat?itemId=wzy5g7xom2j5"
"Cazadora vaquera","https://es.wallapop.com/item/cazadora-vaquera-869037935","https://es.wallapop.com/app/chat?itemId=0j23or1gqm6y"
"Botines Negros nuevos ","https://es.wallapop.com/item/botines-negros-nuevos-869040347","https://es.wallapop.com/app/chat?itemId=ejkkn9e00rjx"
"Zapato cuña/plataforma","https://es.wallapop.com/item/zapato-cuna-plataforma-869038803","https://es.wallapop.com/app/chat?itemId=nz001vwdnvzo"
"Sumer rompr","https://es.wallapop.com/item/sumer-rompr-869038725","https://es.wallapop.com/app/chat?itemId=mzn87vopdyzn"
"deportivas Adidas ","https://es.wallapop.com/item/deportivas-adidas-869038616","https://es.wallapop.com/app/chat?itemId=v6g2317vr7ze"
"botines negros nuevas ","https://es.wallapop.com/item/botines-negros-nuevas-869037666","https://es.wallapop.com/app/chat?itemId=x6qd194x5ejy"
"Anillo","https://es.wallapop.com/item/anillo-869037634","https://es.wallapop.com/app/chat?itemId=8j3ekx5r02z9"
"vestido creo elastico","https://es.wallapop.com/item/vestido-creo-elastico-869037532","https://es.wallapop.com/app/chat?itemId=qzmy03opdyzv"
"Relôj-Montre-Watch","https://es.wallapop.com/item/reloj-montre-watch-869038961","https://es.wallapop.com/app/chat?itemId=pj950gxq52ze"
"Sudadera Savage","https://es.wallapop.com/item/sudadera-savage-869038919","https://es.wallapop.com/app/chat?itemId=vjrrm9ovdljk"
"Túnica de nazareno de la Esperanza de Triana","https://es.wallapop.com/item/tunica-de-nazareno-de-la-esperanza-de-triana-869038896","https://es.wallapop.com/app/chat?itemId=e65gd3p2ymjo"
